striker,format,matches,innings,runs,balls_faced,dismissals,dot_balls,fours,sixes,average,strike_rate,dot_pct,boundary_pct
TT Bresnan,Test,19,1463,575,1458,23,1149,67,1,25.0,39.44,78.81,4.66
RS Bopara,Test,13,1092,575,1087,18,787,71,2,31.94,52.9,72.4,6.72
L Barnett,T20I,14,411,575,377,8,131,82,10,71.88,152.52,34.75,24.4
DAS Gunaratne,ODI,25,743,575,724,18,367,50,6,31.94,79.42,50.69,7.73
Ahmed Aqeel,T20I,30,493,574,477,17,142,29,19,33.76,120.34,29.77,10.06
D Ramdin,T20I,46,502,574,481,33,177,49,18,17.39,119.33,36.8,13.93
M Corazon,T20I,25,509,574,483,20,226,79,9,28.7,118.84,46.79,18.22
WD Parnell,ODI,42,743,574,723,27,363,43,9,21.26,79.39,50.21,7.19
BJ Watling,ODI,24,860,573,838,20,493,58,3,28.65,68.38,58.83,7.28
AD Hales,Test,11,1310,573,1307,21,1033,78,3,27.29,43.84,79.04,6.2
A Mansale,T20I,26,500,572,489,23,188,37,20,24.87,116.97,38.45,11.66
A Ashokan,T20I,22,525,572,498,19,182,28,22,30.11,114.86,36.55,10.04
D Dhingra,T20I,34,663,571,627,29,310,56,0,19.69,91.07,49.44,8.93
Waji Ul Hassan,T20I,28,482,571,470,23,160,40,22,24.83,121.49,34.04,13.19
RL Powell,ODI,30,626,570,611,23,342,60,14,24.78,93.29,55.97,12.11
DAJ Bracewell,Test,26,1227,568,1225,40,955,70,8,14.2,46.37,77.96,6.37
T Nightingale,T20I,30,460,568,450,28,171,52,19,20.29,126.22,38.0,15.78
Tamim Iqbal,PSL,19,531,568,500,15,203,58,14,37.87,113.6,40.6,14.4
Hamza Khan,T20I,25,563,566,544,21,231,42,20,26.95,104.04,42.46,11.4
GM Harris,T20I,33,370,566,361,21,115,57,25,26.95,156.79,31.86,22.71
EAJ Richardson,T20I,40,560,565,545,33,240,64,4,17.12,103.67,44.04,12.48
JR Hazlewood,Test,59,1286,565,1281,48,1021,81,2,11.77,44.11,79.7,6.48
DJ Hawoe,T20I,70,484,565,458,53,192,33,31,10.66,123.36,41.92,13.97
Parvez Hossain Emon,T20I,29,440,565,423,28,200,46,37,20.18,133.57,47.28,19.62
L Winfield,ODI,27,797,564,766,24,473,70,5,23.5,73.63,61.75,9.79
AS Samra,T20I,23,420,564,407,17,160,44,28,33.18,138.57,39.31,17.69
M Syahadat Ramli,T20I,38,542,563,526,25,211,38,20,22.52,107.03,40.11,11.03
Fatima Sana,T20I,33,448,563,431,25,157,57,18,22.52,130.63,36.43,17.4
CM Edwards,Test,9,1438,563,1436,14,1152,65,0,40.21,39.21,80.22,4.53
RW Chakabva,T20I,44,494,563,467,44,201,51,23,12.8,120.56,43.04,15.85
Aarif Sheikh,T20I,37,520,562,508,27,204,54,12,20.81,110.63,40.16,12.99
IS Sodhi,Test,20,1197,561,1194,26,922,68,7,21.58,46.98,77.22,6.28
S Mostary,ODI,29,849,561,812,25,494,65,3,22.44,69.09,60.84,8.37
B Ward,T20I,30,448,561,439,25,172,32,30,22.44,127.79,39.18,14.12
JL Carter,ODI,26,778,560,758,21,450,48,10,26.67,73.88,59.37,7.65
Sana Mir,T20I,52,777,560,762,34,357,37,0,16.47,73.49,46.85,4.86
Shahbaz Ahmed,IPL,39,491,560,464,30,160,30,25,18.67,120.69,34.48,11.85
TS Fray,T20I,35,632,559,614,32,287,45,8,17.47,91.04,46.74,8.63
CA Henry,T20I,54,606,559,585,36,260,44,12,15.53,95.56,44.44,9.57
MK Pandey,ODI,23,624,558,610,15,258,45,5,37.2,91.48,42.3,8.2
PM Seelaar,T20I,40,516,557,504,29,184,40,11,19.21,110.52,36.51,10.12
IC Gaze,ODI,29,646,557,631,23,319,69,2,24.22,88.27,50.55,11.25
EL Bartram,T20I,29,537,556,495,24,221,63,9,23.17,112.32,44.65,14.55
GE Plimmer,ODI,26,834,556,807,23,498,61,4,24.17,68.9,61.71,8.05
DD Ebrahim,ODI,28,1050,555,1023,29,628,36,0,19.14,54.25,61.39,3.52
T Perera,T20I,31,543,555,535,27,265,54,16,20.56,103.74,49.53,13.08
HE van der Dussen,PSL,16,401,555,388,15,116,46,20,37.0,143.04,29.9,17.01
P Litchfield,T20I,28,410,554,400,20,150,71,12,27.7,138.5,37.5,20.75
CS Mugeri-Tiripano,ODI,20,825,554,789,19,492,70,0,29.16,70.22,62.36,8.87
SR Bhudia,T20I,35,467,554,455,26,171,49,17,21.31,121.76,37.58,14.51
M Jansen,ODI,26,508,553,491,21,230,44,25,26.33,112.63,46.84,14.05
D Myers,T20I,29,444,553,434,26,158,51,17,21.27,127.42,36.41,15.67
Vinu Kumar,T20I,40,826,552,751,34,383,42,0,16.24,73.5,51.0,5.59
B Kumar,Test,19,1228,552,1225,25,957,79,1,22.08,45.06,78.12,6.53
KJ Garth,T20I,32,677,552,654,22,298,44,2,25.09,84.4,45.57,7.03
B Kumar,ODI,53,768,552,747,36,410,46,8,15.33,73.9,54.89,7.23
GD Arta,T20I,52,654,552,621,40,334,32,29,13.8,88.89,53.78,9.82
MJ Lumb,T20I,27,422,552,413,26,194,64,21,21.23,133.66,46.97,20.58
M Podosky,T20I,32,508,551,496,29,254,45,28,19.0,111.09,51.21,14.72
Imal Zuwak,T20I,28,535,550,512,27,231,52,13,20.37,107.42,45.12,12.7
JA Morkel,T20I,36,395,549,385,25,138,27,38,21.96,142.6,35.84,16.88
G Voll,ODI,13,499,549,490,11,220,76,5,49.91,112.04,44.9,16.53
Sharmin Akhter,T20I,27,668,549,646,27,296,49,2,20.33,84.98,45.82,7.89
Faheem Ashraf,T20I,55,408,549,394,39,152,37,31,14.08,139.34,38.58,17.26
GK Diviya,T20I,42,937,548,877,44,510,40,0,12.45,62.49,58.15,4.56
SM Sharif,ODI,48,746,548,734,31,392,38,8,17.68,74.66,53.41,6.27
JM Vince,Test,13,1102,548,1100,22,869,86,0,24.91,49.82,79.0,7.82
Haider Ali,T20I,42,454,548,440,36,171,45,23,15.22,124.55,38.86,15.45
Kycia A Knight,T20I,41,650,546,630,29,296,43,7,18.83,86.67,46.98,7.94
L Jack,T20I,46,672,546,643,35,310,48,0,15.6,84.91,48.21,7.47
Erika Oda,T20I,30,622,546,591,27,296,70,1,20.22,92.39,50.08,12.01
N Deonarine,ODI,25,873,546,855,22,528,48,6,24.82,63.86,61.75,6.32
Muhammad Amir,T20I,44,547,545,521,37,219,51,13,14.73,104.61,42.03,12.28
V Sibanda,Test,12,1101,545,1098,24,859,76,6,22.71,49.64,78.23,7.47
GP Thorpe,Test,8,1183,544,1181,12,888,67,1,45.33,46.06,75.19,5.76
AR Naidoo,T20I,26,553,544,527,20,234,44,15,27.2,103.23,44.4,11.2
Imam-ul-Haq,PSL,22,454,542,436,22,134,50,13,24.64,124.31,30.73,14.45
AU Rashid,Test,18,1270,540,1270,28,989,62,4,19.29,42.52,77.87,5.2
Ayan Khan,T20I,34,531,540,506,30,196,33,16,18.0,106.72,38.74,9.68
Raghav Dhawan,T20I,20,512,539,499,18,207,41,15,29.94,108.02,41.48,11.22
Babar Hayat,ODI,15,749,539,735,13,449,47,16,41.46,73.33,61.09,8.57
AJ Mosca,T20I,20,419,539,414,16,142,40,21,33.69,130.19,34.3,14.73
MR Swart,T20I,20,472,539,461,19,166,45,14,28.37,116.92,36.01,12.8
IA De Silva,T20I,24,553,539,502,23,254,52,22,23.43,107.37,50.6,14.74
HM Omary,T20I,43,645,539,615,31,276,47,4,17.39,87.64,44.88,8.29
CJ Anderson,IPL,29,436,538,423,22,185,40,31,24.45,127.19,43.74,16.78
D Kansonkho,T20I,35,622,538,585,29,288,46,12,18.55,91.97,49.23,9.91
AA Alleyne,ODI,44,842,538,822,33,515,60,2,16.3,65.45,62.65,7.54
AG Cremer,Test,17,1624,537,1622,27,1314,47,2,19.89,33.11,81.01,3.02
PA Raikes,T20I,19,429,537,412,16,166,48,23,33.56,130.34,40.29,17.23
CN Nation,T20I,40,623,537,606,33,302,39,9,16.27,88.61,49.83,7.92
LPC Silva,Test,11,857,537,854,16,587,68,1,33.56,62.88,68.74,8.08
AR McBrine,Test,9,1004,536,1001,15,729,64,3,35.73,53.55,72.83,6.69
LE Plunkett,ODI,47,503,536,492,29,208,46,15,18.48,108.94,42.28,12.4
KC D'Souza,T20I,24,359,535,339,17,122,32,37,31.47,157.82,35.99,20.35
L Louwrens,ODI,24,918,535,906,23,605,62,1,23.26,59.05,66.78,6.95
Dylan Steyn,T20I,19,430,535,399,14,144,64,8,38.21,134.09,36.09,18.05
Sandeep Goud,ODI,28,766,535,754,23,452,32,22,23.26,70.95,59.95,7.16
AJ Hall,Test,11,1192,533,1190,18,917,67,4,29.61,44.79,77.06,5.97
JL Jonassen,ODI,40,632,533,620,25,285,39,5,21.32,85.97,45.97,7.1
Zon Lin,T20I,27,604,533,578,22,287,52,5,24.23,92.21,49.65,9.86
RE van der Merwe,T20I,42,428,532,419,31,131,40,15,17.16,126.97,31.26,13.13
Umar Gul,Test,38,1087,532,1084,52,864,55,20,10.23,49.08,79.7,6.92
G Stewart,T20I,21,343,532,332,19,141,35,44,28.0,160.24,42.47,23.8
Z Khan,ODI,59,758,531,745,44,467,47,16,12.07,71.28,62.68,8.46
Imran Nazir,ODI,21,604,531,579,21,359,70,12,25.29,91.71,62.0,14.16
J Mubarak,ODI,27,833,531,807,22,480,43,3,24.14,65.8,59.48,5.7
RS Bopara,IPL,22,468,531,453,19,160,39,16,27.95,117.22,35.32,12.14
Aman Desai,T20I,33,481,531,455,30,192,49,15,17.7,116.7,42.2,14.07
Zeefa Jilani,T20I,42,681,530,648,36,372,59,9,14.72,81.79,57.41,10.49
Sadaf Shamas,ODI,20,832,529,786,18,498,68,1,29.39,67.3,63.36,8.78
AJ Blackwell,T20I,36,600,529,591,24,207,35,0,22.04,89.51,35.03,5.92
Shamim Hossain,T20I,34,431,529,419,26,163,46,20,20.35,126.25,38.9,15.75
M Coetzee,T20I,29,412,528,406,27,169,71,12,19.56,130.05,41.63,20.44
CR Brathwaite,ODI,34,613,527,595,29,310,34,22,18.17,88.57,52.1,9.41
PHKD Mendis,ODI,26,663,527,653,22,349,40,13,23.95,80.7,53.45,8.12
BM Duckett,T20I,21,354,527,344,20,94,69,8,26.35,153.2,27.33,22.38
Iftikhar Ahmed,ODI,21,497,527,485,16,204,47,16,32.94,108.66,42.06,12.99
MK Lomror,IPL,35,389,527,373,30,120,33,30,17.57,141.29,32.17,16.89
JP Faulkner,IPL,45,406,527,390,28,127,36,23,18.82,135.13,32.56,15.13
MD Stoneman,Test,11,1190,526,1188,19,937,66,1,27.68,44.28,78.87,5.64
Mahirah Izzati Ismail,T20I,52,826,526,782,45,415,37,0,11.69,67.26,53.07,4.73
C Kieswetter,T20I,24,474,526,464,23,224,47,23,22.87,113.36,48.28,15.09
Tenjin Rabgey,T20I,35,635,526,600,33,315,44,14,15.94,87.67,52.5,9.67
T Chetty,T20I,38,635,525,620,33,275,45,1,15.91,84.68,44.35,7.42
PJ Cummins,ODI,57,652,525,635,38,358,42,12,13.82,82.68,56.38,8.5
Ritu Moni,ODI,33,830,524,815,32,507,50,4,16.38,64.29,62.21,6.63
YS Samra,T20I,17,348,524,330,14,120,48,30,37.43,158.79,36.36,23.64
T Jamtsho,T20I,39,476,524,458,36,215,45,26,14.56,114.41,46.94,15.5
Mosaddek Hossain,ODI,31,655,524,633,23,335,46,11,22.78,82.78,52.92,9.0
SO Ngoche,T20I,50,470,523,453,32,183,43,17,16.34,115.45,40.4,13.25
M Gogev,T20I,18,371,523,343,18,146,42,35,29.06,152.48,42.57,22.45
RJ Peterson,ODI,34,636,523,627,27,322,49,5,19.37,83.41,51.36,8.61
KH Brunt,T20I,47,458,523,450,30,149,42,9,17.43,116.22,33.11,11.33
Abbas Ghani,T20I,21,356,522,340,20,129,51,26,26.1,153.53,37.94,22.65
A Sharma,T20I,27,498,522,483,25,231,55,14,20.88,108.07,47.83,14.29
Zakir Hasan,Test,12,1112,521,1111,23,841,62,5,22.65,46.89,75.7,6.03
Nain Abidi,ODI,27,955,521,934,26,623,54,1,20.04,55.78,66.7,5.89
SSM Stanislaus,T20I,29,525,521,501,28,225,37,20,18.61,103.99,44.91,11.38
Mohammad Nawaz (3),PSL,40,503,521,479,27,204,40,19,19.3,108.77,42.59,12.32
K Verreynne,ODI,14,582,521,575,12,266,39,11,43.42,90.61,46.26,8.7
PJ Moor,ODI,32,781,520,763,28,469,29,20,18.57,68.15,61.47,6.42
WG Jacks,IPL,22,339,520,334,18,121,43,33,28.89,155.69,36.23,22.75
K Doriga,ODI,33,927,520,910,30,636,46,11,17.33,57.14,69.89,6.26
RMAM Avery,T20I,29,792,519,744,23,383,30,0,22.57,69.76,51.48,4.03
MJ Guptill,PSL,18,384,519,372,20,134,51,22,25.95,139.52,36.02,19.62
D Brevis,IPL,20,363,519,350,20,137,35,37,25.95,148.29,39.14,20.57
Dilara Akter,T20I,33,487,518,458,31,231,70,8,16.71,113.1,50.44,17.03
F Behardien,T20I,30,416,518,404,17,117,37,16,30.47,128.22,28.96,13.12
E Beukes,T20I,32,430,517,413,20,167,32,33,25.85,125.18,40.44,15.74
MA Vermeulen,ODI,29,796,517,785,26,497,63,1,19.88,65.86,63.31,8.15
BJ Hodge,ODI,19,583,516,566,17,278,43,12,30.35,91.17,49.12,9.72
RR Hendricks,PSL,14,393,516,379,11,123,51,16,46.91,136.15,32.45,17.68
TAM Siriwardana,ODI,24,539,516,525,23,240,39,13,22.43,98.29,45.71,9.9
Rajin Saleh,ODI,26,1059,515,1030,27,689,41,1,19.07,50.0,66.89,4.08
CD Wallace,ODI,25,598,515,584,25,293,42,9,20.6,88.18,50.17,8.73
BM Halliday,T20I,42,535,515,524,34,213,41,2,15.15,98.28,40.65,8.21
WAE Burton,T20I,27,384,515,357,23,167,54,31,22.39,144.26,46.78,23.81
Mohammad Haris,T20I,28,374,515,364,26,141,45,26,19.81,141.48,38.74,19.51
DC Smith,T20I,30,448,514,441,28,191,47,18,18.36,116.55,43.31,14.74
M Manhas,IPL,38,486,514,470,24,181,43,10,21.42,109.36,38.51,11.28
Mashrafe Mortaza,Test,20,732,513,731,34,516,57,17,15.09,70.18,70.59,10.12
MJ Richardson,T20I,24,510,513,495,19,200,47,5,27.0,103.64,40.4,10.51
Arjun Vinod,T20I,25,496,513,466,20,203,45,13,25.65,110.09,43.56,12.45
KNM Fernando,Test,9,956,512,954,14,685,59,4,36.57,53.67,71.8,6.6
CJ Chibhabha,T20I,26,459,512,443,26,200,59,13,19.69,115.58,45.15,16.25
Fiza,T20I,29,636,512,583,24,279,54,0,21.33,87.82,47.86,9.26
Gurkeerat Singh,IPL,32,436,511,422,27,156,55,11,18.93,121.09,36.97,15.64
SV Samson,ODI,14,527,510,512,9,235,34,22,56.67,99.61,45.9,10.94
CE Dean,ODI,33,752,509,733,26,397,42,0,19.58,69.44,54.16,5.73
SCJ Broad,ODI,65,692,509,665,48,364,35,10,10.6,76.54,54.74,6.77
Jaspal Singh,T20I,34,488,509,466,25,229,40,23,20.36,109.23,49.14,13.52
RA Jadeja,T20I,38,421,508,400,24,118,38,14,21.17,127.0,29.5,13.0
Nizakat Khan,ODI,15,628,508,615,14,355,56,12,36.29,82.6,57.72,11.06
SL Malinga,ODI,106,701,508,689,76,445,41,19,6.68,73.73,64.59,8.71
M Taylor,T20I,28,582,508,535,28,303,47,23,18.14,94.95,56.64,13.08
M van Lingen,T20I,26,450,507,439,27,211,61,13,18.78,115.49,48.06,16.86
Misbah-ul-Haq,PSL,22,459,507,453,18,186,42,18,28.17,111.92,41.06,13.25
AG Cremer,ODI,49,897,507,882,40,534,33,1,12.68,57.48,60.54,3.85
MN Waller,T20I,23,371,507,361,19,114,36,24,26.68,140.44,31.58,16.62
OA Shah,IPL,22,405,506,389,13,133,34,23,38.92,130.08,34.19,14.65
Janak Prakash,T20I,36,417,506,408,27,143,31,20,18.74,124.02,35.05,12.5
LV van Beek,ODI,31,610,505,589,21,310,34,15,24.05,85.74,52.63,8.32
PA Patel,Test,11,896,505,896,15,660,71,1,33.67,56.36,73.66,8.04
Ayasha Rahman,T20I,35,685,505,654,37,374,47,11,13.65,77.22,57.19,8.87
PC Valthaty,IPL,23,432,505,418,22,215,61,20,22.95,120.81,51.44,19.38
C de Grandhomme,T20I,38,383,505,366,31,123,27,30,16.29,137.98,33.61,15.57
R Powell,PSL,26,348,504,327,21,118,44,26,24.0,154.13,36.09,21.41
OJ Hairs,T20I,28,321,504,304,25,121,47,33,20.16,165.79,39.8,26.32
GR Adair,T20I,21,377,503,361,22,169,48,28,22.86,139.34,46.81,21.05
SW Billings,IPL,27,399,503,388,26,139,40,20,19.35,129.64,35.82,15.46
AJ Healy,Test,11,888,502,887,17,643,66,3,29.53,56.6,72.49,7.78
W Niyitanga,T20I,41,630,501,607,38,331,28,19,13.18,82.54,54.53,7.74
R Trumpelmann,ODI,40,637,501,620,33,353,34,21,15.18,80.81,56.94,8.87
J Rasu,T20I,29,468,500,456,25,191,36,16,20.0,109.65,41.89,11.4
SE Rutherford,IPL,26,371,500,343,22,130,29,37,22.73,145.77,37.9,19.24
AN Petersen,ODI,18,610,498,601,17,321,53,3,29.29,82.86,53.41,9.32
V Sibanda,T20I,25,498,498,482,26,231,52,11,19.15,103.32,47.93,13.07
MJ Leach,Test,36,1335,498,1334,37,1105,64,2,13.46,37.33,82.83,4.95
A Mundra,T20I,19,320,496,307,19,127,50,30,26.11,161.56,41.37,26.06
DJ Mitchell,PSL,18,367,496,360,17,114,39,19,29.18,137.78,31.67,16.11
Imran Nazir,T20I,23,377,495,363,20,177,58,22,24.75,136.36,48.76,22.04
Mominul Haque,ODI,22,671,495,657,20,362,54,1,24.75,75.34,55.1,8.37
A Bosch,ODI,26,653,494,643,23,386,67,3,21.48,76.83,60.03,10.89
Nurul Hasan,T20I,46,439,494,428,31,149,27,19,15.94,115.42,34.81,10.75
Mohammad Rafique,ODI,46,745,492,730,33,465,39,14,14.91,67.4,63.7,7.26
V Ganesan,T20I,32,491,492,468,23,187,51,1,21.39,105.13,39.96,11.11
RA Sealy,T20I,28,400,492,391,28,163,36,24,17.57,125.83,41.69,15.35
TP Visee,T20I,30,351,491,335,27,151,67,17,18.19,146.57,45.07,25.07
B Niaz,T20I,24,427,490,397,20,176,41,26,24.5,123.43,44.33,16.88
DS Lehmann,Test,8,900,490,898,12,638,54,4,40.83,54.57,71.05,6.46
S Jora,T20I,32,418,490,404,27,154,27,22,18.15,121.29,38.12,12.13
C Tear,ODI,19,646,489,628,16,380,51,7,30.56,77.87,60.51,9.24
V Krishnamurthy,T20I,37,468,489,450,26,177,47,7,18.81,108.67,39.33,12.0
MPGT Ketiyage,T20I,20,425,489,390,18,178,33,30,27.17,125.38,45.64,16.15
Salman Butt,T20I,21,469,488,447,22,191,58,6,22.18,109.17,42.73,14.32
MJ Clarke,T20I,28,490,488,473,23,180,29,10,21.22,103.17,38.05,8.25
C Uwase,T20I,52,666,487,616,40,334,48,3,12.18,79.06,54.22,8.28
AA Obanda,ODI,14,704,487,677,16,426,56,8,30.44,71.94,62.92,9.45
JWM Dalrymple,ODI,26,677,487,672,24,359,32,3,20.29,72.47,53.42,5.21
R Powell,IPL,28,357,486,339,24,139,31,35,20.25,143.36,41.0,19.47
R Bakum,T20I,32,469,486,446,29,214,36,20,16.76,108.97,47.98,12.56
Talha Khan,T20I,26,485,486,470,22,209,39,11,22.09,103.4,44.47,10.64
LR Down,ODI,31,799,486,783,27,490,43,6,18.0,62.07,62.58,6.26
Q Joseph,ODI,25,632,486,616,24,393,67,10,20.25,78.9,63.8,12.5
OGL Bascome,T20I,28,370,485,358,26,165,35,33,18.65,135.47,46.09,18.99
I Niyomugabo,T20I,24,515,485,488,19,214,48,7,25.53,99.39,43.85,11.27
MO Kitunda,T20I,39,527,485,511,36,262,40,15,13.47,94.91,51.27,10.76
PW Borren,T20I,28,381,485,375,23,145,51,13,21.09,129.33,38.67,17.07
R McLaren,ODI,41,696,485,680,25,384,42,6,19.4,71.32,56.47,7.06
M Gorases,T20I,54,743,484,724,45,412,36,0,10.76,66.85,56.91,4.97
ND Laegsgaard,T20I,25,343,484,325,21,133,41,29,23.05,148.92,40.92,21.54
J Mosca,T20I,23,345,483,341,18,129,54,16,26.83,141.64,37.83,20.53
LM Jongwe,T20I,43,405,483,396,30,151,42,14,16.1,121.97,38.13,14.14
ME Bouchier,ODI,15,466,482,451,14,246,74,5,34.43,106.87,54.55,17.52
Rajin Saleh,Test,13,1373,482,1369,25,1117,58,2,19.28,35.21,81.59,4.38
J Nkomo,ODI,17,732,482,695,12,389,44,0,40.17,69.35,55.97,6.33
SJ Benn,Test,23,799,482,792,32,598,58,13,15.06,60.86,75.51,8.96
JDP Oram,T20I,30,350,482,343,26,117,38,23,18.54,140.52,34.11,17.78
SR Patel,ODI,22,532,482,517,16,235,37,12,30.12,93.23,45.45,9.48
Sabbir Rahman,Test,11,876,481,875,21,649,57,6,22.9,54.97,74.17,7.2
BCJ Cutting,PSL,25,319,481,306,21,105,33,33,22.9,157.19,34.31,21.57
J Nkomo,T20I,39,567,481,534,25,236,36,3,19.24,90.07,44.19,7.3
L Piety,T20I,23,438,480,419,17,209,61,13,28.24,114.56,49.88,17.66
Aminata Kamara,T20I,32,573,480,524,29,249,45,0,16.55,91.6,47.52,8.59
LE Kaushalya,T20I,36,470,480,450,31,169,39,9,15.48,106.67,37.56,10.67
MB Kruger,T20I,30,451,480,440,28,211,51,15,17.14,109.09,47.95,15.0
N Dickwella,T20I,26,374,480,366,25,151,61,9,19.2,131.15,41.26,19.13
Shafina Mahesh,T20I,44,825,480,729,38,419,36,3,12.63,65.84,57.48,5.35
SJ Erwee,Test,10,1108,479,1107,18,874,57,0,26.61,43.27,78.95,5.15
A Ikuzwe,T20I,46,661,479,615,34,313,36,2,14.09,77.89,50.89,6.18
A Limdawala,T20I,30,556,479,532,29,282,40,13,16.52,90.04,53.01,9.96
Karan KC,T20I,47,321,478,310,30,117,21,40,15.93,154.19,37.74,19.68
Nain Abidi,T20I,34,654,478,631,28,308,32,0,17.07,75.75,48.81,5.07
D Wangmo,T20I,28,690,478,647,23,348,32,2,20.78,73.88,53.79,5.26
SW Billings,T20I,33,377,478,368,27,130,41,16,17.7,129.89,35.33,15.49
NK Patel,ODI,32,701,477,685,25,386,34,8,19.08,69.64,56.35,6.13
M Campopiano,T20I,22,411,477,400,20,156,39,14,23.85,119.25,39.0,13.25
RS Williams,ODI,33,1032,477,997,32,710,44,2,14.91,47.84,71.21,4.61
Sher Sahak,T20I,29,365,476,356,28,143,29,27,17.0,133.71,40.17,15.73
JG Bethell,Test,6,735,476,730,12,491,63,5,39.67,65.21,67.26,9.32
GP Swann,ODI,47,525,475,516,33,242,46,4,14.39,92.05,46.9,9.69
GJ Bailey,T20I,26,350,475,347,18,121,37,20,26.39,136.89,34.87,16.43
S Lamichhane,ODI,43,541,475,536,29,266,40,9,16.38,88.62,49.63,9.14
G Voll,T20I,12,317,474,303,11,99,62,10,43.09,156.44,32.67,23.76
SW Ambris,ODI,15,505,473,494,12,234,54,3,39.42,95.75,47.37,11.54
KTGD Prasad,Test,23,870,473,870,36,654,54,8,13.14,54.37,75.17,7.13
RR Seth,T20I,41,722,473,685,40,392,41,3,11.82,69.05,57.23,6.42
Habib Khan,T20I,19,390,473,370,19,165,39,25,24.89,127.84,44.59,17.3
RR Rossouw,IPL,22,321,473,308,21,115,45,25,22.52,153.57,37.34,22.73
L Lamin,T20I,36,521,473,501,25,255,30,20,18.92,94.41,50.9,9.98
K Mishara,T20I,21,377,473,361,19,147,45,20,24.89,131.02,40.72,18.01
Shorna Akter,T20I,40,499,472,477,31,186,31,10,15.23,98.95,38.99,8.6
Hammad Mirza,T20I,26,449,472,438,24,194,40,14,19.67,107.76,44.29,12.33
US Hathinjar,T20I,28,440,472,415,25,201,41,24,18.88,113.73,48.43,15.66
Saad Bin Zafar,T20I,33,388,471,376,18,137,38,16,26.17,125.27,36.44,14.36
Sahil Chauhan,T20I,20,271,471,254,16,95,25,43,29.44,185.43,37.4,26.77
LA Dawson,PSL,27,378,471,376,23,121,32,19,20.48,125.27,32.18,13.56
IDA Damarell,T20I,26,423,471,416,22,178,53,8,21.41,113.22,42.79,14.66
TI Gajanayake,T20I,28,682,471,624,20,352,58,1,23.55,75.48,56.41,9.46
Abdul Razzaq,Test,10,1023,470,1019,17,795,55,8,27.65,46.12,78.02,6.18
Mohammad Rafique,Test,18,761,470,761,32,550,52,14,14.69,61.76,72.27,8.67
SA Jumbe,T20I,46,469,470,449,37,234,34,23,12.7,104.68,52.12,12.69
A Capsey,ODI,26,627,469,616,23,355,55,1,20.39,76.14,57.63,9.09
A Ferguson,T20I,24,528,469,500,17,234,53,2,27.59,93.8,46.8,11.0
EJ Villani,ODI,25,606,468,592,23,359,60,6,20.35,79.05,60.64,11.15
LS Livingstone,PSL,22,361,468,353,20,121,35,22,23.4,132.58,34.28,16.15
MA Ouma,ODI,26,855,468,836,23,575,49,2,20.35,55.98,68.78,6.1
Javed Omar,ODI,20,967,468,938,20,674,54,2,23.4,49.89,71.86,5.97
PM Nevill,Test,14,1155,468,1151,21,907,52,1,22.29,40.66,78.8,4.6
S Movva,ODI,22,743,468,728,17,408,30,4,27.53,64.29,56.04,4.67
TB de Bruyn,Test,13,1013,468,1012,23,804,69,2,20.35,46.25,79.45,7.02
J Bangura,T20I,35,617,468,596,34,309,36,5,13.76,78.52,51.85,6.88
E Kamara,T20I,29,624,468,570,25,286,44,0,18.72,82.11,50.18,7.72
CH Morris,ODI,27,474,467,465,21,215,36,15,22.24,100.43,46.24,10.97
Ashutosh Sharma,IPL,22,301,465,280,18,85,31,32,25.83,166.07,30.36,22.5
JEC Franklin,T20I,31,398,463,391,22,151,28,23,21.05,118.41,38.62,13.04
Shayan Jahangir,T20I,21,353,463,344,17,125,41,18,27.24,134.59,36.34,17.15
PE Mendonca,T20I,29,552,462,495,26,209,45,0,17.77,93.33,42.22,9.09
Umer Imtiaz,T20I,31,427,462,403,30,206,37,25,15.4,114.64,51.12,15.38
CMA Shillington,T20I,30,489,462,476,29,251,57,4,15.93,97.06,52.73,12.82
RL Blake,T20I,7,343,461,307,4,98,70,0,115.25,150.16,31.92,22.8
HH Pandya,Test,10,633,461,626,16,430,58,12,28.81,73.64,68.69,11.18
S Gooch,T20I,16,399,461,380,14,155,43,13,32.93,121.32,40.79,14.74
AS Joseph,ODI,44,623,461,599,28,374,35,21,16.46,76.96,62.44,9.35
Q Joseph,T20I,26,401,460,391,24,208,60,16,19.17,117.65,53.2,19.44
DT Christian,IPL,41,408,460,398,28,134,23,19,16.43,115.58,33.67,10.55
LS Greenway,T20I,27,523,460,505,20,214,44,0,23.0,91.09,42.38,8.71
MS Sinclair,Test,12,1131,459,1129,21,916,61,2,21.86,40.66,81.13,5.58
Dhruv Jurel,Test,9,824,459,823,13,586,47,10,35.31,55.77,71.2,6.93
Imad Wasim,T20I,46,339,459,330,34,99,50,10,13.5,139.09,30.0,18.18
Shahid Afridi,PSL,37,321,458,303,29,110,22,36,15.79,151.16,36.3,19.14
AM Kamara,T20I,34,653,457,595,25,312,42,0,18.28,76.81,52.44,7.06
JD Ryder,T20I,21,369,457,358,20,156,47,18,22.85,127.65,43.58,18.16
NS Dhaliwal,ODI,17,811,456,799,16,533,41,9,28.5,57.07,66.71,6.26
IM Vaghela,T20I,33,538,456,520,25,251,35,7,18.24,87.69,48.27,8.08
SR Patel,PSL,24,378,455,374,17,136,54,7,26.76,121.66,36.36,16.31
DAS Gunaratne,Test,5,863,455,861,9,600,50,1,50.56,52.85,69.69,5.92
