striker,format,matches,innings,runs,balls_faced,dismissals,dot_balls,fours,sixes,average,strike_rate,dot_pct,boundary_pct
MN Samuels,Test,51,6232,3021,6220,89,4787,409,30,33.94,48.57,76.96,7.06
GJ Bailey,ODI,83,3672,3011,3622,79,1839,222,55,38.11,83.13,50.77,7.65
DM Bravo,ODI,113,4475,3007,4321,98,2582,246,71,30.68,69.59,59.75,7.34
BJ Haddin,ODI,107,3648,3003,3569,89,1980,283,70,33.74,84.14,55.48,9.89
Liton Das,Test,50,5049,3000,5033,86,3501,363,21,34.88,59.61,69.56,7.63
Q de Kock,T20I,104,2181,2986,2096,97,795,301,128,30.78,142.46,37.93,20.47
Mohammad Rizwan,PSL,92,2397,2974,2323,77,749,277,75,38.62,128.02,32.24,15.15
GH Lewis,T20I,107,2594,2972,2510,93,1113,425,27,31.96,118.41,44.34,18.01
Virandeep Singh,T20I,101,2439,2954,2343,87,886,263,114,33.95,126.08,37.81,16.09
Shubman Gill,ODI,61,3065,2953,2982,55,1501,335,63,53.69,99.03,50.34,13.35
SS Iyer,ODI,69,3083,2952,2997,63,1370,273,72,46.86,98.5,45.71,11.51
M Raj,ODI,70,4320,2949,4234,49,2424,298,13,60.18,69.65,57.25,7.35
TM Head,ODI,74,2860,2948,2802,68,1398,340,72,43.35,105.21,49.89,14.7
HK Matthews,ODI,82,3815,2946,3713,82,2147,370,15,35.93,79.34,57.82,10.37
S Luus,ODI,114,4214,2945,4114,98,2322,288,17,30.05,71.58,56.44,7.41
WP Saha,IPL,143,2368,2934,2300,121,865,296,87,24.25,127.57,37.61,16.65
MV Boucher,Test,72,5924,2926,5917,101,4325,332,11,28.97,49.45,73.09,5.8
HK Matthews,T20I,106,2633,2923,2520,100,1142,379,49,29.23,115.99,45.32,16.98
CR Ervine,ODI,95,3763,2909,3691,82,2083,287,37,35.48,78.81,56.43,8.78
JC Buttler,Test,57,5376,2907,5365,90,3946,341,33,32.3,54.18,73.55,6.97
AM Rahane,ODI,86,3812,2906,3701,86,2024,289,33,33.79,78.52,54.69,8.7
HH Pandya,IPL,148,2073,2904,1983,106,656,223,154,27.4,146.44,33.08,19.01
Mahmudullah,Test,49,5439,2900,5422,88,3913,339,24,32.95,53.49,72.17,6.69
J Blackwood,Test,55,5398,2898,5373,97,3994,350,36,29.88,53.94,74.33,7.18
AE Satterthwaite,ODI,66,3618,2895,3532,58,1822,308,10,49.91,81.96,51.59,9.0
BB McCullum,IPL,109,2272,2882,2190,106,938,293,130,27.19,131.6,42.83,19.32
Mohammad Rizwan,ODI,90,3464,2881,3401,71,1638,244,35,40.58,84.71,48.16,8.2
RA Jadeja,ODI,137,3466,2880,3362,90,1620,209,55,32.0,85.66,48.19,7.85
DL Vettori,Test,53,4453,2874,4443,80,2970,349,14,35.92,64.69,66.85,8.17
Imam-ul-Haq,ODI,68,3543,2854,3440,63,1718,236,29,45.3,82.97,49.94,7.7
PA Patel,IPL,136,2442,2848,2358,127,993,365,49,22.43,120.78,42.11,17.56
Shubman Gill,Test,40,4632,2843,4623,66,3165,318,46,43.08,61.5,68.46,7.87
T Taibu,ODI,100,4237,2837,4156,89,2409,196,32,31.88,68.26,57.96,5.49
GJ Maxwell,IPL,134,1896,2820,1818,117,648,238,161,24.1,155.12,35.64,21.95
IJL Trott,ODI,65,3732,2819,3658,57,1779,216,3,49.46,77.06,48.63,5.99
ER Oza,T20I,98,2455,2806,2359,90,1032,338,51,31.18,118.95,43.75,16.49
SFM Devine,T20I,105,2335,2793,2257,93,891,268,94,30.03,123.75,39.48,16.04
GJ Maxwell,T20I,114,1885,2785,1804,98,602,231,145,28.42,154.38,33.37,20.84
Mohammad Yousuf,ODI,76,3741,2783,3676,71,1903,236,13,39.2,75.71,51.77,6.77
DA Miller,T20I,121,2034,2778,1965,84,603,182,140,33.07,141.37,30.69,16.39
MA Agarwal,IPL,125,2146,2764,2066,119,767,275,100,23.23,133.79,37.12,18.15
DJ Bravo,ODI,127,3506,2760,3398,105,1808,219,53,26.29,81.22,53.21,8.0
N Dickwella,Test,54,4158,2757,4148,88,2679,304,11,31.33,66.47,64.59,7.59
RD Berrington,ODI,90,3653,2757,3590,74,1971,192,72,37.26,76.8,54.9,7.35
Yuvraj Singh,IPL,126,2207,2754,2122,109,890,218,149,25.27,129.78,41.94,17.3
RD Gaikwad,IPL,80,2087,2753,2028,69,707,254,103,39.9,135.75,34.86,17.6
Kamran Akmal,ODI,118,3374,2746,3307,106,1922,316,32,25.91,83.04,58.12,10.52
V Sehwag,IPL,104,1833,2728,1755,98,650,334,106,27.84,155.44,37.04,25.07
AJ Healy,T20I,117,2169,2727,2089,101,882,373,52,27.0,130.54,42.22,20.34
L Wolvaardt,T20I,88,2256,2699,2199,71,801,319,38,38.01,122.74,36.43,16.23
RS Bopara,ODI,108,3520,2689,3450,94,1798,204,34,28.61,77.94,52.12,6.9
DJ Mitchell,ODI,53,2868,2689,2803,48,1288,216,71,56.02,95.93,45.95,10.24
Shafali Verma,T20I,102,2077,2687,1986,95,797,344,77,28.28,135.3,40.13,21.2
Waseem Muhammad,T20I,85,1850,2682,1790,79,676,225,153,33.95,149.83,37.77,21.12
WTS Porterfield,ODI,89,3962,2670,3881,93,2402,274,27,28.71,68.8,61.89,7.76
NR Sciver,ODI,70,2842,2668,2787,57,1238,281,19,46.81,95.73,44.42,10.76
AD Russell,IPL,114,1626,2655,1525,92,598,187,223,28.86,174.1,39.21,26.89
Mohammad Yousuf,Test,28,4735,2636,4725,48,3360,319,17,54.92,55.79,71.11,7.11
Sikandar Raza,T20I,109,1980,2630,1917,102,724,199,132,25.78,137.19,37.77,17.27
A Balbirnie,ODI,83,3557,2628,3487,79,1996,254,34,33.27,75.37,57.24,8.26
SE Marsh,ODI,71,3318,2622,3255,67,1739,231,31,39.13,80.55,53.43,8.05
M Vijay,IPL,105,2208,2619,2149,97,926,247,91,27.0,121.87,43.09,15.73
MV Boucher,ODI,106,2961,2617,2909,78,1369,199,55,33.55,89.96,47.06,8.73
SR Taylor,T20I,98,2566,2616,2495,89,1096,268,54,29.39,104.85,43.93,12.91
