bowler,venue,format,innings,balls,runs_given,wickets,dot_balls,economy,average,dot_pct
A Gardner,"Brabourne Stadium, Mumbai",T20I,3,66,61,6,33,5.55,10.17,50.0
A Gardner,"Bready Cricket Club, Magheramason, Bready",T20I,4,72,60,3,32,5.0,20.0,44.44
A Gardner,Carrara Oval,T20I,3,66,63,6,27,5.73,10.5,40.91
A Gardner,Carrara Oval,Test,1,240,84,2,194,2.1,42.0,80.83
A Gardner,"Castle Avenue, Dublin",ODI,2,96,63,4,60,3.94,15.75,62.5
A Gardner,"Coolidge Cricket Ground, Antigua",ODI,1,30,13,1,23,2.6,13.0,76.67
A Gardner,County Ground,ODI,7,390,273,5,226,4.2,54.6,57.95
A Gardner,County Ground,T20I,1,12,16,2,2,8.0,8.0,16.67
A Gardner,"County Ground, Bristol",ODI,1,60,42,3,34,4.2,14.0,56.67
A Gardner,"Dr DY Patil Sports Academy, Mumbai",T20I,5,114,168,3,46,8.84,56.0,40.35
A Gardner,"Dr DY Patil Sports Academy, Navi Mumbai",ODI,1,48,55,1,18,6.88,55.0,37.5
A Gardner,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",ODI,2,96,90,3,55,5.62,30.0,57.29
A Gardner,Dubai International Cricket Stadium,T20I,2,42,47,4,20,6.71,11.75,47.62
A Gardner,"Eden Park, Auckland",ODI,1,36,36,0,24,6.0,36.0,66.67
A Gardner,"Eden Park, Auckland",T20I,1,14,14,0,7,6.0,14.0,50.0
A Gardner,"Edgbaston, Birmingham",T20I,6,108,94,7,55,5.22,13.43,50.93
A Gardner,Grace Road,ODI,3,144,91,7,86,3.79,13.0,59.72
A Gardner,"Great Barrier Reef Arena, Mackay",T20I,1,24,17,3,12,4.25,5.67,50.0
A Gardner,"Hagley Oval, Christchurch",ODI,1,12,15,1,3,7.5,15.0,25.0
A Gardner,"Holkar Cricket Stadium, Indore",ODI,3,114,105,3,55,5.53,35.0,48.25
A Gardner,Junction Oval,ODI,1,54,49,3,25,5.44,16.33,46.3
A Gardner,Junction Oval,T20I,3,40,67,0,8,10.05,67.0,20.0
A Gardner,"Junction Oval, Melbourne",ODI,2,81,36,2,58,2.67,18.0,71.6
A Gardner,Karen Rolton Oval,ODI,1,36,30,0,20,5.0,30.0,55.56
A Gardner,"Kennington Oval, London",T20I,1,24,39,3,6,9.75,13.0,25.0
A Gardner,"Kensington Oval, Barbados",T20I,2,36,25,3,19,4.17,8.33,52.78
A Gardner,Kinrara Academy Oval,ODI,3,121,61,7,86,3.02,8.71,71.07
A Gardner,Kinrara Academy Oval,T20I,3,66,56,2,28,5.09,28.0,42.42
A Gardner,"Lord's, London",T20I,1,12,22,0,4,11.0,22.0,33.33
A Gardner,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",ODI,2,102,74,2,62,4.35,37.0,60.78
A Gardner,Manuka Oval,T20I,3,36,49,1,11,8.17,49.0,30.56
A Gardner,"Manuka Oval, Canberra",ODI,1,6,7,0,2,7.0,7.0,33.33
A Gardner,"Manuka Oval, Canberra",T20I,3,72,80,6,31,6.67,13.33,43.06
A Gardner,"Manuka Oval, Canberra",Test,1,84,53,1,53,3.79,53.0,63.1
A Gardner,Melbourne Cricket Ground,Test,1,214,69,6,178,1.93,11.5,83.18
A Gardner,"Newlands, Cape Town",T20I,2,48,58,3,15,7.25,19.33,31.25
A Gardner,North Sydney Oval,T20I,3,42,55,3,15,7.86,18.33,35.71
A Gardner,"North Sydney Oval, Sydney",ODI,4,151,106,8,97,4.21,13.25,64.24
A Gardner,"North Sydney Oval, Sydney",T20I,3,53,73,1,19,8.26,73.0,35.85
