bowler,year,format,balls,runs_given,wickets,matches,dot_balls,economy,average,strike_rate
A Wanjira,2024,T20I,309,286,14,16,181,5.55,20.43,22.07
A Wanjira,2025,T20I,13,12,1,1,8,5.54,12.0,13.0
A Wellington,2016,ODI,60,46,1,1,32,4.6,46.0,60.0
A Wellington,2017,ODI,330,282,8,6,172,5.13,35.25,41.25
A Wellington,2017,T20I,96,96,9,5,41,6.0,10.67,10.67
A Wellington,2017,Test,342,137,2,1,259,2.4,68.5,171.0
A Wellington,2018,ODI,60,44,5,2,38,4.4,8.8,12.0
A Wellington,2018,T20I,24,19,1,3,14,4.75,19.0,24.0
A Wellington,2022,ODI,84,59,3,2,47,4.21,19.67,28.0
A Wright,2023,T20I,96,78,4,4,49,4.88,19.5,24.0
A Wright,2024,T20I,61,57,6,3,28,5.61,9.5,10.17
A Wright,2025,T20I,237,245,7,12,99,6.2,35.0,33.86
A Wright,2026,T20I,126,79,10,6,74,3.76,7.9,12.6
A Yon,2022,T20I,48,52,10,3,19,6.5,5.2,4.8
A Yon,2024,T20I,54,69,1,3,22,7.67,69.0,54.0
A Yon,2026,T20I,18,22,0,1,6,7.33,22.0,18.0
A Zampa,2016,IPL,102,117,12,5,34,6.88,9.75,8.5
A Zampa,2016,ODI,932,841,31,19,438,5.41,27.13,30.06
A Zampa,2016,T20I,162,163,9,8,61,6.04,18.11,18.0
A Zampa,2017,IPL,119,164,7,6,39,8.27,23.43,17.0
A Zampa,2017,ODI,392,412,10,8,160,6.31,41.2,39.2
A Zampa,2017,T20I,78,76,7,4,31,5.85,10.86,11.14
A Zampa,2018,ODI,306,304,2,6,112,5.96,152.0,153.0
A Zampa,2018,T20I,163,168,6,7,65,6.18,28.0,27.17
A Zampa,2019,ODI,802,764,21,14,339,5.72,36.38,38.19
A Zampa,2019,T20I,156,175,6,7,47,6.73,29.17,26.0
A Zampa,2020,IPL,66,92,2,3,20,8.36,46.0,33.0
A Zampa,2020,ODI,768,652,27,13,340,5.09,24.15,28.44
A Zampa,2020,T20I,194,257,11,9,57,7.95,23.36,17.64
A Zampa,2021,ODI,134,116,5,3,82,5.19,23.2,26.8
A Zampa,2021,T20I,459,560,27,21,187,7.32,20.74,17.0
A Zampa,2022,ODI,634,533,30,12,314,5.04,17.77,21.13
A Zampa,2022,T20I,306,393,16,14,87,7.71,24.56,19.12
A Zampa,2023,IPL,132,189,9,6,40,8.59,21.0,14.67
A Zampa,2023,ODI,978,956,38,19,442,5.87,25.16,25.74
A Zampa,2023,T20I,48,75,0,2,11,9.38,75.0,48.0
A Zampa,2024,ODI,473,454,15,10,233,5.76,30.27,31.53
A Zampa,2024,T20I,445,586,33,20,162,7.9,17.76,13.48
A Zampa,2025,IPL,48,94,2,2,10,11.75,47.0,24.0
A Zampa,2025,ODI,474,467,14,9,208,5.91,33.36,33.86
A Zampa,2025,T20I,258,393,17,11,81,9.14,23.12,15.18
A Zampa,2026,PSL,168,219,5,7,48,7.82,43.8,33.6
A Zampa,2026,T20I,152,190,13,7,56,7.5,14.62,11.69
A Zimunu,2024,ODI,55,62,2,2,29,6.76,31.0,27.5
A Zimunu,2025,ODI,255,186,9,6,169,4.38,20.67,28.33
A Zimunu,2025,T20I,102,109,2,6,53,6.41,54.5,51.0
A Zimunu,2026,ODI,120,151,2,4,59,7.55,75.5,60.0
A Zimunu,2026,T20I,60,83,2,4,29,8.3,41.5,30.0
A van der Merwe,2010,ODI,66,42,1,2,41,3.82,42.0,66.0
A van der Merwe,2011,ODI,60,37,1,1,35,3.7,37.0,60.0
AA Alleyne,2019,ODI,126,91,3,3,79,4.33,30.33,42.0
AA Alleyne,2019,T20I,36,43,1,2,12,7.17,43.0,36.0
AA Alleyne,2020,T20I,49,68,2,3,23,8.33,34.0,24.5
AA Alleyne,2021,ODI,114,92,4,3,76,4.84,23.0,28.5
AA Alleyne,2021,T20I,91,111,4,6,49,7.32,27.75,22.75
AA Alleyne,2022,ODI,330,294,8,9,189,5.35,36.75,41.25
AA Alleyne,2022,T20I,134,211,3,10,52,9.45,70.33,44.67
AA Alleyne,2023,ODI,78,80,3,5,45,6.15,26.67,26.0
AA Alleyne,2023,T20I,66,112,1,5,26,10.18,112.0,66.0
AA Alleyne,2024,ODI,224,222,7,8,127,5.95,31.71,32.0
AA Alleyne,2024,T20I,218,242,9,13,89,6.66,26.89,24.22
AA Alleyne,2025,ODI,450,452,24,13,210,6.03,18.83,18.75
AA Alleyne,2025,T20I,61,97,1,5,12,9.54,97.0,61.0
AA Alleyne,2026,ODI,116,110,3,4,58,5.69,36.67,38.67
