bowler,year,format,balls,runs_given,wickets,matches,dot_balls,economy,average,strike_rate
CJ McKay,2014,ODI,174,145,6,3,99,5.0,24.17,29.0
CJ Metcalfe,2008,ODI,42,27,1,1,31,3.86,27.0,42.0
CJ Metcalfe,2015,T20I,78,82,4,4,35,6.31,20.5,19.5
CJ Metcalfe,2016,ODI,52,23,3,1,45,2.65,7.67,17.33
CJ Metcalfe,2016,T20I,111,98,7,5,50,5.3,14.0,15.86
CJ Metcalfe,2017,ODI,258,218,1,5,155,5.07,218.0,258.0
CJ Metcalfe,2018,T20I,190,189,12,10,93,5.97,15.75,15.83
CJ Sayers,2018,Test,294,150,2,1,227,3.06,75.0,147.0
CJA Amini,2015,T20I,6,7,0,1,3,7.0,7.0,6.0
CJA Amini,2016,T20I,18,22,2,2,5,7.33,11.0,9.0
CJA Amini,2018,ODI,162,115,7,4,94,4.26,16.43,23.14
CJA Amini,2019,ODI,469,375,8,9,263,4.8,46.88,58.62
CJA Amini,2019,T20I,229,207,11,11,104,5.42,18.82,20.82
CJA Amini,2021,ODI,278,202,4,6,155,4.36,50.5,69.5
CJA Amini,2021,T20I,99,142,2,5,25,8.61,71.0,49.5
CJA Amini,2022,ODI,582,468,12,15,291,4.82,39.0,48.5
CJA Amini,2022,T20I,150,215,9,10,46,8.6,23.89,16.67
CJA Amini,2023,ODI,102,138,2,6,50,8.12,69.0,51.0
CJA Amini,2023,T20I,144,120,10,8,61,5.0,12.0,14.4
CJA Amini,2024,T20I,56,53,4,5,22,5.68,13.25,14.0
CJPF Kalugamage,2022,T20I,65,72,1,4,27,6.65,72.0,65.0
CJPF Kalugamage,2023,T20I,36,66,0,3,10,11.0,66.0,36.0
CJPF Kalugamage,2024,T20I,96,73,10,4,62,4.56,7.3,9.6
CJPF Kalugamage,2025,T20I,60,77,2,3,16,7.7,38.5,30.0
CJPF Kalugamage,2026,T20I,151,196,12,7,46,7.79,16.33,12.58
CK Holder,2020,Test,156,114,2,1,107,4.38,57.0,78.0
CK Holder,2021,ODI,20,26,0,1,10,7.8,26.0,20.0
CK Hooper,2007,ODI,49,67,1,1,24,8.2,67.0,49.0
CK Hooper,2010,ODI,18,22,0,1,10,7.33,22.0,18.0
CK Jasmat,2022,T20I,102,98,4,5,49,5.76,24.5,25.5
CK Jasmat,2024,T20I,71,78,3,4,30,6.59,26.0,23.67
CK Jasmat,2025,T20I,221,284,9,11,104,7.71,31.56,24.56
CK Kapugedera,2008,IPL,17,49,0,3,0,17.29,49.0,17.0
CK Kapugedera,2008,ODI,228,193,2,6,101,5.08,96.5,114.0
CK Kapugedera,2009,Test,12,9,0,1,7,4.5,9.0,12.0
CK Kapugedera,2010,ODI,12,8,0,1,5,4.0,8.0,12.0
CK Kapugedera,2011,ODI,18,18,0,2,7,6.0,18.0,18.0
CK Kapugedera,2012,ODI,6,7,0,1,2,7.0,7.0,6.0
CK Langeveldt,2003,ODI,68,49,0,2,41,4.32,49.0,68.0
CK Langeveldt,2004,ODI,90,79,3,2,56,5.27,26.33,30.0
CK Langeveldt,2005,ODI,456,369,12,9,262,4.86,30.75,38.0
CK Langeveldt,2005,T20I,12,15,2,1,6,7.5,7.5,6.0
CK Langeveldt,2005,Test,328,156,8,3,265,2.85,19.5,41.0
CK Langeveldt,2006,ODI,458,425,11,10,239,5.57,38.64,41.64
CK Langeveldt,2006,T20I,25,21,3,1,17,5.04,7.0,8.33
CK Langeveldt,2006,Test,230,160,3,1,162,4.17,53.33,76.67
CK Langeveldt,2007,ODI,960,846,28,19,549,5.29,30.21,34.29
CK Langeveldt,2007,T20I,24,35,0,1,9,8.75,35.0,24.0
CK Langeveldt,2008,ODI,314,248,12,6,192,4.74,20.67,26.17
CK Langeveldt,2009,IPL,24,15,3,1,16,3.75,5.0,8.0
CK Langeveldt,2009,ODI,187,140,5,4,121,4.49,28.0,37.4
CK Langeveldt,2009,T20I,24,40,1,1,10,10.0,40.0,24.0
CK Langeveldt,2010,IPL,66,92,5,3,27,8.36,18.4,13.2
CK Langeveldt,2010,ODI,492,504,17,9,255,6.15,29.65,28.94
CK Langeveldt,2010,T20I,90,125,9,4,40,8.33,13.89,10.0
CK Langeveldt,2011,IPL,67,92,5,3,32,8.24,18.4,13.4
CK Tshuma,2020,ODI,66,83,1,2,33,7.55,83.0,66.0
CK Tshuma,2020,T20I,6,10,0,1,3,10.0,10.0,6.0
CK Tshuma,2020,Test,150,85,1,1,105,3.4,85.0,150.0
CKB Kulasekara,2011,ODI,18,19,0,1,10,6.33,19.0,18.0
CKB Kulasekara,2011,Test,171,80,1,1,128,2.81,80.0,171.0
CKB Kulasekara,2012,ODI,60,63,0,3,15,6.3,63.0,60.0
CL Cairns,2003,ODI,278,274,5,9,146,5.91,54.8,55.6
CL Cairns,2004,ODI,369,246,8,8,230,4.0,30.75,46.12
CL Cairns,2004,Test,374,196,8,2,290,3.14,24.5,46.75
CL Cairns,2005,ODI,202,184,5,4,105,5.47,36.8,40.4
CL Cairns,2005,T20I,24,28,1,1,4,7.0,28.0,24.0
CL Cairns,2006,ODI,84,78,2,2,47,5.57,39.0,42.0
CL Cairns,2006,T20I,24,24,1,1,7,6.0,24.0,24.0
CL Fitzpatrick,2003,Test,366,90,7,1,322,1.48,12.86,52.29
CL Fitzpatrick,2005,Test,311,130,5,1,251,2.51,26.0,62.2
CL Fitzpatrick,2007,ODI,60,31,2,1,38,3.1,15.5,30.0
CL Hooper,2003,ODI,200,166,3,4,93,4.98,55.33,66.67
CL Tryon,2011,ODI,114,103,2,2,71,5.42,51.5,57.0
CL Tryon,2011,T20I,8,6,0,1,7,4.5,6.0,8.0
CL Tryon,2013,T20I,60,64,2,4,24,6.4,32.0,30.0
CL Tryon,2014,ODI,24,15,0,1,17,3.75,15.0,24.0
CL Tryon,2014,T20I,141,158,6,10,67,6.72,26.33,23.5
CL Tryon,2016,ODI,336,225,4,7,216,4.02,56.25,84.0
CL Tryon,2016,T20I,24,44,2,2,11,11.0,22.0,12.0
CL Tryon,2017,ODI,24,37,0,2,7,9.25,37.0,24.0
CL Tryon,2018,ODI,241,173,12,9,157,4.31,14.42,20.08
CL Tryon,2018,T20I,23,35,0,3,8,9.13,35.0,23.0
CL Tryon,2019,ODI,60,56,1,3,36,5.6,56.0,60.0
CL Tryon,2019,T20I,12,15,0,2,3,7.5,15.0,12.0
CL Tryon,2020,ODI,84,66,2,3,41,4.71,33.0,42.0
CL Tryon,2020,T20I,73,110,1,6,17,9.04,110.0,73.0
CL Tryon,2021,ODI,114,59,2,2,83,3.11,29.5,57.0
CL Tryon,2022,ODI,631,519,13,14,312,4.94,39.92,48.54
CL Tryon,2022,T20I,144,164,4,8,57,6.83,41.0,36.0
CL Tryon,2023,ODI,84,68,1,3,45,4.86,68.0,84.0
CL Tryon,2023,T20I,174,201,10,10,57,6.93,20.1,17.4
CL Tryon,2024,ODI,135,124,3,5,67,5.51,41.33,45.0
CL Tryon,2024,T20I,352,369,9,18,146,6.29,41.0,39.11
CL Tryon,2024,Test,188,153,3,2,115,4.88,51.0,62.67
CL Tryon,2025,ODI,630,520,16,16,342,4.95,32.5,39.38
CL Tryon,2025,T20I,80,83,4,5,37,6.22,20.75,20.0
CL Tryon,2026,ODI,216,211,3,6,86,5.86,70.33,72.0
CL Tryon,2026,T20I,150,208,6,10,51,8.32,34.67,25.0
CL White,2005,ODI,24,26,0,2,8,6.5,26.0,24.0
CL White,2007,ODI,126,147,3,7,57,7.0,49.0,42.0
CL White,2007,T20I,12,11,1,1,5,5.5,11.0,12.0
CL White,2008,IPL,6,24,0,1,0,24.0,24.0,6.0
CL White,2008,ODI,88,79,6,3,45,5.39,13.17,14.67
CL White,2008,T20I,6,10,0,1,5,10.0,10.0,6.0
CL White,2008,Test,558,356,6,4,352,3.83,59.33,93.0
CL White,2009,ODI,60,72,2,4,16,7.2,36.0,30.0
CL White,2009,T20I,6,6,0,1,2,6.0,6.0,6.0
CL White,2010,IPL,6,19,0,1,2,19.0,19.0,6.0
CL White,2011,ODI,6,7,0,1,1,7.0,7.0,6.0
CL White,2012,IPL,18,27,0,2,1,9.0,27.0,18.0
CL White,2012,T20I,6,12,0,1,0,12.0,12.0,6.0
CL White,2013,IPL,12,16,1,2,5,8.0,16.0,12.0
CL White,2014,T20I,12,14,1,1,1,7.0,14.0,12.0
CM Akachukwu,2019,T20I,110,155,6,8,36,8.45,25.83,18.33
CM Akachukwu,2021,T20I,96,109,5,7,43,6.81,21.8,19.2
CM Edwards,2003,Test,6,10,0,1,3,10.0,10.0,6.0
CM Edwards,2005,Test,91,33,1,1,74,2.18,33.0,91.0
CM Edwards,2006,Test,139,54,2,1,113,2.33,27.0,69.5
CM Edwards,2009,ODI,10,10,1,1,6,6.0,10.0,10.0
CM Edwards,2009,T20I,12,23,0,2,1,11.5,23.0,12.0
CM Edwards,2011,ODI,37,41,1,1,13,6.65,41.0,37.0
CM Edwards,2013,Test,6,7,0,1,2,7.0,7.0,6.0
CM Edwards,2014,T20I,15,20,1,2,5,8.0,20.0,15.0
CM Gough,2019,T20I,48,72,6,2,13,9.0,12.0,8.0
CM Gough,2020,T20I,163,67,8,8,122,2.47,8.38,20.38
CM Gough,2021,T20I,68,67,4,5,36,5.91,16.75,17.0
CM Gough,2022,T20I,18,32,1,2,7,10.67,32.0,18.0
CM Gough,2023,T20I,78,82,5,4,36,6.31,16.4,15.6
CM Gough,2024,T20I,18,20,0,2,5,6.67,20.0,18.0
CM Gough,2025,T20I,221,181,10,11,121,4.91,18.1,22.1
CM Greechan,2022,T20I,24,12,2,1,16,3.0,6.0,12.0
CM Greechan,2023,T20I,184,119,17,8,110,3.88,7.0,10.82
CM Greechan,2024,T20I,132,67,5,6,93,3.05,13.4,26.4
CM Greechan,2025,T20I,115,85,6,5,59,4.43,14.17,19.17
CM Madsen,2024,T20I,12,20,1,1,5,10.0,20.0,12.0
CM Madsen,2026,T20I,62,117,1,3,18,11.32,117.0,62.0
CM Mbebe,2025,T20I,24,27,0,1,13,6.75,27.0,24.0
CM McBride,2022,ODI,72,48,3,4,49,4.0,16.0,24.0
CM McBride,2023,ODI,60,54,1,3,33,5.4,54.0,60.0
CM McBride,2026,ODI,48,36,0,2,23,4.5,36.0,48.0
CM McBride,2026,T20I,6,14,0,1,0,14.0,14.0,6.0
CM Scott,2022,T20I,6,6,0,1,3,6.0,6.0,6.0
CM Willoughby,2003,Test,120,48,0,1,102,2.4,48.0,120.0
CM Wright,2007,ODI,174,141,3,4,95,4.86,47.0,58.0
CM Wright,2007,T20I,24,29,3,1,8,7.25,9.67,8.0
CM Wright,2008,ODI,42,17,1,1,37,2.43,17.0,42.0
CM Wright,2009,ODI,90,72,4,2,65,4.8,18.0,22.5
CM Wright,2009,T20I,6,20,1,1,2,20.0,20.0,6.0
CMG Atkins,2006,Test,24,9,1,1,21,2.25,9.0,24.0
CMG Atkins,2009,Test,30,21,0,1,19,4.2,21.0,30.0
CMG Atkins,2011,Test,18,6,0,1,15,2.0,6.0,18.0
CN Ackermann,2019,T20I,150,147,5,10,73,5.88,29.4,30.0
CN Ackermann,2021,ODI,24,18,0,1,11,4.5,18.0,24.0
CN Ackermann,2021,T20I,19,34,1,1,9,10.74,34.0,19.0
CN Ackermann,2022,T20I,42,37,1,3,16,5.29,37.0,42.0
CN Ackermann,2023,ODI,416,359,10,11,209,5.18,35.9,41.6
CN Ackermann,2024,ODI,108,71,5,2,82,3.94,14.2,21.6
CN Ackermann,2024,T20I,72,68,4,3,29,5.67,17.0,18.0
CN Ackermann,2025,ODI,66,22,1,2,50,2.0,22.0,66.0
CN Ackermann,2026,T20I,36,69,0,2,11,11.5,69.0,36.0
CN Greaves,2021,T20I,142,177,7,8,53,7.48,25.29,20.29
CN Greaves,2022,ODI,180,165,7,7,87,5.5,23.57,25.71
CN Greaves,2022,T20I,54,72,1,3,10,8.0,72.0,54.0
CN Greaves,2023,ODI,376,359,17,11,186,5.73,21.12,22.12
CN Greaves,2023,T20I,45,51,3,4,20,6.8,17.0,15.0
CN Greaves,2024,ODI,81,53,2,2,44,3.93,26.5,40.5
CN Greaves,2024,T20I,114,156,7,9,34,8.21,22.29,16.29
CN Greaves,2025,ODI,18,24,3,1,9,8.0,8.0,6.0
CN Greaves,2025,T20I,108,132,9,5,34,7.33,14.67,12.0
CN Nation,2009,T20I,24,14,2,1,15,3.5,7.0,12.0
CN Nation,2017,ODI,6,9,0,1,3,9.0,9.0,6.0
CN Nation,2019,T20I,24,31,1,1,7,7.75,31.0,24.0
CNIM Joyce,2018,ODI,18,31,0,1,5,10.33,31.0,18.0
CO Obuya,2003,ODI,586,460,17,11,338,4.71,27.06,34.47
CO Obuya,2006,ODI,1,5,0,1,0,30.0,5.0,1.0
CO Obuya,2007,ODI,45,29,0,2,22,3.87,29.0,45.0
CO Obuya,2009,ODI,60,49,0,1,29,4.9,49.0,60.0
CO Obuya,2011,ODI,71,80,1,5,19,6.76,80.0,71.0
CO Obuya,2012,ODI,60,45,3,2,26,4.5,15.0,20.0
CO Obuya,2012,T20I,57,62,2,3,24,6.53,31.0,28.5
CO Obuya,2013,ODI,18,29,0,1,6,9.67,29.0,18.0
CO Obuya,2013,T20I,54,44,5,3,22,4.89,8.8,10.8
CO Obuya,2019,T20I,119,112,13,7,60,5.65,8.62,9.15
CO Obuya,2021,T20I,48,75,1,4,23,9.38,75.0,48.0
CO Obuya,2022,T20I,30,46,1,3,10,9.2,46.0,30.0
CP Jack,2009,ODI,24,21,0,1,10,5.25,21.0,24.0
CP Rizwan,2019,ODI,4,10,0,1,2,15.0,10.0,4.0
CP Rizwan,2022,ODI,54,41,1,4,33,4.56,41.0,54.0
CP Schofield,2007,T20I,77,92,4,4,29,7.17,23.0,19.25
CP Tremain,2016,ODI,240,257,7,4,112,6.42,36.71,34.29
CPPM Sadun,2021,T20I,6,5,1,1,1,5.0,5.0,6.0
CPPM Sadun,2022,T20I,75,75,6,5,33,6.0,12.5,12.5
CPPM Sadun,2024,T20I,108,148,2,6,43,8.22,74.0,54.0
CPPM Sadun,2025,T20I,80,79,2,4,28,5.93,39.5,40.0
CR Brathwaite,2011,T20I,18,25,1,1,5,8.33,25.0,18.0
CR Brathwaite,2015,ODI,241,234,3,6,118,5.83,78.0,80.33
CR Brathwaite,2015,T20I,18,42,0,1,7,14.0,42.0,18.0
CR Brathwaite,2015,Test,216,142,1,1,149,3.94,142.0,216.0
CR Brathwaite,2016,IPL,142,192,9,8,43,8.11,21.33,15.78
CR Brathwaite,2016,ODI,660,628,23,13,306,5.71,27.3,28.7
CR Brathwaite,2016,T20I,167,247,5,9,47,8.87,49.4,33.4
CR Brathwaite,2016,Test,192,103,0,2,140,3.22,103.0,192.0
CR Brathwaite,2017,IPL,36,67,1,2,6,11.17,67.0,36.0
CR Brathwaite,2017,ODI,144,148,1,3,59,6.17,148.0,144.0
CR Brathwaite,2017,T20I,129,173,11,7,46,8.05,15.73,11.73
CR Brathwaite,2018,IPL,61,96,6,4,23,9.44,16.0,10.17
CR Brathwaite,2018,ODI,150,91,5,3,107,3.64,18.2,30.0
CR Brathwaite,2018,T20I,235,360,9,12,83,9.19,40.0,26.11
CR Brathwaite,2019,IPL,18,29,0,2,6,9.67,29.0,18.0
CR Brathwaite,2019,ODI,487,546,14,12,205,6.73,39.0,34.79
CR Brathwaite,2019,PSL,12,26,1,1,5,13.0,26.0,12.0
CR Brathwaite,2019,T20I,85,129,3,5,23,9.11,43.0,28.33
CR Brathwaite,2020,PSL,59,87,5,4,16,8.85,17.4,11.8
CR Brathwaite,2021,PSL,120,162,4,5,44,8.1,40.5,30.0
CR Brathwaite,2023,PSL,48,84,1,4,13,10.5,84.0,48.0
CR Brathwaite,2024,PSL,54,78,1,3,12,8.67,78.0,54.0
CR Pagydyala,2023,T20I,30,20,6,3,17,4.0,3.33,5.0
CR Seneviratna,2008,ODI,48,41,0,1,29,5.12,41.0,48.0
CR Seneviratna,2012,T20I,78,61,8,5,53,4.69,7.62,9.75
CR Seneviratna,2013,ODI,340,193,12,7,232,3.41,16.08,28.33
CR Seneviratna,2013,T20I,108,128,6,6,40,7.11,21.33,18.0
CR Seneviratna,2018,T20I,102,87,3,5,57,5.12,29.0,34.0
CR Seneviratna,2019,T20I,132,77,10,6,92,3.5,7.7,13.2
CR Seneviratna,2021,T20I,76,63,7,4,39,4.97,9.0,10.86
CR Seneviratna,2022,T20I,54,41,6,3,35,4.56,6.83,9.0
CR Smith,2007,ODI,30,21,0,1,21,4.2,21.0,30.0
CR Smith,2010,T20I,48,49,1,2,19,6.12,49.0,48.0
CR Suryawanshi,2019,T20I,12,13,1,1,4,6.5,13.0,12.0
CR Woakes,2011,ODI,195,170,7,4,104,5.23,24.29,27.86
CR Woakes,2011,T20I,60,95,2,3,19,9.5,47.5,30.0
CR Woakes,2012,ODI,36,35,0,1,16,5.83,35.0,36.0
CR Woakes,2013,ODI,360,356,9,7,192,5.93,39.56,40.0
CR Woakes,2013,T20I,6,19,0,1,1,19.0,19.0,6.0
CR Woakes,2013,Test,144,96,1,1,105,4.0,96.0,144.0
CR Woakes,2014,ODI,540,559,19,11,268,6.21,29.42,28.42
CR Woakes,2014,T20I,48,77,2,2,18,9.62,38.5,24.0
CR Woakes,2014,Test,426,231,7,3,337,3.25,33.0,60.86
CR Woakes,2015,ODI,824,792,22,17,431,5.77,36.0,37.45
CR Woakes,2015,T20I,49,67,3,2,23,8.2,22.33,16.33
CR Woakes,2015,Test,144,54,1,1,116,2.25,54.0,144.0
CR Woakes,2016,ODI,693,625,22,14,374,5.41,28.41,31.5
CR Woakes,2016,Test,2036,1093,43,12,1561,3.22,25.42,47.35
CR Woakes,2017,IPL,264,393,18,13,93,8.93,21.83,14.67
CR Woakes,2017,ODI,529,458,23,11,334,5.19,19.91,23.0
CR Woakes,2017,Test,1202,632,12,5,919,3.15,52.67,100.17
CR Woakes,2018,IPL,110,196,8,5,47,10.69,24.5,13.75
CR Woakes,2018,ODI,594,512,27,12,339,5.17,18.96,22.0
CR Woakes,2018,Test,648,359,12,4,483,3.32,29.92,54.0
CR Woakes,2019,ODI,818,836,30,17,449,6.13,27.87,27.27
CR Woakes,2019,Test,929,501,20,6,719,3.24,25.05,46.45
CR Woakes,2020,ODI,258,196,7,5,142,4.56,28.0,36.86
CR Woakes,2020,Test,987,449,22,6,776,2.73,20.41,44.86
CR Woakes,2021,IPL,67,85,5,3,33,7.61,17.0,13.4
CR Woakes,2021,ODI,120,52,6,2,95,2.6,8.67,20.0
CR Woakes,2021,T20I,165,181,9,8,88,6.58,20.11,18.33
CR Woakes,2021,Test,661,375,10,3,513,3.4,37.5,66.1
CR Woakes,2022,ODI,120,108,2,2,59,5.4,54.0,60.0
CR Woakes,2022,T20I,168,239,11,9,62,8.54,21.73,15.27
CR Woakes,2022,Test,722,355,8,4,569,2.95,44.38,90.25
CR Woakes,2023,ODI,578,492,17,13,344,5.11,28.94,34.0
CR Woakes,2023,T20I,92,147,4,7,36,9.59,36.75,23.0
CR Woakes,2023,Test,683,358,19,3,518,3.14,18.84,35.95
CR Woakes,2024,Test,1572,815,33,9,1221,3.11,24.7,47.64
CR Woakes,2025,Test,1094,583,11,5,826,3.2,53.0,99.45
CRD Fernando,2002,ODI,49,48,2,1,23,5.88,24.0,24.5
CRD Fernando,2003,ODI,528,466,13,13,284,5.3,35.85,40.62
CRD Fernando,2003,Test,146,89,4,1,109,3.66,22.25,36.5
CRD Fernando,2004,ODI,155,103,5,4,107,3.99,20.6,31.0
CRD Fernando,2005,ODI,456,426,11,8,264,5.61,38.73,41.45
CRD Fernando,2005,Test,163,131,8,2,105,4.82,16.38,20.38
CRD Fernando,2006,ODI,775,731,20,17,416,5.66,36.55,38.75
CRD Fernando,2006,T20I,66,80,4,3,27,7.27,20.0,16.5
CRD Fernando,2006,Test,536,261,13,3,405,2.92,20.08,41.23
CRD Fernando,2007,ODI,900,689,33,19,570,4.59,20.88,27.27
CRD Fernando,2007,T20I,103,111,6,5,60,6.47,18.5,17.17
CRD Fernando,2007,Test,1115,660,15,6,791,3.55,44.0,74.33
CRD Fernando,2008,IPL,121,164,12,5,53,8.13,13.67,10.08
CRD Fernando,2008,ODI,279,235,7,6,159,5.05,33.57,39.86
CRD Fernando,2008,T20I,50,64,2,2,18,7.68,32.0,25.0
CRD Fernando,2009,ODI,221,257,6,4,92,6.98,42.83,36.83
CRD Fernando,2009,T20I,66,103,2,3,21,9.36,51.5,33.0
CRD Fernando,2009,Test,440,239,4,3,327,3.26,59.75,110.0
CRD Fernando,2010,IPL,117,142,7,5,54,7.28,20.29,16.71
CRD Fernando,2010,ODI,292,239,10,6,159,4.91,23.9,29.2
CRD Fernando,2010,T20I,24,29,2,1,10,7.25,14.5,12.0
CRD Fernando,2010,Test,283,189,2,2,184,4.01,94.5,141.5
CRD Fernando,2011,ODI,325,271,11,6,197,5.0,24.64,29.55
CRD Fernando,2011,T20I,24,36,1,1,12,9.0,36.0,24.0
CRD Fernando,2011,Test,585,410,7,4,396,4.21,58.57,83.57
CRD Fernando,2012,ODI,54,65,0,1,21,7.22,65.0,54.0
CRD Fernando,2012,Test,210,127,3,1,139,3.63,42.33,70.0
CRD Fernando,2016,T20I,12,7,0,1,8,3.5,7.0,12.0
CS Delport,2016,PSL,66,87,4,5,18,7.91,21.75,16.5
CS Delport,2017,PSL,11,18,1,1,6,9.82,18.0,11.0
CS Delport,2019,PSL,54,71,4,4,12,7.89,17.75,13.5
CS Delport,2020,PSL,55,94,1,3,11,10.25,94.0,55.0
CS Delport,2021,PSL,7,25,0,1,1,21.43,25.0,7.0
CS Fraser,2021,ODI,54,49,1,2,29,5.44,49.0,54.0
CS Fraser,2022,ODI,126,142,3,4,65,6.76,47.33,42.0
CS Fraser,2022,T20I,111,159,6,8,34,8.59,26.5,18.5
CS Fraser,2023,ODI,108,102,3,5,69,5.67,34.0,36.0
CS Fraser,2023,T20I,60,58,6,3,33,5.8,9.67,10.0
CS Fraser,2024,T20I,42,62,1,4,16,8.86,62.0,42.0
CS Fraser,2025,ODI,180,186,3,7,111,6.2,62.0,60.0
CS Fraser,2025,T20I,75,115,4,5,26,9.2,28.75,18.75
CS MacLeod,2009,ODI,93,79,3,2,62,5.1,26.33,31.0
CS MacLeod,2009,T20I,30,56,0,2,10,11.2,56.0,30.0
CS MacLeod,2013,ODI,36,18,1,1,24,3.0,18.0,36.0
CS MacLeod,2014,ODI,62,59,1,4,30,5.71,59.0,62.0
CS MacLeod,2016,ODI,18,20,0,2,7,6.67,20.0,18.0
CS MacLeod,2016,T20I,6,15,0,1,2,15.0,15.0,6.0
CS MacLeod,2017,ODI,50,37,0,2,24,4.44,37.0,50.0
CS MacLeod,2017,T20I,6,13,0,1,0,13.0,13.0,6.0
CS MacLeod,2018,ODI,180,198,0,7,85,6.6,198.0,180.0
CS MacLeod,2019,ODI,96,80,1,5,48,5.0,80.0,96.0
CS MacLeod,2019,T20I,54,51,2,4,18,5.67,25.5,27.0
CS MacLeod,2021,ODI,30,9,1,2,21,1.8,9.0,30.0
CS MacLeod,2021,T20I,36,38,1,3,17,6.33,38.0,36.0
CS MacLeod,2022,ODI,168,135,1,8,88,4.82,135.0,168.0
CS MacLeod,2022,T20I,6,11,0,1,0,11.0,11.0,6.0
CS Martin,2004,Test,1000,597,23,4,759,3.58,25.96,43.48
CS Martin,2005,Test,892,504,16,5,684,3.39,31.5,55.75
CS Martin,2006,Test,1185,675,20,6,892,3.42,33.75,59.25
CS Martin,2007,ODI,289,205,2,5,185,4.26,102.5,144.5
CS Martin,2007,T20I,91,117,5,4,45,7.71,23.4,18.2
CS Martin,2007,Test,384,205,6,2,303,3.2,34.17,64.0
CS Martin,2008,ODI,223,211,5,5,130,5.68,42.2,44.6
CS Martin,2008,T20I,48,80,3,2,17,10.0,26.67,16.0
CS Martin,2008,Test,2046,1080,35,10,1573,3.17,30.86,58.46
CS Martin,2009,Test,1880,1034,30,8,1419,3.3,34.47,62.67
CS Martin,2010,Test,1258,743,14,6,950,3.54,53.07,89.86
CS Martin,2011,Test,1156,595,20,5,898,3.09,29.75,57.8
CS Martin,2012,Test,1044,586,20,6,787,3.37,29.3,52.2
CS Martin,2013,Test,117,65,3,1,84,3.33,21.67,39.0
CS Nascimento,2022,T20I,19,39,2,2,4,12.32,19.5,9.5
CS Nascimento,2023,T20I,130,83,7,6,88,3.83,11.86,18.57
CS Nascimento,2025,T20I,145,115,10,8,66,4.76,11.5,14.5
CS Nascimento,2026,T20I,54,48,4,4,28,5.33,12.0,13.5
CS Terblanche,2007,ODI,78,35,1,2,60,2.69,35.0,78.0
CT Mumba,2016,ODI,24,31,0,1,12,7.75,31.0,24.0
CT Mumba,2016,Test,467,313,8,2,327,4.02,39.12,58.38
CT Mumba,2017,ODI,38,36,0,1,23,5.68,36.0,38.0
CT Mumba,2020,ODI,212,262,8,5,103,7.42,32.75,26.5
CT Mumba,2020,T20I,30,51,0,2,10,10.2,51.0,30.0
CT Mumba,2020,Test,132,61,2,1,105,2.77,30.5,66.0
CT Mumba,2023,T20I,96,142,5,7,51,8.88,28.4,19.2
CT Mutombodzi,2013,ODI,137,133,2,3,64,5.82,66.5,68.5
CT Mutombodzi,2013,T20I,60,81,4,3,18,8.1,20.25,15.0
CT Mutombodzi,2015,ODI,78,57,2,2,45,4.38,28.5,39.0
CT Mutombodzi,2019,T20I,78,90,3,5,32,6.92,30.0,26.0
CT Mutombodzi,2020,ODI,60,81,1,2,17,8.1,81.0,60.0
CT Mutombodzi,2020,Test,114,70,0,1,77,3.68,70.0,114.0
CT Tremlett,2005,ODI,97,83,1,2,56,5.13,83.0,97.0
CT Tremlett,2007,ODI,282,292,3,5,153,6.21,97.33,94.0
CT Tremlett,2007,T20I,25,46,2,1,8,11.04,23.0,12.5
CT Tremlett,2007,Test,878,408,13,3,688,2.79,31.38,67.54
CT Tremlett,2008,ODI,60,27,1,1,43,2.7,27.0,60.0
CT Tremlett,2010,Test,457,253,13,2,340,3.32,19.46,35.15
CT Tremlett,2011,ODI,305,293,6,6,161,5.76,48.83,50.83
CT Tremlett,2011,Test,1272,677,23,5,979,3.19,29.43,55.3
CT Tremlett,2012,Test,127,57,0,1,98,2.69,57.0,127.0
CT Tremlett,2013,Test,216,122,4,1,160,3.39,30.5,54.0
CV Fernandes Torres,2025,T20I,13,11,1,1,11,5.08,11.0,13.0
CV Harrison,2021,T20I,76,119,4,4,27,9.39,29.75,19.0
CV Varun,2019,IPL,18,35,1,1,8,11.67,35.0,18.0
CV Varun,2020,IPL,312,357,17,13,111,6.87,21.0,18.35
CV Varun,2021,IPL,411,456,20,17,149,6.66,22.8,20.55
CV Varun,2021,T20I,135,136,2,6,54,6.04,68.0,67.5
CV Varun,2022,IPL,237,338,6,11,88,8.56,56.33,39.5
CV Varun,2023,IPL,316,445,20,14,124,8.45,22.25,15.8
CV Varun,2024,IPL,302,411,21,14,125,8.17,19.57,14.38
CV Varun,2024,T20I,168,211,17,7,73,7.54,12.41,9.88
CV Varun,2025,IPL,300,390,17,13,117,7.8,22.94,17.65
CV Varun,2025,ODI,241,190,10,4,119,4.73,19.0,24.1
CV Varun,2025,T20I,402,483,38,18,174,7.21,12.71,10.58
CV Varun,2026,IPL,150,224,10,7,51,8.96,22.4,15.0
CV Varun,2026,T20I,258,406,18,12,88,9.44,22.56,14.33
CW Perchard,2019,T20I,197,190,15,9,83,5.79,12.67,13.13
CW Perchard,2021,T20I,132,109,11,6,67,4.95,9.91,12.0
CW Perchard,2022,T20I,114,132,6,5,52,6.95,22.0,19.0
CW Perchard,2023,ODI,211,174,7,4,122,4.95,24.86,30.14
CW Perchard,2023,T20I,132,161,9,6,55,7.32,17.89,14.67
