bowler,matches,balls,runs_given,wickets,dot_balls,wides,noballs,overs,economy,average,dot_pct,strike_rate
Vraj Patel,57,1242,1115.0,84,643,26,0,207.0,5.39,13.27,51.77,14.79
IE O'Brien,33,4313,2750.0,84,3112,20,18,718.8,3.83,32.74,72.15,51.35
NP Kenjige,80,3247,2528.0,84,1791,23,2,541.2,4.67,30.1,55.16,38.65
K Fraser,61,1486,1224.0,83,789,41,1,247.7,4.94,14.75,53.1,17.9
KE Bryce,63,1458,1174.0,83,831,54,0,243.0,4.83,14.14,57.0,17.57
RMS Eranga,38,4673,2880.0,83,3255,41,42,778.8,3.7,34.7,69.66,56.3
Harshit Rana,56,1783,2241.0,83,862,50,9,297.2,7.54,27.0,48.35,21.48
R Bhatia,91,1638,2020.0,82,467,23,2,273.0,7.4,24.63,28.51,19.98
Khawar Ali,65,2110,1852.0,82,984,37,0,351.7,5.27,22.59,46.64,25.73
Mukesh Kumar,62,1600,2162.0,82,765,66,32,266.7,8.11,26.37,47.81,19.51
JC Tredwell,60,3165,2378.0,82,1823,7,0,527.5,4.51,29.0,57.6,38.6
T Lungameni,74,2302,2101.0,82,1263,80,5,383.7,5.48,25.62,54.87,28.07
S Joseph,38,2457,2050.0,82,1523,42,40,409.5,5.01,25.0,61.99,29.96
HNK Jensen,73,1889,1848.0,82,928,51,2,314.8,5.87,22.54,49.13,23.04
AF Giles,51,5409,3112.0,81,3556,22,0,901.5,3.45,38.42,65.74,66.78
KA Green,74,1481,1076.0,81,907,108,3,246.8,4.36,13.28,61.24,18.28
Kaleemullah,84,2745,2308.0,81,1675,45,4,457.5,5.04,28.49,61.02,33.89
W O'Rourke,41,2783,2189.0,81,1834,107,15,463.8,4.72,27.02,65.9,34.36
K Kunwar,65,1147,804.0,81,737,67,4,191.2,4.21,9.93,64.25,14.16
Yasim Murtaza,67,1419,1520.0,81,618,26,3,236.5,6.43,18.77,43.55,17.52
D Brown,77,2689,2211.0,81,1695,163,31,448.2,4.93,27.3,63.03,33.2
TL Best,43,3454,2462.0,81,2295,93,36,575.7,4.28,30.4,66.44,42.64
