bowler,opponent,format,innings,balls,runs_given,wickets,dot_balls,economy,average,dot_pct
A Djorovic,Bulgaria,T20I,2,24,54,0,6,13.5,54.0,25.0
A Djorovic,Greece,T20I,1,15,20,0,9,8.0,20.0,60.0
A Djorovic,Isle of Man,T20I,1,13,25,0,0,11.54,25.0,0.0
A Djorovic,Romania,T20I,2,18,50,1,3,16.67,50.0,16.67
A Doddaballapur,Austria,T20I,4,78,34,9,63,2.62,3.78,80.77
A Doddaballapur,Brazil,T20I,1,6,7,0,3,7.0,7.0,50.0
A Doddaballapur,France,T20I,5,102,38,12,78,2.24,3.17,76.47
A Doddaballapur,Ireland,T20I,1,6,9,0,3,9.0,9.0,50.0
A Doddaballapur,Italy,T20I,5,83,78,3,37,5.64,26.0,44.58
A Doddaballapur,Jersey,T20I,3,72,40,9,46,3.33,4.44,63.89
A Doddaballapur,Netherlands,T20I,1,13,17,1,6,7.85,17.0,46.15
A Doddaballapur,Oman,T20I,3,55,63,4,19,6.87,15.75,34.55
A Doddaballapur,Scotland,T20I,1,6,8,0,2,8.0,8.0,33.33
A Doddaballapur,Sweden,T20I,1,24,19,2,15,4.75,9.5,62.5
A Donovan,Indonesia,T20I,4,54,65,1,22,7.22,65.0,40.74
A Donovan,Japan,T20I,1,6,15,0,0,15.0,15.0,0.0
A Donovan,Malaysia,T20I,1,6,12,0,0,12.0,12.0,0.0
A Donovan,South Korea,T20I,5,60,57,2,37,5.7,28.5,61.67
A Dutt,Australia,ODI,1,42,59,1,17,8.43,59.0,40.48
A Dutt,Bangladesh,ODI,1,60,26,1,48,2.6,26.0,80.0
A Dutt,Bangladesh,T20I,4,86,81,3,45,5.65,27.0,52.33
A Dutt,Canada,ODI,2,90,45,2,65,3.0,22.5,72.22
A Dutt,England,ODI,4,163,203,5,69,7.47,40.6,42.33
A Dutt,Guernsey,T20I,1,12,3,0,11,1.5,3.0,91.67
A Dutt,India,ODI,1,42,52,0,19,7.43,52.0,45.24
A Dutt,India,T20I,1,24,19,2,16,4.75,9.5,66.67
A Dutt,Italy,T20I,1,18,26,1,9,8.67,26.0,50.0
A Dutt,Jersey,T20I,1,24,34,1,6,8.5,34.0,25.0
A Dutt,Malaysia,T20I,2,25,35,2,9,8.4,17.5,36.0
A Dutt,Namibia,ODI,4,204,131,14,148,3.85,9.36,72.55
A Dutt,Namibia,T20I,3,54,69,3,23,7.67,23.0,42.59
A Dutt,Nepal,ODI,4,186,116,5,128,3.74,23.2,68.82
A Dutt,Nepal,T20I,5,91,138,4,21,9.1,34.5,23.08
A Dutt,New Zealand,ODI,3,114,128,4,46,6.74,32.0,40.35
A Dutt,Oman,ODI,3,162,87,5,112,3.22,17.4,69.14
A Dutt,Oman,T20I,1,24,32,1,10,8.0,32.0,41.67
A Dutt,Pakistan,ODI,4,222,165,3,130,4.46,55.0,58.56
A Dutt,Pakistan,T20I,1,24,33,2,11,8.25,16.5,45.83
A Dutt,Scotland,ODI,6,252,220,6,146,5.24,36.67,57.94
A Dutt,Scotland,T20I,5,115,104,6,55,5.43,17.33,47.83
A Dutt,South Africa,ODI,3,120,126,2,63,6.3,63.0,52.5
A Dutt,Sri Lanka,ODI,3,167,134,5,97,4.81,26.8,58.08
A Dutt,Sri Lanka,T20I,1,18,23,1,5,7.67,23.0,27.78
A Dutt,Uganda,T20I,1,24,20,1,10,5.0,20.0,41.67
A Dutt,United Arab Emirates,ODI,2,120,80,4,77,4.0,20.0,64.17
A Dutt,United States of America,ODI,3,168,126,4,94,4.5,31.5,55.95
A Dutt,United States of America,T20I,3,48,69,4,22,8.62,17.25,45.83
A Dutt,West Indies,ODI,4,213,195,3,116,5.49,65.0,54.46
A Dutt,Zimbabwe,ODI,2,114,92,0,62,4.84,92.0,54.39
A Emch,United States of America,T20I,1,8,13,0,1,9.75,13.0,12.5
A Fillie,Botswana,T20I,3,60,62,4,33,6.2,15.5,55.0
A Fillie,Cameroon,T20I,2,36,22,4,25,3.67,5.5,69.44
A Fillie,Eswatini,T20I,2,48,20,4,41,2.5,5.0,85.42
A Fillie,Mozambique,T20I,2,27,27,3,15,6.0,9.0,55.56
A Fillie,Namibia,T20I,1,12,21,0,3,10.5,21.0,25.0
A Fillie,Nigeria,T20I,1,6,8,1,4,8.0,8.0,66.67
A Fillie,Tanzania,T20I,1,6,21,0,0,21.0,21.0,0.0
A Flintoff,Australia,ODI,16,785,626,21,465,4.78,29.81,59.24
A Flintoff,Australia,T20I,3,66,78,1,31,7.09,78.0,46.97
A Flintoff,Australia,Test,14,2794,1584,49,2012,3.4,32.33,72.01
A Flintoff,Bangladesh,ODI,6,337,192,12,251,3.42,16.0,74.48
A Flintoff,Bangladesh,Test,1,133,77,4,102,3.47,19.25,76.69
A Flintoff,Delhi Daredevils,IPL,1,24,50,0,5,12.5,50.0,20.83
A Flintoff,India,ODI,16,848,617,23,517,4.37,26.83,60.97
A Flintoff,India,T20I,1,24,33,1,8,8.25,33.0,33.33
A Flintoff,India,Test,5,1138,545,18,857,2.87,30.28,75.31
A Flintoff,Ireland,ODI,1,53,44,4,29,4.98,11.0,54.72
A Flintoff,Kenya,ODI,1,57,36,3,31,3.79,12.0,54.39
A Flintoff,Mumbai Indians,IPL,1,24,45,1,6,11.25,45.0,25.0
A Flintoff,Namibia,ODI,1,60,34,2,44,3.4,17.0,73.33
A Flintoff,Netherlands,ODI,1,60,32,1,46,3.2,32.0,76.67
A Flintoff,New Zealand,ODI,5,289,191,8,192,3.97,23.88,66.44
A Flintoff,New Zealand,T20I,1,18,12,1,8,4.0,12.0,44.44
A Flintoff,Pakistan,ODI,6,337,269,12,209,4.79,22.42,62.02
A Flintoff,Pakistan,Test,2,647,314,12,484,2.91,26.17,74.81
A Flintoff,Royal Challengers Bangalore,IPL,1,18,11,1,10,3.67,11.0,55.56
A Flintoff,South Africa,ODI,8,375,284,19,232,4.54,14.95,61.87
A Flintoff,South Africa,T20I,1,24,23,2,12,5.75,11.5,50.0
A Flintoff,South Africa,Test,8,1911,982,24,1470,3.08,40.92,76.92
A Flintoff,Sri Lanka,ODI,4,176,134,8,103,4.57,16.75,58.52
A Flintoff,Sri Lanka,Test,4,904,427,14,681,2.83,30.5,75.33
A Flintoff,West Indies,ODI,8,329,280,15,181,5.11,18.67,55.02
A Flintoff,West Indies,Test,5,865,451,10,655,3.13,45.1,75.72
A Flintoff,Zimbabwe,ODI,3,114,48,7,87,2.53,6.86,76.32
A Flintoff,Zimbabwe,T20I,1,18,18,0,8,6.0,18.0,44.44
A Fujikawa,China,T20I,2,48,28,2,31,3.5,14.0,64.58
A Fujikawa,Fiji,T20I,2,30,32,1,16,6.4,32.0,53.33
A Fujikawa,Hong Kong,T20I,5,72,71,4,31,5.92,17.75,43.06
A Fujikawa,Indonesia,T20I,1,18,28,0,7,9.33,28.0,38.89
A Fujikawa,Malaysia,T20I,1,12,17,0,4,8.5,17.0,33.33
A Fujikawa,Nepal,T20I,2,48,42,3,21,5.25,14.0,43.75
A Fujikawa,Oman,T20I,1,24,24,1,12,6.0,24.0,50.0
A Fujikawa,Papua New Guinea,T20I,1,25,29,1,8,6.96,29.0,32.0
A Fujikawa,Philippines,T20I,1,24,4,4,21,1.0,1.0,87.5
A Fujikawa,Samoa,T20I,1,12,7,1,8,3.5,7.0,66.67
A Fujikawa,Tanzania,T20I,1,24,19,3,11,4.75,6.33,45.83
A Fujikawa,Vanuatu,T20I,1,24,33,0,7,8.25,33.0,29.17
A Galan,Brazil,T20I,4,87,69,3,39,4.76,23.0,44.83
A Galan,Canada,T20I,4,90,64,6,50,4.27,10.67,55.56
A Galan,Chile,T20I,2,18,0,6,18,0.0,0.0,100.0
A Galan,United States of America,T20I,4,85,79,4,39,5.58,19.75,45.88
A Gardner,Bangladesh,ODI,5,230,141,12,165,3.68,11.75,71.74
A Gardner,Bangladesh,T20I,4,78,59,5,38,4.54,11.8,48.72
A Gardner,Barbados,T20I,1,24,6,2,19,1.5,3.0,79.17
A Gardner,England,ODI,14,619,452,25,323,4.38,18.08,52.18
A Gardner,England,T20I,12,168,227,12,44,8.11,18.92,26.19
A Gardner,England,Test,4,678,333,20,502,2.95,16.65,74.04
A Gardner,India,ODI,22,1050,892,28,574,5.1,31.86,54.67
A Gardner,India,T20I,23,484,594,30,185,7.36,19.8,38.22
A Gardner,India,Test,3,656,258,11,527,2.36,23.45,80.34
A Gardner,Ireland,ODI,2,96,63,4,60,3.94,15.75,62.5
A Gardner,Ireland,T20I,3,42,38,1,15,5.43,38.0,35.71
A Gardner,New Zealand,ODI,15,579,469,14,290,4.86,33.5,50.09
A Gardner,New Zealand,T20I,17,218,251,14,86,6.91,17.93,39.45
A Gardner,Pakistan,ODI,8,331,171,17,237,3.1,10.06,71.6
A Gardner,Pakistan,T20I,10,198,169,12,86,5.12,14.08,43.43
A Gardner,South Africa,ODI,6,228,168,5,130,4.42,33.6,57.02
A Gardner,South Africa,T20I,6,132,165,7,51,7.5,23.57,38.64
A Gardner,South Africa,Test,1,84,33,2,69,2.36,16.5,82.14
A Gardner,Sri Lanka,ODI,4,174,93,3,121,3.21,31.0,69.54
A Gardner,Sri Lanka,T20I,4,48,48,1,27,6.0,48.0,56.25
A Gardner,West Indies,ODI,10,433,268,21,279,3.71,12.76,64.43
A Gardner,West Indies,T20I,7,148,166,9,64,6.73,18.44,43.24
A Gbla,Botswana,T20I,1,12,11,0,5,5.5,11.0,41.67
A Gbla,Cameroon,T20I,1,12,18,1,4,9.0,18.0,33.33
A Gbla,Gambia,T20I,1,6,3,1,4,3.0,3.0,66.67
