bowler,opponent,format,innings,balls,runs_given,wickets,dot_balls,economy,average,dot_pct
Abdullah Mahmood,Czech Republic,T20I,1,12,11,1,4,5.5,11.0,33.33
Abdullah Mahmood,Finland,T20I,3,66,56,6,29,5.09,9.33,43.94
Abdullah Mahmood,Germany,T20I,1,24,22,3,12,5.5,7.33,50.0
Abdullah Mahmood,Ireland,T20I,1,18,21,0,3,7.0,21.0,16.67
Abdullah Mahmood,Italy,T20I,1,18,29,1,3,9.67,29.0,16.67
Abdullah Mahmood,Jersey,T20I,3,28,47,2,8,10.07,23.5,28.57
Abdullah Mahmood,Norway,T20I,1,12,7,1,6,3.5,7.0,50.0
Abdullah Mahmood,Scotland,T20I,1,6,17,0,0,17.0,17.0,0.0
Abdullah Mohd Yousaf,Malawi,T20I,1,3,3,1,2,6.0,3.0,66.67
Abdullah Mohd Yousaf,Qatar,T20I,2,37,59,1,6,9.57,59.0,16.22
Abdullah Rana,Belgium,T20I,1,24,50,2,6,12.5,25.0,25.0
Abdullah Rana,Croatia,T20I,1,12,8,0,7,4.0,8.0,58.33
Abdullah Rana,France,T20I,1,13,22,0,3,10.15,22.0,23.08
Abdullah Rana,Jersey,T20I,1,12,23,1,2,11.5,23.0,16.67
Abdullah Rana,Luxembourg,T20I,1,18,22,3,7,7.33,7.33,38.89
Abdullah Rana,Malta,T20I,2,36,45,5,14,7.5,9.0,38.89
Abdullah Rana,Serbia,T20I,1,18,16,3,9,5.33,5.33,50.0
Abdullah Sheikh,Guernsey,T20I,2,49,39,2,20,4.78,19.5,40.82
Abdullah Sheikh,Jersey,T20I,1,6,13,0,0,13.0,13.0,0.0
Abdullah Sheikh,Spain,T20I,1,19,27,0,9,8.53,27.0,47.37
Abdullahi Ismail,Rwanda,T20I,2,36,40,1,18,6.67,40.0,50.0
Abdullahi Ismail,Sierra Leone,T20I,1,24,25,2,14,6.25,12.5,58.33
Abdullahi Ismail,Zambia,T20I,1,24,31,2,11,7.75,15.5,45.83
Abdur Rauf,Australia,Test,1,200,126,1,142,3.78,126.0,71.0
Abdur Rauf,Bangladesh,ODI,1,48,24,3,36,3.0,8.0,75.0
Abdur Rauf,India,ODI,1,60,68,2,25,6.8,34.0,41.67
Abdur Rauf,Sri Lanka,Test,2,255,164,5,180,3.86,32.8,70.59
Abdur Rauf,West Indies,ODI,1,54,79,0,26,8.78,79.0,48.15
Abdur Rauf,Zimbabwe,ODI,1,58,46,3,31,4.76,15.33,53.45
Abdur Razzak,Australia,ODI,10,448,370,11,255,4.96,33.64,56.92
Abdur Razzak,Australia,T20I,3,61,79,2,26,7.77,39.5,42.62
Abdur Razzak,Bermuda,ODI,1,24,21,3,16,5.25,7.0,66.67
Abdur Razzak,England,ODI,8,474,375,13,261,4.75,28.85,55.06
Abdur Razzak,England,Test,3,753,529,9,500,4.22,58.78,66.4
Abdur Razzak,Hong Kong,T20I,1,22,33,1,12,9.0,33.0,54.55
Abdur Razzak,India,ODI,11,591,566,10,277,5.75,56.6,46.87
Abdur Razzak,Ireland,ODI,3,156,115,3,88,4.42,38.33,56.41
Abdur Razzak,Ireland,T20I,2,41,28,3,24,4.1,9.33,58.54
Abdur Razzak,Kenya,ODI,3,150,77,6,106,3.08,12.83,70.67
Abdur Razzak,Kenya,T20I,1,24,23,2,12,5.75,11.5,50.0
Abdur Razzak,Nepal,T20I,1,12,13,0,4,6.5,13.0,33.33
Abdur Razzak,Netherlands,ODI,1,60,30,3,41,3.0,10.0,68.33
Abdur Razzak,Netherlands,T20I,2,48,54,4,21,6.75,13.5,43.75
Abdur Razzak,New Zealand,ODI,11,552,471,12,299,5.12,39.25,54.17
Abdur Razzak,New Zealand,T20I,2,36,47,3,11,7.83,15.67,30.56
Abdur Razzak,New Zealand,Test,3,846,446,6,602,3.16,74.33,71.16
Abdur Razzak,Pakistan,ODI,15,758,629,19,412,4.98,33.11,54.35
Abdur Razzak,Pakistan,T20I,7,168,197,7,66,7.04,28.14,39.29
Abdur Razzak,Rajasthan Royals,IPL,1,13,29,0,5,13.38,29.0,38.46
Abdur Razzak,South Africa,ODI,6,345,229,7,222,3.98,32.71,64.35
Abdur Razzak,South Africa,T20I,2,42,43,6,18,6.14,7.17,42.86
Abdur Razzak,South Africa,Test,1,186,135,1,115,4.35,135.0,61.83
Abdur Razzak,Sri Lanka,ODI,14,734,703,22,363,5.75,31.95,49.46
Abdur Razzak,Sri Lanka,T20I,2,42,62,2,13,8.86,31.0,30.95
Abdur Razzak,Sri Lanka,Test,3,402,238,6,274,3.55,39.67,68.16
Abdur Razzak,United Arab Emirates,ODI,1,60,20,3,48,2.0,6.67,80.0
Abdur Razzak,West Indies,ODI,15,776,646,21,437,4.99,30.76,56.31
Abdur Razzak,West Indies,T20I,3,66,85,4,32,7.73,21.25,48.48
Abdur Razzak,Zimbabwe,ODI,22,1126,671,43,761,3.58,15.6,67.58
Abdur Razzak,Zimbabwe,T20I,2,48,55,2,23,6.88,27.5,47.92
Abdur Razzak,Zimbabwe,Test,1,252,107,2,189,2.55,53.5,75.0
Abdur Rehman,Australia,ODI,3,174,134,4,100,4.62,33.5,57.47
Abdur Rehman,Australia,T20I,1,25,33,2,10,7.92,16.5,40.0
Abdur Rehman,Bangladesh,ODI,3,123,81,3,70,3.95,27.0,56.91
Abdur Rehman,Bangladesh,Test,2,495,217,12,391,2.63,18.08,78.99
Abdur Rehman,England,ODI,2,120,70,1,71,3.5,70.0,59.17
Abdur Rehman,England,Test,3,790,341,19,622,2.59,17.95,78.73
Abdur Rehman,India,ODI,2,102,114,3,58,6.71,38.0,56.86
Abdur Rehman,Ireland,ODI,1,60,49,4,32,4.9,12.25,53.33
Abdur Rehman,Karachi Kings,PSL,1,18,28,1,5,9.33,28.0,27.78
Abdur Rehman,Kenya,ODI,1,42,18,0,29,2.57,18.0,69.05
Abdur Rehman,Kenya,T20I,1,18,7,2,12,2.33,3.5,66.67
Abdur Rehman,New Zealand,ODI,2,66,70,1,33,6.36,70.0,50.0
Abdur Rehman,New Zealand,T20I,2,42,41,3,19,5.86,13.67,45.24
Abdur Rehman,New Zealand,Test,2,776,297,12,619,2.3,24.75,79.77
Abdur Rehman,South Africa,ODI,8,427,309,5,220,4.34,61.8,51.52
Abdur Rehman,South Africa,T20I,2,30,53,2,8,10.6,26.5,26.67
Abdur Rehman,South Africa,Test,4,1591,807,20,1099,3.04,40.35,69.08
Abdur Rehman,Sri Lanka,ODI,2,121,105,1,60,5.21,105.0,49.59
Abdur Rehman,Sri Lanka,Test,7,2205,966,20,1672,2.63,48.3,75.83
Abdur Rehman,West Indies,ODI,3,180,94,6,113,3.13,15.67,62.78
Abdur Rehman,West Indies,T20I,1,24,22,3,14,5.5,7.33,58.33
Abdur Rehman,West Indies,Test,2,561,199,10,463,2.13,19.9,82.53
Abdur Rehman,Zimbabwe,ODI,3,154,86,7,94,3.35,12.29,61.04
Abdur Rehman,Zimbabwe,Test,2,479,189,9,385,2.37,21.0,80.38
Abeera Waris,Indonesia,T20I,1,12,18,0,3,9.0,18.0,25.0
Abeera Waris,Malaysia,T20I,1,19,37,1,6,11.68,37.0,31.58
Abeera Waris,Qatar,T20I,1,12,12,1,6,6.0,12.0,50.0
Abhijeet Ahuja,Croatia,T20I,1,12,8,2,10,4.0,4.0,83.33
Abhinandan Singh,Chennai Super Kings,IPL,1,22,30,2,6,8.18,15.0,27.27
Abhinandan Singh,Rajasthan Royals,IPL,1,18,54,0,2,18.0,54.0,11.11
Abhinandan Singh,Sunrisers Hyderabad,IPL,1,18,38,1,7,12.67,38.0,38.89
Abhishek Anand,Bhutan,T20I,1,6,4,1,3,4.0,4.0,50.0
Abhishek Anand,United Arab Emirates,T20I,1,6,4,0,2,4.0,4.0,33.33
Abhishek Sharma,Australia,T20I,1,6,13,0,1,13.0,13.0,16.67
Abhishek Sharma,Bangladesh,T20I,2,18,18,1,4,6.0,18.0,22.22
Abhishek Sharma,Chennai Super Kings,IPL,4,30,33,0,10,6.6,33.0,33.33
Abhishek Sharma,Delhi Capitals,IPL,6,78,116,2,18,8.92,58.0,23.08
Abhishek Sharma,England,T20I,3,18,19,3,9,6.33,6.33,50.0
Abhishek Sharma,Gujarat Titans,IPL,2,12,31,0,3,15.5,31.0,25.0
Abhishek Sharma,Kings XI Punjab,IPL,2,13,27,1,2,12.46,27.0,15.38
Abhishek Sharma,Kolkata Knight Riders,IPL,4,36,66,0,9,11.0,66.0,25.0
Abhishek Sharma,Lucknow Super Giants,IPL,2,30,62,1,11,12.4,62.0,36.67
Abhishek Sharma,Mumbai Indians,IPL,3,18,21,2,7,7.0,10.5,38.89
Abhishek Sharma,Netherlands,T20I,1,6,10,0,1,10.0,10.0,16.67
Abhishek Sharma,New Zealand,T20I,4,21,34,1,4,9.71,34.0,19.05
Abhishek Sharma,Oman,T20I,1,6,12,0,2,12.0,12.0,33.33
Abhishek Sharma,Pakistan,T20I,1,6,5,0,1,5.0,5.0,16.67
Abhishek Sharma,Punjab Kings,IPL,2,29,31,2,11,6.41,15.5,37.93
Abhishek Sharma,Rajasthan Royals,IPL,6,66,92,2,22,8.36,46.0,33.33
Abhishek Sharma,Royal Challengers Bangalore,IPL,3,42,59,1,9,8.43,59.0,21.43
Abhishek Sharma,Royal Challengers Bengaluru,IPL,2,12,20,0,2,10.0,20.0,16.67
Abhishek Sharma,South Africa,T20I,1,6,13,0,1,13.0,13.0,16.67
Abhishek Sharma,Zimbabwe,T20I,5,78,116,2,23,8.92,58.0,29.49
Abraar Khan,Botswana,T20I,1,12,10,1,5,5.0,10.0,41.67
Abrar Ahmed,Australia,T20I,3,60,45,7,38,4.5,6.43,63.33
Abrar Ahmed,Bangladesh,ODI,2,78,74,1,37,5.69,74.0,47.44
Abrar Ahmed,Bangladesh,T20I,5,102,124,3,38,7.29,41.33,37.25
Abrar Ahmed,Bangladesh,Test,1,271,123,1,205,2.72,123.0,75.65
Abrar Ahmed,England,Test,3,799,646,18,465,4.85,35.89,58.2
Abrar Ahmed,Hyderabad Kingsmen,PSL,1,24,23,3,13,5.75,7.67,54.17
Abrar Ahmed,India,ODI,1,60,28,1,33,2.8,28.0,55.0
Abrar Ahmed,India,T20I,4,90,126,2,30,8.4,63.0,33.33
Abrar Ahmed,Islamabad United,PSL,7,162,201,10,51,7.44,20.1,31.48
Abrar Ahmed,Karachi Kings,PSL,7,168,196,10,66,7.0,19.6,39.29
Abrar Ahmed,Lahore Qalandars,PSL,8,183,262,10,70,8.59,26.2,38.25
Abrar Ahmed,Multan Sultans,PSL,6,138,192,4,46,8.35,48.0,33.33
Abrar Ahmed,Netherlands,T20I,1,24,23,2,8,5.75,11.5,33.33
Abrar Ahmed,New Zealand,ODI,3,180,156,4,89,5.2,39.0,49.44
Abrar Ahmed,New Zealand,T20I,5,103,145,7,38,8.45,20.71,36.89
Abrar Ahmed,New Zealand,Test,2,845,497,11,598,3.53,45.18,70.77
Abrar Ahmed,Oman,T20I,1,22,12,1,18,3.27,12.0,81.82
Abrar Ahmed,Peshawar Zalmi,PSL,7,162,233,9,48,8.63,25.89,29.63
Abrar Ahmed,Quetta Gladiators,PSL,2,36,40,2,13,6.67,20.0,36.11
Abrar Ahmed,Rawalpindiz,PSL,1,18,24,2,7,8.0,12.0,38.89
Abrar Ahmed,South Africa,ODI,5,288,223,11,166,4.65,20.27,57.64
Abrar Ahmed,South Africa,T20I,4,96,135,5,35,8.44,27.0,36.46
Abrar Ahmed,Sri Lanka,ODI,1,60,41,4,33,4.1,10.25,55.0
Abrar Ahmed,Sri Lanka,T20I,7,156,157,12,70,6.04,13.08,44.87
Abrar Ahmed,Sri Lanka,Test,2,517,239,11,402,2.77,21.73,77.76
Abrar Ahmed,United Arab Emirates,T20I,2,48,26,6,27,3.25,4.33,56.25
Abrar Ahmed,United States of America,T20I,1,24,31,1,9,7.75,31.0,37.5
Abrar Ahmed,West Indies,ODI,2,96,58,3,59,3.62,19.33,61.46
Abrar Ahmed,West Indies,Test,2,203,106,7,143,3.13,15.14,70.44
Abrar Ahmed,Zimbabwe,ODI,2,102,78,7,56,4.59,11.14,54.9
Abrar Ahmed,Zimbabwe,T20I,3,63,77,5,26,7.33,15.4,41.27
Absar Khan,Germany,T20I,1,6,8,1,1,8.0,8.0,16.67
Abu Hider,India,T20I,2,30,57,0,7,11.4,57.0,23.33
Abu Hider,Oman,T20I,1,12,15,0,4,7.5,15.0,33.33
Abu Hider,West Indies,T20I,5,84,143,2,36,10.21,71.5,42.86
Abu Hider,Zimbabwe,ODI,1,54,43,1,32,4.78,43.0,59.26
Abu Hider,Zimbabwe,T20I,2,48,75,3,19,9.38,25.0,39.58
Abu Jayed,India,Test,2,279,185,6,200,3.98,30.83,71.68
Abu Jayed,Ireland,ODI,1,54,63,5,30,7.0,12.6,55.56
Abu Jayed,New Zealand,Test,2,293,203,3,201,4.16,67.67,68.6
Abu Jayed,Pakistan,Test,2,271,150,3,201,3.32,50.0,74.17
Abu Jayed,Sri Lanka,T20I,1,24,46,1,8,11.5,46.0,33.33
Abu Jayed,Sri Lanka,Test,2,248,145,0,174,3.51,145.0,70.16
Abu Jayed,West Indies,ODI,1,54,58,0,24,6.44,58.0,44.44
Abu Jayed,West Indies,Test,3,544,278,13,426,3.07,21.38,78.31
Abu Jayed,Zimbabwe,Test,2,336,173,5,264,3.09,34.6,78.57
Abubacarr Kuyateh,Cameroon,T20I,1,18,24,2,9,8.0,12.0,50.0
Abubacarr Kuyateh,Ghana,T20I,1,18,38,0,5,12.67,38.0,27.78
Abubacarr Kuyateh,Kenya,T20I,1,24,29,2,9,7.25,14.5,37.5
Abubacarr Kuyateh,Mozambique,T20I,2,42,30,3,25,4.29,10.0,59.52
Abubacarr Kuyateh,Sierra Leone,T20I,1,12,7,0,9,3.5,7.0,75.0
Abubacarr Kuyateh,Tanzania,T20I,1,12,25,0,5,12.5,25.0,41.67
Abubacarr Kuyateh,Zimbabwe,T20I,1,24,58,1,7,14.5,58.0,29.17
Abul Farhad,Austria,T20I,2,36,74,0,14,12.33,74.0,38.89
Abul Farhad,Bulgaria,T20I,1,19,19,1,9,6.0,19.0,47.37
Abul Farhad,Denmark,T20I,1,26,50,2,7,11.54,25.0,26.92
Abul Farhad,Estonia,T20I,2,39,38,2,22,5.85,19.0,56.41
Abul Farhad,Greece,T20I,1,6,0,0,6,0.0,0.0,100.0
Abul Farhad,Hungary,T20I,1,26,25,4,14,5.77,6.25,53.85
Abul Farhad,Norway,T20I,1,12,22,1,3,11.0,22.0,25.0
Abul Farhad,Spain,T20I,1,25,30,3,11,7.2,10.0,44.0
Abul Farhad,Switzerland,T20I,1,19,34,2,6,10.74,17.0,31.58
Abul Hasan,Ireland,T20I,1,18,27,0,8,9.0,27.0,44.44
Abul Hasan,Pakistan,ODI,1,30,42,0,7,8.4,42.0,23.33
Abul Hasan,Pakistan,T20I,1,18,34,2,7,11.33,17.0,38.89
Abul Hasan,Sri Lanka,ODI,2,54,78,0,22,8.67,78.0,40.74
Abul Hasan,Sri Lanka,Test,2,388,264,3,265,4.08,88.0,68.3
Abul Hasan,West Indies,ODI,2,54,54,0,30,6.0,54.0,55.56
Abul Hasan,West Indies,Test,1,148,114,0,87,4.62,114.0,58.78
Abul Hasan,Zimbabwe,ODI,2,78,71,0,45,5.46,71.0,57.69
Ada Bhasin,Bhutan,T20I,2,36,30,1,14,5.0,30.0,38.89
Ada Bhasin,Cambodia,T20I,5,108,19,8,99,1.06,2.38,91.67
Ada Bhasin,Indonesia,T20I,4,54,58,2,29,6.44,29.0,53.7
Ada Bhasin,Kuwait,T20I,4,66,54,3,44,4.91,18.0,66.67
Ada Bhasin,Malaysia,T20I,3,73,76,5,37,6.25,15.2,50.68
Ada Bhasin,Myanmar,T20I,7,115,98,6,72,5.11,16.33,62.61
Ada Bhasin,Oman,T20I,1,18,16,0,9,5.33,16.0,50.0
Ada Bhasin,Thailand,T20I,1,12,20,0,5,10.0,20.0,41.67
Ada Bhasin,United Arab Emirates,T20I,1,6,8,0,2,8.0,8.0,33.33
Adam Senn,Austria,T20I,2,31,29,1,16,5.61,29.0,51.61
Adam Senn,Bulgaria,T20I,4,84,74,2,45,5.29,37.0,53.57
Adam Senn,Croatia,T20I,4,90,101,3,44,6.73,33.67,48.89
Adam Senn,Serbia,T20I,2,37,49,1,17,7.95,49.0,45.95
Adama Kamara,Botswana,T20I,1,12,10,1,6,5.0,10.0,50.0
Adama Kamara,Lesotho,T20I,1,18,15,1,9,5.0,15.0,50.0
Adama Kamara,Malawi,T20I,1,24,26,1,12,6.5,26.0,50.0
Adama Kamara,Namibia,T20I,1,18,17,0,5,5.67,17.0,27.78
Adama Kamara,Uganda,T20I,1,18,19,0,6,6.33,19.0,33.33
Adeel Raja,Australia,ODI,1,48,61,0,15,7.62,61.0,31.25
Adeel Raja,Bangladesh,ODI,1,42,31,0,26,4.43,31.0,61.9
Adeel Raja,England,ODI,1,30,34,0,13,6.8,34.0,43.33
Adeel Raja,India,ODI,1,54,47,2,25,5.22,23.5,46.3
Adeel Raja,Ireland,ODI,2,54,70,0,26,7.78,70.0,48.15
Adeel Raja,Namibia,ODI,1,53,45,4,23,5.09,11.25,43.4
Adhitya Shetty,West Indies,ODI,1,60,56,1,29,5.6,56.0,48.33
Adil Butt,Botswana,T20I,1,24,39,0,11,9.75,39.0,45.83
Adil Butt,Gambia,T20I,1,24,11,2,18,2.75,5.5,75.0
Adil Butt,Ghana,T20I,1,24,25,1,9,6.25,25.0,37.5
Adil Butt,Ivory Coast,T20I,1,24,19,1,20,4.75,19.0,83.33
Adil Butt,Malawi,T20I,1,6,10,0,3,10.0,10.0,50.0
Adil Butt,Mozambique,T20I,5,108,151,9,48,8.39,16.78,44.44
Adil Butt,Nigeria,T20I,2,42,83,4,15,11.86,20.75,35.71
Adil Butt,Sierra Leone,T20I,2,36,50,5,13,8.33,10.0,36.11
Adil Butt,St Helena,T20I,2,42,46,2,25,6.57,23.0,59.52
Adil Butt,Tanzania,T20I,2,49,67,4,24,8.2,16.75,48.98
Adil Butt,United Arab Emirates,T20I,1,18,27,1,8,9.0,27.0,44.44
Adil Khan,Austria,T20I,1,12,25,0,4,12.5,25.0,33.33
Adil Khan,Croatia,T20I,1,25,19,2,14,4.56,9.5,56.0
Adil Khan,Malawi,T20I,1,12,30,1,4,15.0,30.0,33.33
Adil Khan,Tanzania,T20I,2,36,48,3,20,8.0,16.0,55.56
Aditya Panwar,Cyprus,T20I,4,59,107,3,22,10.88,35.67,37.29
Aditya Panwar,Gibraltar,T20I,2,24,15,3,13,3.75,5.0,54.17
Adnan Gondal,Israel,T20I,1,12,7,2,8,3.5,3.5,66.67
Adnan Idrees,Bahrain,T20I,6,78,131,4,25,10.08,32.75,32.05
Adnan Idrees,Hong Kong,T20I,5,84,119,5,31,8.5,23.8,36.9
Adnan Idrees,Malaysia,T20I,5,102,127,5,35,7.47,25.4,34.31
Adnan Idrees,Maldives,T20I,2,48,31,4,32,3.88,7.75,66.67
Adnan Idrees,Myanmar,T20I,1,24,10,2,17,2.5,5.0,70.83
Adnan Idrees,Oman,T20I,3,42,55,4,14,7.86,13.75,33.33
Adnan Idrees,Qatar,T20I,2,29,39,3,10,8.07,13.0,34.48
Adnan Idrees,Saudi Arabia,T20I,2,42,37,4,16,5.29,9.25,38.1
Adnan Idrees,Singapore,T20I,1,24,41,1,3,10.25,41.0,12.5
Adnan Idrees,United Arab Emirates,T20I,1,18,41,0,3,13.67,41.0,16.67
Adnan Mirza,Bahrain,T20I,1,18,18,2,6,6.0,9.0,33.33
Adnan Mirza,Hong Kong,T20I,4,60,79,1,16,7.9,79.0,26.67
Adnan Mirza,Kuwait,T20I,3,55,73,3,22,7.96,24.33,40.0
Adnan Mirza,Maldives,T20I,1,18,19,2,10,6.33,9.5,55.56
Adnan Mirza,Nepal,T20I,1,18,27,0,6,9.0,27.0,33.33
Adnan Mirza,United Arab Emirates,T20I,1,12,26,1,6,13.0,26.0,50.0
Adnan Rasool,Peshawar Zalmi,PSL,2,36,67,0,13,11.17,67.0,36.11
Adnan Razzaq,Austria,T20I,1,12,33,0,2,16.5,33.0,16.67
Adnan Razzaq,France,T20I,1,24,27,3,12,6.75,9.0,50.0
Adnan Razzaq,Germany,T20I,2,30,45,2,9,9.0,22.5,30.0
Adnan Razzaq,Malta,T20I,1,12,15,0,6,7.5,15.0,50.0
Adnan Razzaq,Serbia,T20I,1,18,24,0,5,8.0,24.0,27.78
Adnan Shnwarei,France,T20I,1,12,16,0,5,8.0,16.0,41.67
Adnan Shnwarei,Sweden,T20I,1,6,8,0,3,8.0,8.0,50.0
Adnan Syed,Sweden,T20I,2,25,39,0,8,9.36,39.0,32.0
Afida Afthab,Bahrain,T20I,3,24,14,1,15,3.5,14.0,62.5
Afida Afthab,Denmark,T20I,3,54,46,1,27,5.11,46.0,50.0
Afida Afthab,Kuwait,T20I,1,24,13,2,15,3.25,6.5,62.5
Afida Afthab,Qatar,T20I,8,140,123,4,70,5.27,30.75,50.0
Afida Afthab,Saudi Arabia,T20I,2,13,5,2,10,2.31,2.5,76.92
Afida Afthab,Singapore,T20I,1,6,13,0,2,13.0,13.0,33.33
Afida Afthab,United Arab Emirates,T20I,1,3,2,0,1,4.0,2.0,33.33
Afif Hossain,England,T20I,1,6,7,0,1,7.0,7.0,16.67
Afif Hossain,India,ODI,1,6,14,0,0,14.0,14.0,0.0
Afif Hossain,India,T20I,4,42,53,1,19,7.57,53.0,45.24
Afif Hossain,Malaysia,T20I,1,24,11,3,17,2.75,3.67,70.83
Afif Hossain,New Zealand,ODI,1,6,17,0,0,17.0,17.0,0.0
Afif Hossain,New Zealand,T20I,2,24,27,1,8,6.75,27.0,33.33
Afif Hossain,Pakistan,ODI,1,6,8,0,1,8.0,8.0,16.67
Afif Hossain,Pakistan,T20I,4,24,43,0,6,10.75,43.0,25.0
Afif Hossain,Scotland,T20I,1,6,10,0,1,10.0,10.0,16.67
Afif Hossain,South Africa,ODI,1,30,15,1,18,3.0,15.0,60.0
Afif Hossain,South Africa,T20I,1,6,11,1,1,11.0,11.0,16.67
Afif Hossain,Sri Lanka,T20I,2,18,42,1,4,14.0,42.0,22.22
Afif Hossain,West Indies,ODI,3,42,33,1,23,4.71,33.0,54.76
Afif Hossain,West Indies,T20I,1,6,10,1,2,10.0,10.0,33.33
Afif Hossain,Zimbabwe,ODI,3,21,29,1,7,8.29,29.0,33.33
Afif Hossain,Zimbabwe,T20I,4,30,38,2,13,7.6,19.0,43.33
Afif Khattak,Malta,T20I,1,18,25,1,9,8.33,25.0,50.0
Aftab Ahmed,Australia,ODI,3,121,97,0,55,4.81,97.0,45.45
Aftab Ahmed,Bermuda,ODI,1,6,17,0,1,17.0,17.0,16.67
Aftab Ahmed,England,ODI,2,35,28,0,18,4.8,28.0,51.43
Aftab Ahmed,England,Test,2,54,58,1,20,6.44,58.0,37.04
Aftab Ahmed,India,ODI,4,66,64,0,22,5.82,64.0,33.33
Aftab Ahmed,Ireland,ODI,1,12,8,0,5,4.0,8.0,41.67
Aftab Ahmed,New Zealand,T20I,1,2,8,0,0,24.0,8.0,0.0
Aftab Ahmed,New Zealand,Test,2,98,44,2,73,2.69,22.0,74.49
Aftab Ahmed,Pakistan,ODI,1,18,21,0,7,7.0,21.0,38.89
Aftab Ahmed,South Africa,Test,1,30,18,0,19,3.6,18.0,63.33
Aftab Ahmed,Sri Lanka,ODI,4,126,120,3,53,5.71,40.0,42.06
Aftab Ahmed,Sri Lanka,Test,1,48,37,1,35,4.62,37.0,72.92
Aftab Ahmed,Sweden,T20I,1,18,21,0,9,7.0,21.0,50.0
Aftab Ahmed,West Indies,ODI,2,18,24,1,5,8.0,24.0,27.78
Aftab Hussain,Malaysia,T20I,6,132,180,9,46,8.18,20.0,34.85
Aftab Hussain,Nepal,T20I,1,24,14,3,11,3.5,4.67,45.83
Aftab Hussain,Singapore,T20I,1,24,23,2,10,5.75,11.5,41.67
Aftab Hussain,Thailand,T20I,1,24,11,2,16,2.75,5.5,66.67
Aftab Hussain,Uganda,T20I,1,24,24,1,11,6.0,24.0,45.83
Aftab Ibrahim,Lahore Qalandars,PSL,1,6,5,1,4,5.0,5.0,66.67
Aftab Ibrahim,Peshawar Zalmi,PSL,1,19,30,0,5,9.47,30.0,26.32
Aftab Ibrahim,Quetta Gladiators,PSL,1,18,26,2,5,8.67,13.0,27.78
Aftab Kayani,Bulgaria,T20I,2,30,39,2,14,7.8,19.5,46.67
Aftab Kayani,Hungary,T20I,1,12,23,1,4,11.5,23.0,33.33
Aftab Kayani,Luxembourg,T20I,1,12,7,2,6,3.5,3.5,50.0
Aftab Kayani,Malta,T20I,1,18,21,2,9,7.0,10.5,50.0
Aftab Kayani,Serbia,T20I,1,18,11,2,17,3.67,5.5,94.44
Afzaal Haider,India,ODI,1,36,72,1,8,12.0,72.0,22.22
Afzaal Haider,Pakistan,ODI,1,42,51,1,22,7.29,51.0,52.38
Agha Salman,Australia,Test,3,456,241,3,321,3.17,80.33,70.39
Agha Salman,Bangladesh,ODI,3,60,58,0,27,5.8,58.0,45.0
Agha Salman,Bangladesh,T20I,4,36,55,2,9,9.17,27.5,25.0
Agha Salman,Bangladesh,Test,2,301,182,3,204,3.63,60.67,67.77
Agha Salman,England,ODI,1,18,25,0,7,8.33,25.0,38.89
Agha Salman,England,Test,6,193,226,2,73,7.03,113.0,37.82
Agha Salman,Hyderabad Kingsmen,PSL,1,6,7,1,2,7.0,7.0,33.33
Agha Salman,India,ODI,2,37,31,0,18,5.03,31.0,48.65
Agha Salman,India,T20I,1,12,10,1,6,5.0,10.0,50.0
Agha Salman,Islamabad United,PSL,2,18,28,0,5,9.33,28.0,27.78
Agha Salman,Karachi Kings,PSL,3,24,35,2,6,8.75,17.5,25.0
Agha Salman,Lahore Qalandars,PSL,4,42,68,1,11,9.71,68.0,26.19
Agha Salman,Multan Sultans,PSL,1,6,5,0,4,5.0,5.0,66.67
Agha Salman,Netherlands,ODI,2,36,30,0,15,5.0,30.0,41.67
Agha Salman,New Zealand,ODI,14,474,486,5,192,6.15,97.2,40.51
Agha Salman,New Zealand,T20I,1,6,17,0,2,17.0,17.0,33.33
Agha Salman,New Zealand,Test,2,252,133,4,174,3.17,33.25,69.05
Agha Salman,Peshawar Zalmi,PSL,4,37,51,1,7,8.27,51.0,18.92
Agha Salman,Quetta Gladiators,PSL,5,78,103,3,28,7.92,34.33,35.9
Agha Salman,South Africa,ODI,7,204,223,7,109,6.56,31.86,53.43
Agha Salman,South Africa,T20I,1,6,15,0,1,15.0,15.0,16.67
Agha Salman,South Africa,Test,3,324,211,4,208,3.91,52.75,64.2
Agha Salman,Sri Lanka,T20I,2,12,13,0,2,6.5,13.0,16.67
Agha Salman,Sri Lanka,Test,4,320,187,5,205,3.51,37.4,64.06
Agha Salman,United Arab Emirates,T20I,2,12,14,1,4,7.0,14.0,33.33
Agha Salman,West Indies,ODI,2,78,78,1,38,6.0,78.0,48.72
Agha Salman,West Indies,Test,1,12,10,0,6,5.0,10.0,50.0
Agha Salman,Zimbabwe,ODI,3,138,106,6,86,4.61,17.67,62.32
Agha Salman,Zimbabwe,T20I,2,30,26,3,14,5.2,8.67,46.67
Ahmad Khalid Ahmadzai,Denmark,T20I,1,24,31,3,10,7.75,10.33,41.67
Ahmad Khalid Ahmadzai,Gibraltar,T20I,1,24,33,1,8,8.25,33.0,33.33
Ahmad Khalid Ahmadzai,Hungary,T20I,1,25,25,2,12,6.0,12.5,48.0
Ahmad Khalid Ahmadzai,Portugal,T20I,1,6,5,0,1,5.0,5.0,16.67
Ahmad Raza,Bahrain,T20I,1,6,8,0,4,8.0,8.0,66.67
Ahmad Raza,Hong Kong,T20I,1,12,22,0,1,11.0,22.0,8.33
