bowler,format,cluster,wickets,economy,average,dot_pct
S Ecclestone,T20I,4,149,5.97,15.06,48.67
PWH de Silva,T20I,0,148,7.17,15.8,37.3
M Ntini,ODI,4,148,4.74,23.79,61.36
Shaheen Shah Afridi,PSL,4,148,7.94,18.76,43.66
JR Hazlewood,ODI,4,147,4.74,26.29,60.42
PJ Cummins,ODI,4,147,5.26,27.41,56.5
AR Patel,IPL,4,146,7.41,29.73,33.87
MJ Santner,T20I,4,146,7.16,22.69,38.99
A Zampa,T20I,5,145,7.4,20.58,34.9
MJ Leach,Test,3,145,3.08,33.37,73.53
Umar Gul,Test,3,145,3.39,33.11,72.63
BAW Mendis,ODI,4,144,4.92,22.37,51.11
Ehsan Khan,T20I,4,144,6.22,15.03,46.81
K Rabada,IPL,5,144,8.62,21.53,41.01
JH Kallis,Test,3,144,2.91,33.32,77.52
Rizwan Butt,T20I,4,143,6.81,15.33,47.1
S Lamichhane,ODI,4,142,4.38,18.49,59.32
MJ Henry,Test,3,142,3.12,26.75,75.3
S Ismail,ODI,4,142,3.93,19.24,66.08
Mohammad Hafeez,ODI,4,142,4.15,35.13,52.68
Mohammed Siraj,Test,3,141,3.52,29.25,72.79
Shaheen Shah Afridi,T20I,4,141,7.9,20.05,44.71
MR Adair,T20I,0,141,7.74,18.17,42.73
LE Plunkett,ODI,4,140,5.74,27.26,50.56
SK Warne,Test,1,139,2.98,23.13,74.26
GB Hogg,ODI,4,139,4.48,22.78,54.23
S Ecclestone,ODI,4,138,3.69,18.69,64.89
Haris Rauf,T20I,5,138,8.35,19.38,38.71
Wahab Riaz,ODI,4,138,5.71,29.36,50.53
MJ Santner,ODI,4,138,4.81,33.9,51.11
Shakib Al Hasan,T20I,4,138,6.92,19.88,38.82
AD Mathews,ODI,4,137,4.64,28.99,56.17
JL Jonassen,ODI,4,136,4.01,17.14,59.25
S Lamichhane,T20I,0,136,6.16,12.1,50.0
A Flintoff,ODI,4,135,4.2,19.82,62.49
Nida Dar,T20I,4,134,5.96,18.33,42.92
AS Joseph,ODI,4,134,5.48,26.26,54.53
Shoaib Malik,ODI,4,133,4.7,33.05,50.3
AD Russell,IPL,5,133,9.44,21.53,35.46
ML Schutt,ODI,4,132,4.29,23.1,62.98
KAJ Roach,ODI,4,132,5.07,27.9,58.43
JDP Oram,ODI,4,132,4.35,26.35,60.31
Shadab Khan,T20I,5,131,7.5,22.06,35.51
A Flintoff,Test,3,131,2.97,31.72,74.62
Shaheen Shah Afridi,ODI,4,130,5.72,25.04,56.9
O Kamchomphu,T20I,7,129,4.74,11.06,51.22
A Gardner,ODI,4,129,4.29,20.71,58.26
Danish Kaneria,Test,3,129,3.14,39.57,70.99
Arshdeep Singh,T20I,5,128,8.51,18.62,43.75
Rubel Hossain,ODI,4,128,5.68,31.8,51.46
AS Joseph,Test,3,128,3.66,32.42,70.98
JJ Bumrah,T20I,0,127,6.59,17.2,47.76
C Aweko,T20I,7,127,4.22,10.4,58.88
Ali Dawood,T20I,0,127,6.11,12.84,49.63
R Vinay Kumar,IPL,5,127,8.38,23.51,37.46
ST Finn,Test,3,127,3.54,29.92,74.15
Shadab Khan,PSL,5,127,7.64,21.95,36.35
HK Matthews,T20I,0,126,6.29,16.62,42.64
Wahab Riaz,PSL,0,126,7.7,20.15,41.41
JD Unadkat,IPL,5,125,8.94,28.03,33.33
I Sharma,ODI,4,125,5.67,28.29,54.41
Mohammed Siraj,IPL,5,124,8.64,29.4,43.99
AC Kerr,ODI,4,124,4.67,27.24,52.86
YS Chahal,ODI,4,124,5.28,26.19,48.92
SL Malinga,T20I,0,124,7.35,18.04,39.23
JE Taylor,ODI,4,124,5.26,27.02,57.04
Shaheen Shah Afridi,Test,3,123,3.14,27.46,76.07
CJ Jordan,T20I,5,123,8.7,23.0,35.08
Shahid Afridi,T20I,0,122,6.83,21.41,37.53
JE Taylor,Test,3,122,3.45,32.08,73.74
Nahida Akter,T20I,0,122,5.92,15.25,46.21
MJ Hoggard,Test,3,122,3.22,29.7,75.16
MA Wood,Test,3,122,3.32,30.04,73.44
Mehedi Hasan Miraz,ODI,4,122,4.79,32.91,51.36
D Bishoo,Test,3,122,3.22,35.66,68.88
Mohammad Amir,Test,3,121,2.84,29.98,77.39
A Nehra,IPL,0,121,7.81,20.62,43.19
SN Thakur,IPL,5,121,9.52,28.38,34.5
SM Pollock,ODI,1,120,3.4,23.67,68.02
WPUJC Vaas,ODI,1,120,4.1,27.41,65.63
KY Chan,T20I,7,120,4.44,9.06,57.79
TT Bresnan,ODI,4,120,5.42,31.49,53.25
MM Ali,ODI,6,119,5.31,43.78,45.1
Z Khan,IPL,5,119,7.58,23.38,42.19
H Ishimwe,T20I,7,119,4.43,9.0,57.97
HH Pandya,T20I,5,119,8.32,25.67,38.97
NGRP Jayasuriya,Test,3,118,3.25,30.97,69.39
MF Maharoof,ODI,4,118,4.8,25.9,58.96
RP Yadav,T20I,0,118,6.61,16.54,41.68
Nashra Sandhu,ODI,4,118,4.47,25.82,56.51
CRD Fernando,ODI,4,118,5.12,29.17,56.82
JO Holder,T20I,5,117,8.76,24.28,35.44
Arshdeep Singh,IPL,5,117,9.14,25.35,36.7
J Mbabazi,T20I,7,116,4.8,10.05,54.97
Virandeep Singh,T20I,0,116,5.53,12.84,46.51
UT Yadav,ODI,4,116,6.0,30.73,54.39
PP Ojha,Test,3,116,2.68,29.48,76.13
HK Matthews,ODI,1,115,4.36,24.24,57.8
R Rampaul,ODI,4,115,5.09,26.43,57.32
A Nehra,ODI,4,115,5.41,28.51,55.61
Karan KC,T20I,0,114,7.77,18.47,46.83
RJ Harris,Test,3,114,2.77,23.32,79.29
Kuldeep Yadav,IPL,5,113,8.25,27.34,30.84
AC Kerr,T20I,0,113,6.07,18.33,39.62
SE Bond,ODI,1,113,4.18,20.44,65.63
Junaid Khan,ODI,4,113,5.39,27.74,56.34
Vaishnave Mahesh,T20I,7,113,4.8,10.88,56.42
CH Gayle,ODI,4,112,4.76,31.29,47.04
CV Varun,IPL,5,112,7.65,23.28,37.78
FH Edwards,Test,3,112,3.72,37.6,69.8
Faheem Ashraf,PSL,5,111,8.72,22.9,35.89
ST Finn,ODI,4,111,5.05,26.99,59.16
N Boochatham,T20I,7,110,4.47,10.65,58.8
WD Parnell,ODI,4,110,5.58,27.36,54.15
RAS Lakmal,ODI,4,110,5.5,31.3,55.96
R Ngarava,T20I,0,110,7.2,19.32,48.59
Abdul Razzaq,ODI,6,110,4.84,32.72,56.45
Mohammad Amir,PSL,5,110,7.75,24.09,42.61
Pavandeep Singh,T20I,7,110,5.86,16.28,52.97
J Goswami,ODI,1,109,3.77,19.34,67.22
GD McGrath,ODI,1,109,3.82,18.9,67.05
L Ngidi,ODI,4,109,5.81,28.87,54.51
MRJ Watt,ODI,1,109,4.22,25.54,58.08
Hasan Ali,ODI,4,109,5.81,28.29,51.44
LMM Tahuhu,ODI,1,108,4.69,24.3,61.49
CBRLS Kumara,Test,3,107,3.86,35.04,68.23
CH Morris,IPL,5,107,8.0,21.58,40.9
KH Pandya,IPL,5,107,7.55,30.42,32.7
SR Watson,IPL,5,107,7.88,25.07,41.63
GP Swann,ODI,4,107,4.59,26.18,50.49
AB Agarkar,ODI,1,106,4.96,25.65,60.93
Bilal Khan,T20I,0,106,6.83,15.96,48.35
JP Faulkner,ODI,4,106,5.55,27.57,48.7
SM Sharif,ODI,1,106,4.87,26.31,58.32
H Ssenyondo,T20I,7,105,5.34,13.74,49.48
SN Netravalkar,ODI,1,105,3.89,20.06,64.15
ST Jayasuriya,ODI,4,105,4.77,30.32,46.74
CJ McKay,ODI,1,105,4.82,22.34,59.14
DJ Willey,ODI,4,105,5.49,27.65,54.74
DW Steyn,IPL,0,105,6.92,24.03,48.61
Taskin Ahmed,ODI,4,105,5.42,30.52,55.89
SO Ngoche,T20I,0,104,6.17,16.03,47.81
ASS Fletcher,T20I,0,104,6.21,18.84,40.41
Shoaib Akhtar,ODI,1,104,4.93,27.3,60.39
Taskin Ahmed,T20I,0,104,7.74,20.99,45.78
P Utseya,ODI,6,104,4.66,45.89,50.54
Junaid Siddique,T20I,0,103,7.85,18.83,42.48
Aizaz Khan,T20I,0,103,7.76,19.25,39.92
LL Tsotsobe,ODI,1,102,4.76,22.69,61.88
Yuvraj Singh,ODI,6,102,5.14,33.76,46.3
Nauman Ali,Test,1,102,3.03,23.31,72.08
AR Ramjani,T20I,7,102,4.68,9.29,53.91
P Kumar,IPL,5,102,7.73,31.87,45.43
PL Harris,Test,3,102,2.66,37.55,76.01
Abdur Rehman,Test,3,102,2.53,28.53,76.13
PWH de Silva,ODI,4,102,5.16,24.34,51.33
S Laomi,T20I,7,102,4.44,12.22,53.83
KH Brunt,T20I,7,102,5.77,16.08,53.55
JH Kallis,ODI,6,102,5.11,32.4,52.11
AN Kelly,T20I,0,102,6.02,11.92,46.78
Haris Rauf,ODI,4,101,5.85,25.0,52.32
BM Scholtz,ODI,1,101,3.35,18.67,66.56
JL Jonassen,T20I,0,101,5.73,15.95,45.08
