bowler,format,cluster,wickets,economy,average,dot_pct
GH Dockrell,ODI,6,73,4.97,36.21,52.08
RTM Mendis,Test,3,73,3.18,30.3,68.58
JR Hopes,ODI,6,73,4.54,32.18,54.69
WPUJC Vaas,Test,3,73,2.83,29.41,77.05
MG Erasmus,T20I,0,72,6.0,14.54,43.55
AD Russell,ODI,6,72,5.81,30.56,51.96
KMDN Kulasekara,T20I,0,72,7.39,20.33,44.36
Chan Ka Man,T20I,7,72,4.41,12.97,55.23
Sana Mir,ODI,1,72,4.12,21.46,60.42
S Shillingford,Test,3,72,3.08,33.6,72.1
S Akiteng,T20I,7,72,4.62,13.08,55.85
Rumana Ahmed,T20I,0,72,5.58,14.01,42.16
P Aho,T20I,7,72,6.09,15.42,54.84
R Ashwin,T20I,0,72,6.98,22.38,41.47
DS Airee,T20I,0,71,6.12,16.87,43.27
LM Kasperek,T20I,0,71,6.79,15.01,37.9
JJ Smit,T20I,0,71,6.85,16.17,43.54
BMSM Kumari,T20I,0,71,6.05,23.32,45.92
KE Bryce,T20I,7,71,4.81,12.39,56.83
Junaid Khan,Test,3,71,2.92,31.73,75.57
KA Maharaj,ODI,6,71,4.77,31.0,49.95
F Nsubuga,T20I,7,71,4.64,14.07,60.73
N Pradeep,Test,3,71,3.49,42.3,71.15
JDS Neesham,ODI,6,71,6.32,35.56,48.71
NL McCullum,ODI,6,71,5.01,41.63,48.71
Abbas Afridi,PSL,5,71,9.61,21.13,33.83
SL Malinga,Test,3,71,3.75,34.79,69.23
Mahirah Izzati Ismail,T20I,7,71,4.76,13.04,50.17
CW Perchard,T20I,0,71,6.11,12.83,44.74
Shakib Al Hasan,IPL,5,71,7.44,25.9,35.24
A Nortje,Test,1,71,3.65,26.34,72.83
G Matome,T20I,7,70,4.19,10.87,65.56
SR Harmer,Test,1,70,2.88,21.49,74.86
AAP Atkinson,Test,1,70,3.67,23.87,72.39
Fahima Khatun,T20I,0,70,5.86,18.76,42.23
DJ Bravo,Test,3,70,3.2,41.69,74.26
Yasin Patel,T20I,0,70,5.98,17.11,49.42
N Mlaba,ODI,6,69,4.93,30.67,54.16
N Pradeep,ODI,6,69,6.03,32.8,51.0
SR Taylor,T20I,0,69,6.03,16.99,40.91
S Vijay Unni,T20I,0,69,6.19,18.84,44.96
Shoaib Bashir,Test,3,69,3.79,38.43,66.63
PJ Cummins,T20I,0,69,7.49,22.0,42.68
J Little,T20I,5,69,7.45,23.81,44.14
T Shadrack,T20I,7,69,3.98,10.41,67.84
IDR Bradshaw,ODI,1,69,4.22,25.14,63.0
D Wiese,T20I,0,68,7.07,17.65,40.67
D van Niekerk,ODI,1,68,3.55,22.15,62.11
Sadia Iqbal,T20I,0,68,5.73,16.71,47.73
SM Curran,T20I,5,68,8.81,27.01,33.65
Usama Mir,PSL,5,68,8.27,23.9,33.33
Sajid Khan,Test,1,68,3.42,27.65,69.49
O Prendergast,T20I,7,67,5.67,17.27,57.14
IS Sodhi,ODI,6,67,5.51,35.07,45.56
Ishtiaq Ahmad,T20I,0,67,6.77,14.93,48.53
MR Adair,ODI,6,67,5.76,31.93,56.73
IKEG Artawan,T20I,0,67,6.78,19.91,41.07
CA Soper,ODI,1,67,4.41,25.58,61.99
D Maisuria,T20I,7,67,5.48,9.09,54.72
DW Steyn,T20I,0,67,7.01,17.45,47.0
AF Milne,T20I,5,67,8.4,23.85,42.99
E Rukiriza,T20I,0,67,6.68,18.39,45.48
Kaleem Sana,T20I,7,67,6.1,13.39,55.61
Shoriful Islam,T20I,5,67,8.14,22.28,42.18
M Muralitharan,IPL,0,67,6.69,25.46,42.03
AJ Hosein,ODI,1,67,4.79,26.52,53.71
A Sutherland,ODI,1,67,4.67,20.48,59.1
WB Rankin,ODI,1,67,4.9,28.87,60.88
Sohail Tanvir,PSL,5,67,7.9,25.07,41.46
JDS Neesham,T20I,5,67,9.21,23.19,33.79
JR Hazlewood,IPL,5,67,8.44,21.72,44.58
R Ngarava,ODI,1,66,5.33,28.62,57.92
CB Mpofu,ODI,6,66,5.6,42.83,56.47
MN Samuels,ODI,6,66,4.8,44.02,49.88
SN Thakur,ODI,6,66,6.2,30.05,51.82
SW Tait,ODI,1,66,5.13,22.14,61.18
SJ Harmison,ODI,1,66,5.13,29.89,60.53
MG Johnson,IPL,5,66,8.24,25.88,44.77
JO Holder,IPL,5,66,8.62,23.8,34.77
BJ McCarthy,T20I,5,65,8.65,28.09,37.96
P Vastrakar,T20I,0,65,6.36,19.11,49.57
NM Hauritz,Test,3,65,3.11,33.91,74.49
A Mishra,ODI,1,65,4.79,21.89,55.31
Mohammad Hafeez,T20I,0,65,6.66,21.15,39.58
DJS Dottin,T20I,0,65,7.11,15.26,45.28
M Wai Siu,T20I,7,65,4.79,13.14,60.93
LM Jongwe,T20I,5,65,8.45,20.34,30.67
Diana Baig,ODI,6,65,5.11,35.68,59.88
E Bisht,ODI,1,65,3.92,19.65,61.62
DE Bollinger,ODI,1,65,4.53,22.8,61.35
SCJ Broad,T20I,5,65,7.63,22.78,43.47
Poonam Yadav,ODI,1,65,4.1,27.12,56.26
J Little,ODI,6,64,6.23,32.31,51.88
AU Rashid,Test,3,64,3.76,37.34,64.48
NR Sciver,ODI,1,64,4.56,28.34,57.65
Ravi Bishnoi,T20I,0,64,7.3,17.58,43.46
Rishad Hossain,T20I,5,64,8.18,21.73,37.94
JA Diergaardt,T20I,7,64,5.57,15.34,49.72
A Dutt,ODI,1,64,4.82,30.64,58.92
SR Magar,T20I,7,64,4.75,12.8,50.29
TL Chatara,T20I,0,64,7.16,21.17,45.16
K Fraser,T20I,7,64,5.42,13.77,49.13
S Thakor,T20I,7,64,5.53,13.94,52.12
LH Ferguson,IPL,5,64,9.03,25.47,38.6
A Ikuzwe,T20I,7,64,4.86,12.36,57.93
Zahoor Khan,T20I,0,64,6.72,17.73,38.01
B Kumar,Test,3,64,2.94,25.69,78.3
LN Oluoch,T20I,0,64,7.16,18.64,48.8
AS Joseph,T20I,5,63,9.13,23.73,38.96
IK Gamantika,T20I,0,63,5.89,16.24,44.34
P Maya,T20I,7,63,5.63,13.75,56.01
S Kaul,IPL,5,63,8.59,27.6,33.74
XJ Doherty,ODI,6,63,4.79,34.76,51.06
BJ McMullen,ODI,1,63,4.48,20.41,64.31
CE Dean,T20I,0,63,6.92,17.27,43.05
SA Jumbe,T20I,0,63,7.66,20.27,42.5
N de Klerk,T20I,5,63,7.5,25.1,38.02
JC Tredwell,ODI,1,63,4.77,26.05,52.42
SM Curran,IPL,5,63,9.68,32.27,32.86
NL McCullum,T20I,0,63,6.83,20.29,36.33
WD Parnell,T20I,5,63,8.23,24.02,38.8
A Nortje,IPL,5,63,9.02,26.92,40.16
PA van Meekeren,ODI,1,63,5.37,24.37,56.24
Faheem Ashraf,T20I,5,62,7.83,24.15,40.02
S Chaturongrattana,T20I,7,62,4.44,9.97,56.46
AD Russell,T20I,5,62,9.47,30.31,35.13
JC Archer,T20I,5,62,8.3,22.21,44.82
NP Kenjige,ODI,6,62,4.22,31.84,57.65
A Nortje,T20I,0,62,7.34,19.03,44.92
Muhammad Nadir,T20I,7,62,5.23,17.35,53.0
YM Nkanya,T20I,7,62,5.21,12.89,51.68
Imran Tahir,T20I,0,62,6.73,14.98,33.94
IE O'Brien,Test,3,62,3.4,34.61,75.86
HM Rowe,ODI,1,62,4.78,26.58,59.67
J Miyaji,T20I,7,62,6.18,13.06,53.75
Nida Dar,ODI,6,62,4.61,35.5,55.92
JA Duffy,T20I,0,62,8.03,19.77,46.72
Naseem Shah,Test,3,62,3.65,34.0,71.62
JC Archer,ODI,1,61,4.98,24.33,61.52
Mohammad Wasim,PSL,5,61,9.59,28.82,31.91
JC Archer,Test,3,61,2.98,29.61,77.01
Naseem Shah,ODI,1,61,5.51,24.56,55.58
I Nakisuuyi,T20I,7,61,4.92,13.72,52.84
S Rana,ODI,1,61,5.03,26.59,50.39
D Olivier,Test,1,61,3.73,23.48,73.32
S Dharnidharka,T20I,7,61,5.17,13.15,61.4
NT Ellis,T20I,0,61,7.78,16.03,40.05
Rahat Ali,Test,3,61,3.2,37.11,74.72
B Muzarabani,ODI,6,61,5.14,32.9,56.87
Imran Khan,T20I,0,61,7.11,19.39,46.69
BAW Mendis,T20I,0,61,6.58,15.08,40.41
Ahmed Raza,ODI,1,61,4.14,28.21,57.23
RC Belbashi,T20I,7,61,4.43,14.64,54.3
Noor Ahmad,IPL,5,60,8.11,22.82,34.55
Imran Tahir,Test,3,60,3.48,38.23,68.67
Imran Tahir,PSL,0,60,7.05,18.33,33.01
RM Koda,T20I,0,60,6.65,22.4,48.76
KJ O'Brien,ODI,6,60,5.64,36.37,53.57
S Siegers,T20I,0,60,5.84,21.48,47.21
KJ Garth,ODI,1,60,4.21,20.25,65.63
SMSM Senanayake,ODI,6,60,4.77,31.23,52.97
T Panyangara,ODI,6,60,5.58,40.32,57.18
SK Warne,IPL,5,60,7.27,24.12,37.02
R Abdulkareem,T20I,0,60,6.37,13.05,45.45
PVD Chameera,ODI,6,60,5.49,34.15,56.22
TU Deshpande,IPL,5,60,9.96,29.53,36.52
C Kyewuta,T20I,0,60,6.61,15.28,51.74
JN Frylinck,T20I,0,59,6.98,18.19,39.44
Muslim Yar,T20I,0,59,6.76,18.1,41.56
SFM Devine,ODI,6,59,4.86,35.17,59.82
S Pandey,ODI,1,59,4.09,20.93,64.2
D van Niekerk,T20I,0,59,5.46,16.34,42.36
JN Gillespie,ODI,1,59,3.93,21.78,66.53
BA Carse,Test,1,59,3.83,29.68,69.24
CJ Anderson,ODI,0,59,6.08,24.81,48.86
AR Patel,Test,1,59,2.53,19.0,77.59
Sohail Tanvir,T20I,0,59,7.19,23.97,42.8
BJ McCarthy,ODI,1,59,5.94,29.63,54.76
Mohammad Hasnain,PSL,5,59,9.01,25.14,39.98
AF Milne,ODI,6,59,5.46,33.71,56.38
CL Tryon,ODI,6,59,4.79,36.41,54.96
KA Pollard,ODI,6,59,5.72,34.9,40.57
L Ngidi,Test,1,59,3.14,22.98,76.76
JJ Smit,ODI,1,58,4.3,21.33,62.48
D Hazell,T20I,0,58,5.55,18.03,44.65
V Sehwag,ODI,6,58,5.03,35.12,45.62
D Gough,ODI,1,58,4.49,25.1,62.71
IS Sodhi,Test,3,58,3.71,43.1,68.4
B Ward,T20I,0,58,5.68,12.97,43.02
MA Leask,T20I,0,58,7.46,19.76,37.85
UWMBCA Welegedara,Test,3,58,3.53,39.19,72.21
KA Maharaj,T20I,5,58,7.89,24.38,34.33
A Mohammed,ODI,1,58,4.55,26.09,52.71
Sayed Monib,T20I,0,58,8.41,16.6,39.88
RP Singh,T20I,7,58,5.66,13.72,52.37
Jasdeep Singh,ODI,6,58,5.48,30.07,53.87
RMS Eranga,Test,3,58,3.26,36.86,72.48
JEC Franklin,ODI,6,58,5.09,36.74,56.49
N Vanua,T20I,0,58,7.5,18.48,43.71
TG Southee,IPL,5,57,8.64,30.56,39.26
MR Marsh,ODI,6,57,5.49,35.28,49.93
Zulfiqar Babar,Test,3,57,2.85,37.35,73.62
DJS Dottin,ODI,1,57,5.18,23.53,57.12
A Mohammed,T20I,0,57,5.85,19.82,41.5
AC Jayangani,ODI,6,57,5.29,33.0,48.76
LM Kasperek,ODI,1,57,4.08,19.05,58.3
OU Ranasinghe,T20I,0,57,6.95,19.68,37.29
Rohan Mustafa,T20I,0,57,6.67,17.09,36.76
G Wareham,ODI,1,57,4.39,24.54,56.61
Sadia Iqbal,ODI,1,57,4.04,21.7,62.33
MA Wood,T20I,5,57,8.49,18.77,42.86
JS Patel,Test,3,57,3.26,49.25,73.32
Ghulam Ahmadi,T20I,0,57,6.29,18.89,52.48
Umaid Asif,PSL,5,57,8.42,25.6,36.44
CRD Fernando,Test,3,56,3.52,36.45,70.62
Zeeshan Maqsood,ODI,1,56,4.22,26.79,55.91
RA Jadeja,T20I,5,56,7.2,27.82,39.37
IK Pathan,Test,3,56,3.23,30.68,75.65
N Vanua,ODI,6,56,5.11,32.55,57.01
A Dananjaya,ODI,6,56,5.16,30.64,50.53
NLTC Perera,T20I,5,56,9.33,30.07,29.46
NM Hauritz,ODI,6,56,4.73,33.32,48.69
SS Connell,T20I,0,56,6.85,24.11,49.28
EAJ Richardson,T20I,0,56,6.02,17.61,44.25
M Mooketsi,T20I,0,56,6.21,17.39,52.18
MJ Clarke,ODI,6,56,4.91,32.52,44.38
C Murray,T20I,0,55,6.78,20.11,38.2
CAK Rajitha,Test,3,55,3.22,28.51,73.85
CB Sole,ODI,1,55,4.97,21.55,63.52
MP Stoinis,T20I,5,55,8.78,23.49,34.88
DS Airee,ODI,1,55,4.06,27.67,56.36
AG Cremer,Test,3,55,3.78,44.09,65.34
Anam Amin,T20I,0,55,5.85,19.64,47.92
RS Gayakwad,T20I,0,55,6.16,18.36,47.71
SR Watson,T20I,5,55,7.62,21.58,37.22
HNK Jensen,T20I,0,55,6.86,16.91,40.79
P Useni,T20I,0,55,6.31,16.89,51.64
Mohammad Rafique,ODI,6,55,4.44,38.89,54.99
Mohammad Rafique,Test,3,55,3.05,40.98,71.91
B Murekatete,T20I,7,55,4.76,12.09,64.72
S Ravichandran,T20I,7,55,4.9,11.29,52.83
WA Duraisingam,T20I,0,55,5.9,20.73,49.14
Nur Dania Syuhada,T20I,7,55,5.16,16.07,49.37
T van der Gugten,T20I,0,55,7.6,19.55,41.46
Mohammad Nawaz (3),PSL,5,55,7.14,24.51,41.61
K Ramharack,ODI,1,55,4.65,28.47,53.59
JN Gillespie,Test,3,55,2.66,29.82,79.62
S Badree,T20I,0,55,6.31,20.18,47.06
C Rububagumya,T20I,0,55,7.49,19.82,39.86
Naseem Shah,PSL,5,55,8.17,29.07,42.67
SS Cottrell,T20I,5,54,8.09,21.57,44.91
S Nadeem,IPL,5,54,7.54,33.04,33.05
GJ Maxwell,T20I,5,54,8.12,27.83,31.35
AL Phehlukwayo,T20I,5,54,8.87,20.59,32.58
DE Bollinger,Test,1,54,3.18,24.0,76.35
MJ Henry,T20I,5,54,8.51,21.46,44.06
Yasir Ali,T20I,7,54,5.61,11.11,49.69
Ainna Hamizah Hashim,T20I,0,54,5.59,19.57,51.45
AC Agar,T20I,0,54,6.55,20.59,35.66
Muhammad Jawadullah,T20I,0,54,7.63,17.28,43.32
Rumman Raees,PSL,5,54,7.88,23.87,37.82
C Murray,ODI,6,54,5.91,28.56,46.04
Bilal Hassun,T20I,0,54,6.7,14.43,52.29
M Bibi,T20I,7,54,5.95,15.93,52.71
HASD Siriwardene,T20I,0,53,6.01,19.7,39.69
LA Marsh,ODI,1,53,4.11,26.17,59.3
Qamar Mushtaque,T20I,0,53,6.71,12.87,45.9
Salman Irshad,PSL,5,53,9.6,25.68,29.73
Syed Rasel,ODI,1,53,4.66,30.21,61.8
M Pathirana,IPL,5,53,8.66,19.17,36.93
FH Edwards,ODI,1,53,4.97,27.58,58.32
Mohammad Sami,PSL,0,53,6.89,16.79,45.68
Mohammad Hafeez,Test,3,53,2.72,31.77,72.63
CT Tremlett,Test,3,53,2.91,27.0,76.78
LK Bell,T20I,0,53,7.11,17.3,46.25
RP Burl,T20I,5,53,7.24,22.21,37.74
S Gopal,IPL,5,53,8.16,25.45,32.86
Sana Mir,T20I,0,53,6.08,27.89,42.11
DR Smith,ODI,6,53,5.06,34.94,54.23
Washington Sundar,T20I,0,52,6.93,21.63,40.76
MG Erasmus,ODI,1,52,4.49,24.94,59.43
S Joseph,Test,1,52,3.75,21.25,69.27
MR Marsh,Test,3,52,3.5,39.63,72.01
M Klaas,T20I,5,52,7.89,26.88,39.04
LA Burns,T20I,7,52,5.4,12.13,50.78
SS Cottrell,ODI,6,52,5.98,30.38,53.53
A Shukla,T20I,5,52,7.94,25.88,44.44
MD Craig,Test,3,52,3.8,44.73,69.78
E Wachira,T20I,7,52,4.71,11.46,54.81
E Sebareme,T20I,7,52,5.87,14.44,49.87
KM Jarvis,ODI,6,52,5.13,33.23,58.47
Janak Prakash,T20I,5,52,8.72,22.79,38.9
Umair Tariq,T20I,0,52,8.55,15.67,45.1
OC McCoy,T20I,5,52,8.75,22.85,38.53
AA Alleyne,ODI,1,52,5.51,25.4,54.52
AJ Tye,T20I,5,52,8.69,19.17,36.05
JL Gunn,T20I,0,52,6.51,16.29,38.16
NM Coulter-Nile,ODI,1,52,5.59,29.21,55.18
NM Coulter-Nile,IPL,0,52,7.62,21.15,44.69
Fatima Sana,T20I,0,52,7.33,23.13,42.74
Zeeshan Maqsood,T20I,0,52,6.54,20.92,39.68
Jahanara Alam,T20I,0,52,6.14,19.27,52.6
SP Narine,T20I,0,51,6.01,20.45,43.04
Khizar Hayat,T20I,0,51,6.45,20.39,40.7
GP Swann,T20I,0,51,6.39,16.41,36.39
Mariamma Hyder,T20I,7,51,5.15,15.61,51.72
DR Tuffey,ODI,1,51,4.96,30.88,62.45
MM Ali,T20I,5,51,8.3,26.8,33.4
Taranjeet Singh,T20I,0,51,6.8,17.53,45.37
Dawood Ahmadzai,T20I,0,51,6.23,17.27,48.41
Bilal Zalmai,T20I,5,51,7.27,24.84,39.81
DBL Powell,ODI,1,51,4.69,31.65,63.52
T Lungameni,ODI,1,51,4.53,23.29,61.6
A Sutherland,T20I,0,51,6.41,16.08,44.72
Shoriful Islam,ODI,1,51,5.52,28.27,57.92
K Irakoze,T20I,0,51,7.0,21.22,44.07
Mukesh Kumar,IPL,5,51,10.42,27.0,34.3
Abrar Ahmed,T20I,0,51,6.75,17.37,42.77
R Trumpelmann,T20I,5,51,8.22,24.35,38.92
Usman Najeeb,T20I,0,51,7.61,18.76,44.9
NW Sariani,T20I,7,51,3.58,7.27,63.61
SR Clark,ODI,1,51,4.78,26.92,57.67
D Heyliger,T20I,0,51,7.47,23.8,45.74
DJ Willey,T20I,5,51,8.25,22.69,40.67
Zaman Khan,PSL,5,51,8.69,22.55,36.9
LN Rajbanshi,ODI,1,50,4.03,25.26,60.95
J Coetzee,T20I,7,50,4.73,8.08,60.04
CH Morris,ODI,6,50,5.62,34.86,53.9
Usman Shinwari,PSL,5,50,8.65,23.22,34.53
Abrar Ahmed,PSL,5,50,7.85,23.32,35.24
VG Arora,IPL,5,50,9.56,26.58,37.29
H Fennell,T20I,7,50,6.06,12.74,53.41
GJ Delany,T20I,5,50,7.59,26.0,35.12
I Barma,T20I,7,50,4.56,12.5,52.37
Shakeel Ahmed,ODI,7,50,3.45,14.16,67.32
JA Morkel,ODI,6,50,5.54,34.14,49.68
SN Shihepo,T20I,7,50,5.09,12.34,59.07
T Thushara,ODI,1,50,5.21,26.82,57.54
JC Tongue,Test,1,50,3.94,25.84,68.67
JL Gunn,ODI,1,50,4.23,22.84,60.12
SB Jakati,IPL,5,50,8.01,29.02,32.66
Aayan Afzal Khan,ODI,1,50,4.13,27.16,59.88
WP Masakadza,T20I,5,50,7.31,28.94,34.96
LV van Beek,ODI,6,50,5.68,31.8,56.52
AN Kelly,ODI,1,50,4.86,26.86,55.82
DJG Sammy,T20I,5,50,7.27,21.98,35.17
R Rampaul,Test,3,49,2.95,34.8,74.92
DM Kimmince,T20I,0,49,6.72,18.51,36.67
A Reddy,T20I,5,49,7.68,24.96,35.36
DM de Silva,ODI,6,49,5.17,36.04,45.46
Rabeya Khan,T20I,0,49,5.49,16.84,43.29
Amna Tariq,T20I,7,49,5.11,16.39,51.64
L Tshuma,T20I,0,49,5.69,16.47,45.36
PA Chatterji,T20I,0,49,5.72,17.65,50.72
I van Zyl,T20I,7,49,4.73,15.08,57.52
DL Brangman,T20I,7,49,5.68,12.78,53.56
M Morkel,T20I,0,49,7.39,23.9,46.06
Fayyaz Butt,T20I,5,49,7.83,21.82,43.59
KD Mills,T20I,5,49,8.17,25.06,41.69
A Kumble,IPL,0,49,6.54,21.59,40.93
N Navaika,T20I,7,49,5.35,12.16,50.6
K Nassoro,T20I,0,49,6.71,19.73,45.9
C de Grandhomme,Test,3,49,2.38,32.96,80.21
KMDN Kulasekara,Test,3,49,3.04,34.8,74.69
Khushi Sharma,T20I,7,49,5.32,13.53,53.21
Shahid Afridi,PSL,5,49,7.17,24.69,39.43
KDA Lukies,T20I,7,48,5.41,12.02,55.31
EN Lynch,T20I,7,48,5.27,15.98,49.08
FJ Klaassen,T20I,0,48,7.64,22.56,44.0
M Jansen,ODI,6,48,6.29,33.5,56.49
HC Knight,ODI,1,48,4.47,21.12,54.78
CJ Jordan,PSL,5,48,8.62,23.65,32.03
Abrar Ahmed,Test,3,48,3.6,32.92,68.8
JW Dernbach,T20I,5,48,8.45,24.04,39.44
SC Williams,T20I,5,48,6.88,26.17,33.67
KM Jarvis,Test,3,48,3.21,28.21,74.45
S Aravind,IPL,5,48,8.19,21.65,39.68
JDF Vandersay,ODI,1,48,5.32,26.4,47.62
KJ O'Brien,T20I,0,48,7.09,14.79,39.1
Usman Khan,T20I,0,48,6.97,13.21,44.32
MP Stoinis,ODI,6,48,6.01,42.31,45.1
TJ Murtagh,ODI,1,48,4.58,26.33,62.2
RJW Topley,ODI,1,48,5.39,25.1,56.97
Nur Arianna Natsya,T20I,7,48,5.46,14.81,52.88
Riazat Ali Shah,T20I,0,48,6.88,17.85,45.78
AJ Tye,IPL,5,48,8.55,20.4,32.61
M Hill,T20I,7,48,5.0,15.54,52.63
D Madushanka,ODI,0,48,6.07,22.04,54.55
LV van Beek,T20I,0,48,7.79,17.52,42.13
G Motie,T20I,5,48,7.99,23.96,35.88
WB Rankin,T20I,0,48,6.39,19.33,47.42
P Marange,T20I,7,48,4.4,14.46,59.62
RJ Harris,IPL,0,47,7.54,22.28,46.82
Zain Ul Abidin,T20I,0,47,5.79,16.94,46.06
TS Sekhukhune,T20I,0,47,7.62,19.85,42.99
MP Stoinis,IPL,5,47,9.81,31.98,29.05
Shiraz Khan,T20I,0,47,6.35,20.64,44.93
SM Curran,Test,3,47,3.23,35.51,75.02
V Saini,T20I,0,47,7.26,22.06,43.17
RE van der Merwe,ODI,6,47,4.71,32.34,49.64
CJ Jordan,ODI,6,47,6.08,35.04,50.15
Aamir Kaleem,T20I,0,47,7.7,18.02,35.76
Iqra Sahar,T20I,7,47,5.25,18.79,61.09
Mohammad Ali,PSL,5,47,8.69,18.89,40.95
S Tuhadeleni,T20I,7,47,5.09,11.7,56.17
Shoaib Akhtar,Test,1,47,3.46,23.6,72.35
Mohammad Saifuddin,T20I,5,47,8.67,26.83,32.65
OH Agbomadzie,T20I,7,47,5.48,15.0,52.07
Umar Adam,T20I,0,47,7.34,19.13,45.85
Fitri Sham,T20I,0,47,6.79,18.02,42.06
PWH de Silva,IPL,5,47,8.41,23.81,34.59
A Vala,ODI,1,47,3.93,27.83,58.08
BFW de Leede,T20I,0,46,7.89,18.59,37.38
S Molineux,T20I,0,46,6.0,18.48,41.88
Maria Jasvi,T20I,7,46,5.64,15.89,53.02
HWA Landheer,T20I,7,46,5.92,14.5,53.25
SVE Bharathi,T20I,7,46,5.02,12.65,52.81
RJ Harris,ODI,7,46,4.83,18.09,59.38
R Vinay Kumar,ODI,6,46,5.93,30.93,54.51
Mohammad Wasim,T20I,5,46,8.34,19.35,40.78
CR Brathwaite,ODI,6,46,5.8,35.37,47.27
K Ndlovu,T20I,7,46,5.98,18.33,54.02
Mohammad Naveed,ODI,1,46,5.33,29.59,56.37
B Evans,T20I,0,46,7.83,16.11,42.08
V Hamunyela,T20I,7,46,4.75,16.43,56.5
Mohammad Irfan,PSL,5,46,6.93,29.15,47.29
B Muzarabani,Test,3,46,3.44,28.46,73.56
Vinay Ravi,T20I,0,46,6.78,17.93,52.74
Taskin Ahmed,Test,3,46,3.56,39.98,72.29
Mohamed Shafeeq,T20I,5,46,7.87,24.93,46.17
SN Netravalkar,T20I,0,46,7.2,22.93,43.91
V Vira,T20I,7,46,4.31,9.61,63.31
PM Seelaar,T20I,5,46,7.22,23.33,34.64
S Muniandy,T20I,5,46,8.72,24.46,32.69
F Overdijk,T20I,0,46,6.35,14.59,50.63
MC Henriques,IPL,5,46,8.13,28.02,33.12
MM Ali,IPL,5,46,7.22,22.37,35.32
Basil Hameed,ODI,1,46,4.17,20.8,57.69
YK Pathan,IPL,5,46,7.4,30.76,36.53
Al-Amin Hossain,T20I,0,46,7.08,15.48,44.61
Tanzim Hasan Sakib,T20I,5,46,8.31,24.09,43.75
Khalid Ahmadi,T20I,0,46,6.55,14.04,49.83
KW Richardson,T20I,5,46,8.28,21.98,39.43
VR Aaron,IPL,5,46,8.87,32.2,41.42
Renuka Singh,ODI,1,46,4.91,25.17,59.83
S Luus,T20I,5,45,6.87,25.02,35.71
TM Odoyo,ODI,1,45,4.36,25.58,63.91
BFW de Leede,ODI,6,45,6.0,31.96,51.43
M Mwatile,T20I,7,45,5.71,12.87,49.34
Yash Dayal,IPL,5,45,9.47,30.89,36.21
Mohammad Wasim,ODI,1,45,5.57,25.33,53.55
SE Bond,Test,1,45,3.22,17.56,75.07
Iqbal Abdulla,IPL,5,45,7.23,24.64,37.61
Kaleemullah,ODI,1,45,4.31,32.11,66.04
KW Richardson,ODI,1,45,5.67,27.56,51.33
Kaleem Sana,ODI,1,45,4.35,19.84,65.39
AD Mathews,T20I,5,45,7.11,29.47,44.77
LK Bell,ODI,1,45,5.49,29.87,59.33
GJ Maxwell,IPL,5,45,8.3,31.4,32.97
Aqib Ilyas,T20I,0,45,6.03,15.53,42.53
Shakeel Ahmed,T20I,0,45,6.51,22.49,45.02
K Waiswa,T20I,0,45,7.19,14.67,43.38
S Jimmy,T20I,7,44,4.96,11.0,55.21
CL Tryon,T20I,5,44,6.93,32.59,39.08
PJ Sangwan,IPL,5,44,8.63,28.16,39.26
Mas Elysa,T20I,7,44,5.56,14.57,50.43
AR Nurse,ODI,6,44,5.54,45.18,44.26
M Jansen,IPL,5,44,9.43,34.07,38.16
Nayeem Hasan,Test,3,44,3.07,28.8,72.13
I Ntirenganya,T20I,0,44,6.79,20.02,50.71
S Randiv,Test,3,44,3.07,36.66,70.21
Rashid Khan,PSL,0,44,6.14,15.48,44.44
Raja Adeel,T20I,7,44,5.81,12.48,55.2
S Veerapathiran,T20I,5,44,8.03,21.16,39.22
Namgay Thinley,T20I,0,44,5.75,15.25,48.0
Imad Wasim,ODI,6,44,4.89,43.39,48.66
JEC Franklin,Test,3,44,3.43,40.41,73.82
NN Saidi,T20I,7,44,4.72,11.77,55.32
V Vijh,T20I,5,44,8.01,20.36,32.79
JS Patel,ODI,6,44,5.0,33.55,48.7
JW Hastings,ODI,1,44,5.07,28.55,54.24
JP Duminy,Test,3,44,3.55,36.39,66.61
D Wiese,PSL,5,43,8.26,28.3,26.58
K Ramharack,T20I,0,43,6.67,23.93,38.98
DE Bollinger,IPL,0,43,7.19,16.12,46.71
DBL Powell,Test,3,43,3.62,54.7,71.59
N Sibanda,T20I,7,43,5.24,16.86,57.35
AC Evans,T20I,5,43,8.08,19.81,41.55
SM Curran,ODI,6,43,6.08,35.49,49.5
Sami Sohail,T20I,0,43,7.16,16.63,39.57
Mohammad Saifuddin,ODI,6,43,6.04,28.98,47.05
TS Mills,PSL,5,43,8.35,21.0,42.06
NLKWR Dewi,T20I,7,43,4.06,8.74,64.86
NK Patel,ODI,1,43,4.67,27.7,53.23
DM de Silva,Test,3,43,3.33,52.84,65.47
Rabeya Khan,ODI,1,43,3.96,23.67,56.87
S Kotte,T20I,7,43,3.97,11.53,61.55
M Koli,T20I,0,43,7.26,18.53,50.83
P Awana,IPL,5,43,8.22,23.93,40.88
CD Collymore,Test,3,43,2.81,37.74,77.31
Sohail Khan,PSL,5,43,8.85,32.37,38.24
S Sreesanth,IPL,5,43,7.93,27.77,46.07
G Motie,ODI,6,43,4.75,30.74,53.53
MG Johnson,T20I,0,42,7.21,18.98,45.55
