bowler,format,matches,balls,runs_given,wickets,dot_balls,wides,noballs,overs,economy,average,dot_pct,strike_rate
DAJ Bracewell,Test,28,5207,2917,77,3863,27,44,867.8,3.36,37.88,74.19,67.62
SR Taylor,ODI,85,3142,2398,77,1728,71,7,523.7,4.58,31.14,55.0,40.81
Mohammed Siraj,ODI,48,2198,1927,77,1379,73,1,366.3,5.26,25.03,62.74,28.55
CA Young,ODI,39,2028,1869,77,1179,63,10,338.0,5.53,24.27,58.14,26.34
J Botha,ODI,71,3631,2839,77,1749,42,6,605.2,4.69,36.87,48.17,47.16
A Bohara,T20I,57,1171,1484,77,410,28,1,195.2,7.6,19.27,35.01,15.21
Imad Wasim,T20I,70,1464,1547,77,624,28,0,244.0,6.34,20.09,42.62,19.01
Salma Khatun,T20I,66,1363,1178,77,717,32,0,227.2,5.19,15.3,52.6,17.7
JM Kerr,ODI,50,2349,1748,77,1396,74,7,391.5,4.46,22.7,59.43,30.51
SC Williams,ODI,111,4179,3552,77,2043,65,12,696.5,5.1,46.13,48.89,54.27
A Mishra,Test,22,5188,2791,76,3700,1,85,864.7,3.23,36.72,71.32,68.26
SB Styris,ODI,93,3219,2544,76,1718,46,2,536.5,4.74,33.47,53.37,42.36
TT Bresnan,Test,23,4678,2435,76,3629,24,3,779.7,3.12,32.04,77.58,61.55
BA Stokes,ODI,87,3103,3206,76,1402,114,17,517.2,6.2,42.18,45.18,40.83
RJ Peterson,ODI,62,2775,2280,76,1406,23,1,462.5,4.93,30.0,50.67,36.51
AM Fernando,Test,23,3517,2205,76,2474,28,13,586.2,3.76,29.01,70.34,46.28
AC Jayangani,T20I,82,1331,1500,76,489,33,4,221.8,6.76,19.74,36.74,17.51
Nashra Sandhu,T20I,69,1549,1450,76,687,19,2,258.2,5.62,19.08,44.35,20.38
RD Chahar,IPL,79,1695,2220,76,596,33,1,282.5,7.86,29.21,35.16,22.3
Syed Aziz,T20I,72,1260,1548,76,585,90,10,210.0,7.37,20.37,46.43,16.58
Kuldeep Yadav,Test,17,2894,1769,76,2048,2,1,482.3,3.67,23.28,70.77,38.08
LH Ferguson,T20I,51,1070,1327,76,518,51,9,178.3,7.44,17.46,48.41,14.08
JP Faulkner,IPL,60,1243,1849,76,440,44,5,207.2,8.93,24.33,35.4,16.36
Washeem Abbas,T20I,49,1037,1424,75,428,68,2,172.8,8.24,18.99,41.27,13.83
AG Cremer,ODI,67,3198,2627,75,1617,33,2,533.0,4.93,35.03,50.56,42.64
SCG MacGill,Test,17,4379,2477,75,3258,3,26,729.8,3.39,33.03,74.4,58.39
J Nkomo,T20I,56,1090,967,75,652,73,10,181.7,5.32,12.89,59.82,14.53
PZ Kamunya,T20I,47,1016,669,75,636,27,1,169.3,3.95,8.92,62.6,13.55
RE van der Merwe,T20I,66,1267,1404,75,497,16,0,211.2,6.65,18.72,39.23,16.89
T Shamsi,ODI,52,2702,2543,75,1316,78,5,450.3,5.65,33.91,48.7,36.03
SR Watson,Test,52,5358,2547,75,4259,13,13,893.0,2.85,33.96,79.49,71.44
Abdul Majid Abbasi,T20I,74,1577,1493,75,796,7,1,262.8,5.68,19.91,50.48,21.03
MJ McClenaghan,IPL,56,1283,1839,75,534,63,9,213.8,8.6,24.52,41.62,17.11
CV Varun,T20I,43,963,1236,75,389,14,0,160.5,7.7,16.48,40.39,12.84
Sohail Tanvir,ODI,59,2931,2618,75,1713,157,28,488.5,5.36,34.91,58.44,39.08
N Senamontree,T20I,49,1078,988,75,595,17,0,179.7,5.5,13.17,55.19,14.37
JH Kallis,IPL,89,1751,2348,74,640,48,9,291.8,8.05,31.73,36.55,23.66
Rosine Irera,T20I,57,1128,731,74,700,19,2,188.0,3.89,9.88,62.06,15.24
Shahadat Hossain,Test,34,4903,3400,74,3324,26,106,817.2,4.16,45.95,67.8,66.26
AR McBrine,ODI,68,3373,2753,74,1764,25,1,562.2,4.9,37.2,52.3,45.58
MA Leask,ODI,72,2467,2081,74,1296,50,1,411.2,5.06,28.12,52.53,33.34
KDU Prabodhani,T20I,77,1529,1498,74,768,40,8,254.8,5.88,20.24,50.23,20.66
A Khaka,T20I,74,1533,1832,74,623,64,4,255.5,7.17,24.76,40.64,20.72
Mohammad Nawaz,T20I,62,1186,1463,74,417,18,2,197.7,7.4,19.77,35.16,16.03
JP Duminy,ODI,131,3391,3094,74,1519,69,4,565.2,5.47,41.81,44.8,45.82
Renuka Singh,T20I,62,1388,1587,74,685,67,2,231.3,6.86,21.45,49.35,18.76
Mustafizur Rahman,IPL,60,1372,1879,74,511,47,8,228.7,8.22,25.39,37.24,18.54
Iftikhar Anjum,ODI,55,2683,2245,73,1573,40,5,447.2,5.02,30.75,58.63,36.75
R Trumpelmann,ODI,47,2258,1826,73,1435,105,2,376.3,4.85,25.01,63.55,30.93
WPUJC Vaas,Test,25,4545,2196,73,3502,4,59,757.5,2.9,30.08,77.05,62.26
BAW Mendis,Test,19,4781,2507,73,3411,1,51,796.8,3.15,34.34,71.34,65.49
Mohammad Sami,ODI,48,2442,2056,73,1477,105,66,407.0,5.05,28.16,60.48,33.45
JR Hopes,ODI,74,3105,2414,73,1698,27,2,517.5,4.66,33.07,54.69,42.53
RTM Mendis,Test,16,4179,2296,73,2866,0,6,696.5,3.3,31.45,68.58,57.25
