bowler,format,matches,balls,runs_given,wickets,dot_balls,wides,noballs,overs,economy,average,dot_pct,strike_rate
Ubaid Shah,PSL,19,358,594,20,147,10,3,59.7,9.96,29.7,41.06,17.9
Umaima Sohail,ODI,32,828,724,20,405,20,1,138.0,5.25,36.2,48.91,41.4
IG Holland,ODI,14,628,489,20,368,10,0,104.7,4.67,24.45,58.6,31.4
FO Kibasu,T20I,18,267,274,20,113,6,1,44.5,6.16,13.7,42.32,13.35
CH Gayle,T20I,30,381,451,20,117,13,0,63.5,7.1,22.55,30.71,19.05
ACF Stokes,T20I,16,318,320,20,153,8,0,53.0,6.04,16.0,48.11,15.9
NA Saini,IPL,28,603,864,20,264,18,11,100.5,8.6,43.2,43.78,30.15
Sangita Rai,T20I,15,249,202,20,119,4,0,41.5,4.87,10.1,47.79,12.45
A Venkatesh,T20I,11,194,217,20,85,5,0,32.3,6.71,10.85,43.81,9.7
L Phiri,T20I,24,356,358,20,170,18,0,59.3,6.03,17.9,47.75,17.8
L Qiao,T20I,13,264,150,20,177,16,0,44.0,3.41,7.5,67.05,13.2
A Stocks,T20I,14,281,230,20,130,16,3,46.8,4.91,11.5,46.26,14.05
TG Norris,T20I,13,252,200,20,162,10,0,42.0,4.76,10.0,64.29,12.6
K Ndlovu,ODI,12,561,340,20,376,19,3,93.5,3.64,17.0,67.02,28.05
NJ Carey,T20I,27,438,531,20,158,11,4,73.0,7.27,26.55,36.07,21.9
BB Sran,IPL,24,486,767,20,175,30,3,81.0,9.47,38.35,36.01,24.3
A Fujikawa,T20I,19,361,334,20,177,26,1,60.2,5.55,16.7,49.03,18.05
Shafiul Islam,Test,11,1735,986,20,1246,11,1,289.2,3.41,49.3,71.82,86.75
D Johnson,T20I,20,336,463,20,135,18,0,56.0,8.27,23.15,40.18,16.8
A Dhabe,T20I,14,318,342,20,148,3,0,53.0,6.45,17.1,46.54,15.9
Yasir Mohammad,T20I,12,256,310,20,104,3,1,42.7,7.27,15.5,40.62,12.8
Ali Khan,T20I,20,424,642,20,161,30,3,70.7,9.08,32.1,37.97,21.2
C Pengkumta,T20I,25,384,471,20,173,28,0,64.0,7.36,23.55,45.05,19.2
Tashi Phuntsho,T20I,14,252,221,20,156,14,0,42.0,5.26,11.05,61.9,12.6
SPD Smith,Test,48,1472,1020,20,904,0,2,245.3,4.16,51.0,61.41,73.6
L Wood,T20I,15,289,432,20,123,12,1,48.2,8.97,21.6,42.56,14.45
VR Aaron,Test,9,1211,980,20,813,12,22,201.8,4.86,49.0,67.13,60.55
Anwar Ali,ODI,21,903,930,20,422,14,0,150.5,6.18,46.5,46.73,45.15
NM Salonen,T20I,14,288,347,20,145,22,1,48.0,7.23,17.35,50.35,14.4
Khurram Shahzad,Test,6,917,630,20,637,0,11,152.8,4.12,31.5,69.47,45.85
C Sakariya,IPL,20,449,649,20,154,30,5,74.8,8.67,32.45,34.3,22.45
O Lefaga,T20I,12,248,185,20,172,19,8,41.3,4.48,9.25,69.35,12.4
Khurram Chohan,ODI,11,517,444,20,302,9,5,86.2,5.15,22.2,58.41,25.85
NT Ellis,IPL,17,381,553,20,124,9,3,63.5,8.71,27.65,32.55,19.05
D Madushanka,T20I,17,351,558,20,141,22,3,58.5,9.54,27.9,40.17,17.55
A Reyes,T20I,19,258,354,20,107,20,3,43.0,8.23,17.7,41.47,12.9
A Shahi,T20I,17,303,393,20,128,28,3,50.5,7.78,19.65,42.24,15.15
G Wetherall,T20I,16,318,324,20,151,31,6,53.0,6.11,16.2,47.48,15.9
F Akankwasa,T20I,18,318,329,20,142,4,2,53.0,6.21,16.45,44.65,15.9
Ahmed Daniyal,PSL,17,369,568,20,136,21,1,61.5,9.24,28.4,36.86,18.45
A Brindle,ODI,17,601,449,20,333,20,1,100.2,4.48,22.45,55.41,30.05
A Merritt,T20I,19,381,426,20,171,29,3,63.5,6.71,21.3,44.88,19.05
MH Yardy,ODI,27,1273,1052,20,601,16,1,212.2,4.96,52.6,47.21,63.65
SB Styris,T20I,21,309,358,20,111,4,0,51.5,6.95,17.9,35.92,15.45
W Moutswi,T20I,19,353,251,20,221,46,5,58.8,4.27,12.55,62.61,17.65
BTJ Wheal,ODI,12,616,414,20,406,14,0,102.7,4.03,20.7,65.91,30.8
O Kamchomphu,ODI,12,529,322,20,344,9,2,88.2,3.65,16.1,65.03,26.45
PM Siddle,ODI,19,903,754,20,538,18,2,150.5,5.01,37.7,59.58,45.15
H Venkataram,T20I,12,260,339,20,109,22,1,43.3,7.82,16.95,41.92,13.0
P Sabu,T20I,10,209,195,20,124,33,2,34.8,5.6,9.75,59.33,10.45
PKD Chase,ODI,13,636,776,19,331,32,7,106.0,7.32,40.84,52.04,33.47
Yasar Haroon,T20I,16,312,315,19,152,10,0,52.0,6.06,16.58,48.72,16.42
Nasum Ahmed,ODI,17,865,662,19,501,9,0,144.2,4.59,34.84,57.92,45.53
KM Beams,T20I,14,318,279,19,138,5,0,53.0,5.26,14.68,43.4,16.74
KL Cross,Test,7,1283,706,19,956,2,11,213.8,3.3,37.16,74.51,67.53
CH Gayle,IPL,38,557,755,19,196,27,3,92.8,8.13,39.74,35.19,29.32
B Niaz,T20I,13,204,222,19,90,4,0,34.0,6.53,11.68,44.12,10.74
KIC Asalanka,ODI,32,746,623,19,377,7,0,124.3,5.01,32.79,50.54,39.26
Sultana Khatun,T20I,20,390,441,19,164,5,1,65.0,6.78,23.21,42.05,20.53
R McLaren,T20I,12,264,349,19,103,10,1,44.0,7.93,18.37,39.02,13.89
R Mangal,T20I,17,248,342,19,91,11,1,41.3,8.27,18.0,36.69,13.05
NM Odhiambo,T20I,26,391,541,19,141,23,1,65.2,8.3,28.47,36.06,20.58
Nahid Rana,ODI,9,496,416,19,294,13,0,82.7,5.03,21.89,59.27,26.11
AJ Hosein,PSL,14,330,450,19,110,6,0,55.0,8.18,23.68,33.33,17.37
R Nehonde,T20I,18,298,354,19,123,14,0,49.7,7.13,18.63,41.28,15.68
Gurpratap Singh,T20I,10,212,235,19,106,8,8,35.3,6.65,12.37,50.0,11.16
H Bharadwaj,T20I,12,270,236,19,123,8,0,45.0,5.24,12.42,45.56,14.21
A Galan,T20I,14,280,212,19,146,10,1,46.7,4.54,11.16,52.14,14.74
CB Roposo,T20I,14,253,281,19,113,6,3,42.2,6.66,14.79,44.66,13.32
N Shangase,T20I,18,216,263,19,91,4,0,36.0,7.31,13.84,42.13,11.37
KM Chingaipe,T20I,15,282,257,19,173,26,2,47.0,5.47,13.53,61.35,14.84
IC Pandey,IPL,24,464,609,19,223,5,2,77.3,7.88,32.05,48.06,24.42
I van der Woning,T20I,25,347,389,19,185,25,4,57.8,6.73,20.47,53.31,18.26
B Kgosiemang,T20I,22,364,475,19,166,11,1,60.7,7.83,25.0,45.6,19.16
WP Masakadza,Test,7,1381,792,19,941,0,0,230.2,3.44,41.68,68.14,72.68
Shabbir Ahmed,Test,3,857,372,19,685,4,8,142.8,2.6,19.58,79.93,45.11
AR McBrine,T20I,19,330,393,19,120,4,0,55.0,7.15,20.68,36.36,17.37
CRD Fernando,IPL,10,238,306,19,107,11,4,39.7,7.71,16.11,44.96,12.53
B Evans,ODI,16,648,645,19,343,17,4,108.0,5.97,33.95,52.93,34.11
N Gwanzura,T20I,17,299,323,19,149,12,1,49.8,6.48,17.0,49.83,15.74
Mukesh Kumar,T20I,14,273,393,19,107,10,9,45.5,8.64,20.68,39.19,14.37
Shoaib Akhtar,T20I,14,310,434,19,146,8,9,51.7,8.4,22.84,47.1,16.32
E Kabwere,T20I,10,200,163,19,128,24,1,33.3,4.89,8.58,64.0,10.53
Shoaib Malik,PSL,51,667,802,19,239,18,2,111.2,7.21,42.21,35.83,35.11
Sohail Khan,ODI,13,669,611,19,389,22,3,111.5,5.48,32.16,58.15,35.21
AM Peterson,ODI,16,590,371,19,352,3,0,98.3,3.77,19.53,59.66,31.05
Shariz Ahmad,ODI,18,592,596,19,273,3,0,98.7,6.04,31.37,46.11,31.16
A Ashish Reddy,IPL,20,264,400,19,83,6,2,44.0,9.09,21.05,31.44,13.89
JT Brassell,T20I,23,385,571,19,148,6,6,64.2,8.9,30.05,38.44,20.26
M Zondeki,Test,5,642,399,19,459,3,18,107.0,3.73,21.0,71.5,33.79
Akhil Anil,T20I,19,332,370,19,147,20,0,55.3,6.69,19.47,44.28,17.47
DEM Carter,T20I,20,295,307,19,143,15,1,49.2,6.24,16.16,48.47,15.53
JP Faulkner,PSL,12,264,360,19,108,1,0,44.0,8.18,18.95,40.91,13.89
SM Nash,T20I,17,309,408,19,136,15,2,51.5,7.92,21.47,44.01,16.26
Agha Salman,ODI,34,1045,1037,19,492,14,3,174.2,5.95,54.58,47.08,55.0
JP Behrendorff,T20I,16,321,454,19,140,8,3,53.5,8.49,23.89,43.61,16.89
HH Pandya,Test,10,887,529,19,636,7,4,147.8,3.58,27.84,71.7,46.68
HL Colvin,ODI,11,614,382,19,374,8,0,102.3,3.73,20.11,60.91,32.32
HJ Thomas,ODI,12,604,366,19,399,18,2,100.7,3.64,19.26,66.06,31.79
HMRKB Herath,T20I,16,341,351,19,142,3,0,56.8,6.18,18.47,41.64,17.95
PD Collingwood,Test,44,1781,984,19,1299,8,8,296.8,3.31,51.79,72.94,93.74
Muhammad Saqlain,T20I,13,231,320,19,109,36,2,38.5,8.31,16.84,47.19,12.16
AJ Bichel,Test,5,1222,695,19,940,4,28,203.7,3.41,36.58,76.92,64.32
L Denny,T20I,13,276,350,19,122,12,1,46.0,7.61,18.42,44.2,14.53
FA Sargent,ODI,16,757,753,19,322,19,1,126.2,5.97,39.63,42.54,39.84
K Fraser,ODI,10,511,350,19,310,19,0,85.2,4.11,18.42,60.67,26.89
Delawar Khan,T20I,21,336,418,19,147,10,5,56.0,7.46,22.0,43.75,17.68
FL Mackay,ODI,14,610,475,19,316,4,0,101.7,4.67,25.0,51.8,32.11
S Kushretha,T20I,11,252,274,19,122,4,0,42.0,6.52,14.42,48.41,13.26
MW Forde,T20I,20,383,522,19,178,18,1,63.8,8.18,27.47,46.48,20.16
MR Marsh,T20I,25,301,391,19,112,15,1,50.2,7.79,20.58,37.21,15.84
J Nyumbu,ODI,16,796,691,19,415,18,0,132.7,5.21,36.37,52.14,41.89
Meghna Rajan,T20I,10,208,90,19,156,11,1,34.7,2.6,4.74,75.0,10.95
MWR Stokes,T20I,27,437,526,19,171,4,0,72.8,7.22,27.68,39.13,23.0
Ritu Moni,ODI,31,895,705,19,473,17,0,149.2,4.73,37.11,52.85,47.11
Atif-Ur-Rehman,T20I,16,320,308,19,182,19,2,53.3,5.78,16.21,56.88,16.84
J Evans,T20I,9,199,225,19,89,8,1,33.2,6.78,11.84,44.72,10.47
K Santokie,T20I,12,245,286,19,114,6,0,40.8,7.0,15.05,46.53,12.89
L Karlsson,T20I,14,245,253,19,121,6,0,40.8,6.2,13.32,49.39,12.89
Sameera Khan,T20I,25,362,369,19,177,33,2,60.3,6.12,19.42,48.9,19.05
DR Tuffey,Test,6,1197,569,19,943,2,4,199.5,2.85,29.95,78.78,63.0
DT Johnston,T20I,18,388,413,19,191,7,4,64.7,6.39,21.74,49.23,20.42
SJ Benn,T20I,23,485,614,19,180,6,1,80.8,7.6,32.32,37.11,25.53
DJ Hussey,ODI,37,778,694,19,339,13,0,129.7,5.35,36.53,43.57,40.95
D Visser,T20I,14,276,354,19,101,5,0,46.0,7.7,18.63,36.59,14.53
Umm-e-Hani,ODI,14,749,582,19,386,15,0,124.8,4.66,30.63,51.54,39.42
Umer Khan,PSL,15,306,400,19,113,8,0,51.0,7.84,21.05,36.93,16.11
JM Davison,ODI,15,618,513,19,312,12,0,103.0,4.98,27.0,50.49,32.53
Jakob Gul,T20I,11,262,322,19,103,14,4,43.7,7.37,16.95,39.31,13.79
DC Smith,T20I,24,395,534,19,155,20,2,65.8,8.11,28.11,39.24,20.79
DAM Louis,T20I,12,229,294,19,79,5,1,38.2,7.7,15.47,34.5,12.05
A Sutherland,Test,7,834,461,19,624,4,3,139.0,3.32,24.26,74.82,43.89
D Wiese,ODI,14,677,647,19,359,12,0,112.8,5.73,34.05,53.03,35.63
Akif Raja,T20I,19,337,440,19,152,17,1,56.2,7.83,23.16,45.1,17.74
M Hundal,T20I,11,215,199,19,102,2,5,35.8,5.55,10.47,47.44,11.32
TJG Pringle,T20I,22,420,466,19,168,3,0,70.0,6.66,24.53,40.0,22.11
Abdul Naser Baluch,T20I,13,275,330,19,138,27,0,45.8,7.2,17.37,50.18,14.47
Aamir Kaleem,ODI,15,679,411,19,440,2,0,113.2,3.63,21.63,64.8,35.74
AD Mascarenhas,IPL,13,308,365,19,130,2,0,51.3,7.11,19.21,42.21,16.21
JJ van der Wath,ODI,10,532,566,19,255,9,5,88.7,6.38,29.79,47.93,28.0
GC Smith,ODI,33,808,732,19,345,33,0,134.7,5.44,38.53,42.7,42.53
D Marks,T20I,17,364,549,19,138,26,2,60.7,9.05,28.89,37.91,19.16
R Baaleri,T20I,12,218,263,18,94,1,0,36.3,7.24,14.61,43.12,12.11
BJ Hodge,IPL,20,234,310,18,79,4,0,39.0,7.95,17.22,33.76,13.0
T Gwandu,T20I,18,303,428,18,127,14,3,50.5,8.48,23.78,41.91,16.83
AK Gokoel,T20I,13,264,278,18,119,6,0,44.0,6.32,15.44,45.08,14.67
AK Maguire,T20I,17,299,370,18,113,16,0,49.8,7.42,20.56,37.79,16.61
PR Stirling,T20I,35,474,577,18,164,16,0,79.0,7.3,32.06,34.6,26.33
O Matsolo,T20I,16,294,327,18,163,39,6,49.0,6.67,18.17,55.44,16.33
NT Ellis,ODI,16,782,738,18,374,24,5,130.3,5.66,41.0,47.83,43.44
KADA Kanchana,ODI,20,635,613,18,329,26,2,105.8,5.79,34.06,51.81,35.28
N Nojic,T20I,10,226,172,18,139,26,3,37.7,4.57,9.56,61.5,12.56
I Wardlaw,ODI,12,604,596,18,354,18,0,100.7,5.92,33.11,58.61,33.56
EJ Carson,ODI,23,992,829,18,503,17,0,165.3,5.01,46.06,50.71,55.11
C Wijesinghe,T20I,10,230,170,18,158,53,8,38.3,4.43,9.44,68.7,12.78
Yasir Arafat,T20I,13,237,321,18,96,9,1,39.5,8.13,17.83,40.51,13.17
FA Cossa,T20I,16,318,388,18,131,13,0,53.0,7.32,21.56,41.19,17.67
Sania Khan,T20I,14,245,263,18,114,7,0,40.8,6.44,14.61,46.53,13.61
Shabbir Ahmed,ODI,15,768,586,18,497,33,20,128.0,4.58,32.56,64.71,42.67
Cai Yuzhi,T20I,13,194,184,18,97,15,3,32.3,5.69,10.22,50.0,10.78
Mohammad Irfan,T20I,22,456,575,18,216,11,3,76.0,7.57,31.94,47.37,25.33
L Erdenebulgan,T20I,12,256,430,18,90,24,4,42.7,10.08,23.89,35.16,14.22
Meghna Singh,ODI,17,722,603,18,448,31,0,120.3,5.01,33.5,62.05,40.11
Asad Ali Rehemtulla,T20I,15,281,417,18,114,16,1,46.8,8.9,23.17,40.57,15.61
TBM de Leede,ODI,11,467,413,18,268,17,0,77.8,5.31,22.94,57.39,25.94
Maahi Madhavan,T20I,15,247,254,18,132,5,1,41.2,6.17,14.11,53.44,13.72
Arshad Khan,IPL,21,323,597,18,124,33,1,53.8,11.09,33.17,38.39,17.94
Sheraz Sheikh,T20I,18,247,314,18,97,8,0,41.2,7.63,17.44,39.27,13.72
Sher Sahak,T20I,15,209,247,18,99,14,3,34.8,7.09,13.72,47.37,11.61
EAS Ferrary,T20I,11,212,164,18,147,24,5,35.3,4.64,9.11,69.34,11.78
Murid Ekrami,T20I,17,343,405,18,159,11,2,57.2,7.08,22.5,46.36,19.06
KS Lokuarachchi,ODI,14,660,503,18,341,6,0,110.0,4.57,27.94,51.67,36.67
Karuna Bhandari,T20I,14,254,131,18,169,2,2,42.3,3.09,7.28,66.54,14.11
KT Maphaka,T20I,17,359,561,18,130,30,7,59.8,9.38,31.17,36.21,19.94
AL Mundundo,T20I,18,281,236,18,163,39,6,46.8,5.04,13.11,58.01,15.61
B Biza,T20I,17,277,297,18,111,5,0,46.2,6.43,16.5,40.07,15.39
Mohammed Siraj,T20I,17,375,491,18,166,13,3,62.5,7.86,27.28,44.27,20.83
A Krishna,T20I,14,261,384,18,91,2,1,43.5,8.83,21.33,34.87,14.5
AG Wharf,ODI,12,557,403,18,348,5,21,92.8,4.34,22.39,62.48,30.94
J Ajiambo,T20I,16,289,220,18,163,16,4,48.2,4.57,12.22,56.4,16.06
S Dhadwal,T20I,20,315,304,18,162,30,2,52.5,5.79,16.89,51.43,17.5
Mohammad Nabi,PSL,29,586,722,18,209,9,1,97.7,7.39,40.11,35.67,32.56
AR Caddick,ODI,11,590,389,18,418,14,8,98.3,3.96,21.61,70.85,32.78
LJ Wright,T20I,22,327,468,18,101,8,3,54.5,8.59,26.0,30.89,18.17
S Mahmood,PSL,8,175,270,18,65,7,0,29.2,9.26,15.0,37.14,9.72
DM de Silva,T20I,26,305,347,18,106,2,1,50.8,6.83,19.28,34.75,16.94
SW Masakadza,Test,5,1063,535,18,797,6,6,177.2,3.02,29.72,74.98,59.06
Alok Kapali,ODI,25,734,648,18,339,10,0,122.3,5.3,36.0,46.19,40.78
VD Adewoye,T20I,21,290,394,18,103,11,3,48.3,8.15,21.89,35.52,16.11
LK Bell,Test,5,750,449,18,562,3,0,125.0,3.59,24.94,74.93,41.67
MJG Rippon,T20I,13,250,289,18,103,4,0,41.7,6.94,16.06,41.2,13.89
D Panda,T20I,11,209,260,18,85,8,0,34.8,7.46,14.44,40.67,11.61
S Laomi,ODI,11,438,325,18,258,9,0,73.0,4.45,18.06,58.9,24.33
Usman Tariq,T20I,8,181,202,18,65,7,0,30.2,6.7,11.22,35.91,10.06
TJ Vlaeminck,T20I,18,372,394,18,210,28,6,62.0,6.35,21.89,56.45,20.67
Faheem Nazir,T20I,15,244,311,18,123,14,0,40.7,7.65,17.28,50.41,13.56
SA Panayan,T20I,20,362,433,18,144,25,1,60.3,7.18,24.06,39.78,20.11
VC Drakes,ODI,12,631,465,18,384,3,14,105.2,4.42,25.83,60.86,35.06
LA McBride,T20I,17,313,345,18,112,11,0,52.2,6.61,19.17,35.78,17.39
JS Patel,T20I,10,200,276,18,67,0,1,33.3,8.28,15.33,33.5,11.11
SPD Smith,T20I,17,291,379,18,99,4,0,48.5,7.81,21.06,34.02,16.17
SJ Coyte,ODI,14,666,496,18,381,12,0,111.0,4.47,27.56,57.21,37.0
M Taylor,T20I,23,468,550,18,236,23,1,78.0,7.05,30.56,50.43,26.0
M Jele,T20I,19,280,401,18,140,42,4,46.7,8.59,22.28,50.0,15.56
SFS Cheema,T20I,14,189,268,18,84,19,3,31.5,8.51,14.89,44.44,10.5
SS Kang,T20I,15,280,284,18,111,6,1,46.7,6.09,15.78,39.64,15.56
HA Varaiya,ODI,15,676,553,18,370,9,0,112.7,4.91,30.72,54.73,37.56
ZL Thoon,T20I,12,256,158,18,156,24,1,42.7,3.7,8.78,60.94,14.22
HC Knight,T20I,39,495,521,18,180,8,0,82.5,6.32,28.94,36.36,27.5
OP Stone,Test,5,611,418,18,434,1,1,101.8,4.1,23.22,71.03,33.94
Zafar Gohar,PSL,16,278,403,18,120,15,0,46.3,8.7,22.39,43.17,15.44
A Ashokan,T20I,18,342,441,18,135,21,0,57.0,7.74,24.5,39.47,19.0
A Brindle,T20I,17,300,257,18,133,7,0,50.0,5.14,14.28,44.33,16.67
A Bester,T20I,9,168,168,18,96,13,0,28.0,6.0,9.33,57.14,9.33
Zulfiqar Babar,PSL,18,432,509,18,180,7,0,72.0,7.07,28.28,41.67,24.0
SM Boland,ODI,13,716,735,17,360,15,0,119.3,6.16,43.24,50.28,42.12
TS Roland-Jones,Test,4,536,337,17,405,1,0,89.3,3.77,19.82,75.56,31.53
Zain Ahmad,T20I,11,210,231,17,90,4,0,35.0,6.6,13.59,42.86,12.35
SN Swamy,T20I,8,180,207,17,77,6,0,30.0,6.9,12.18,42.78,10.59
C Perry,T20I,15,305,315,17,166,31,0,50.8,6.2,18.53,54.43,17.94
KAD Hurdle,ODI,9,470,400,17,288,25,32,78.3,5.11,23.53,61.28,27.65
Suhrawadi Shuvo,ODI,17,765,574,17,414,8,2,127.5,4.5,33.76,54.12,45.0
KD Shah,T20I,29,439,546,17,177,1,1,73.2,7.46,32.12,40.32,25.82
SR Thompson,T20I,24,372,531,17,135,34,3,62.0,8.56,31.24,36.29,21.88
TS Mills,T20I,16,323,487,17,117,19,1,53.8,9.05,28.65,36.22,19.0
Tanwir Afzal,T20I,16,319,373,17,162,2,1,53.2,7.02,21.94,50.78,18.76
Aftab Hussain,T20I,10,228,252,17,94,13,0,38.0,6.63,14.82,41.23,13.41
Tanvir Ahmed (1),Test,5,724,457,17,520,3,17,120.7,3.79,26.88,71.82,42.59
AB Dinda,T20I,9,182,249,17,83,4,2,30.3,8.21,14.65,45.6,10.71
Usman Shinwari,T20I,16,308,438,17,124,9,2,51.3,8.53,25.76,40.26,18.12
D Vihanga,ODI,9,504,395,17,267,7,0,84.0,4.7,23.24,52.98,29.65
Usman Qadir,PSL,15,313,474,17,104,5,1,52.2,9.09,27.88,33.23,18.41
MJG Nielsen,T20I,17,342,258,17,197,7,0,57.0,4.53,15.18,57.6,20.12
S Nsubuga,T20I,15,254,297,17,115,3,1,42.3,7.02,17.47,45.28,14.94
A Vessik,T20I,13,261,209,17,177,62,5,43.5,4.8,12.29,67.82,15.35
N Sibanda,ODI,23,920,732,17,575,65,3,153.3,4.77,43.06,62.5,54.12
UWMBCA Welegedara,ODI,9,465,443,17,263,9,8,77.5,5.72,26.06,56.56,27.35
M Dixit,T20I,20,341,436,17,119,17,0,56.8,7.67,25.65,34.9,20.06
A Dhingra,T20I,14,243,343,17,84,12,0,40.5,8.47,20.18,34.57,14.29
BC Fortuin,ODI,12,585,510,17,290,2,0,97.5,5.23,30.0,49.57,34.41
I Muhawenimana,T20I,25,435,376,17,273,51,9,72.5,5.19,22.12,62.76,25.59
H Dhavina,T20I,23,436,406,17,211,8,6,72.7,5.59,23.88,48.39,25.65
JO Holder,PSL,8,185,289,17,65,10,5,30.8,9.37,17.0,35.14,10.88
SIP Fernando,ODI,13,570,359,17,352,19,0,95.0,3.78,21.12,61.75,33.53
A Wellington,ODI,11,534,431,17,289,12,0,89.0,4.84,25.35,54.12,31.41
JM Kemp,ODI,31,658,531,17,365,20,2,109.7,4.84,31.24,55.47,38.71
DC Stovell,T20I,15,260,293,17,109,6,1,43.3,6.76,17.24,41.92,15.29
A Turkmen,T20I,15,325,388,17,147,25,1,54.2,7.16,22.82,45.23,19.12
R Bakum,T20I,14,205,270,17,91,13,0,34.2,7.9,15.88,44.39,12.06
EM Bermingham,T20I,13,252,253,17,115,9,0,42.0,6.02,14.88,45.63,14.82
KK Ahmed,T20I,18,397,576,17,178,25,1,66.2,8.71,33.88,44.84,23.35
N Pradeep,T20I,16,279,449,17,87,15,1,46.5,9.66,26.41,31.18,16.41
DR Hooper,T20I,17,330,388,17,128,11,1,55.0,7.05,22.82,38.79,19.41
JL Gunn,Test,6,1243,372,17,1074,8,1,207.2,1.8,21.88,86.4,73.12
G Mallett,T20I,9,169,148,17,77,11,1,28.2,5.25,8.71,45.56,9.94
JL Hunter,T20I,15,249,267,17,114,9,1,41.5,6.43,15.71,45.78,14.65
DAL Paramitha,T20I,17,312,222,17,207,24,6,52.0,4.27,13.06,66.35,18.35
CB Sole,T20I,16,343,553,17,119,12,6,57.2,9.67,32.53,34.69,20.18
D Wiese,IPL,15,297,447,17,86,10,1,49.5,9.03,26.29,28.96,17.47
LR Shukla,IPL,27,316,458,17,117,10,2,52.7,8.7,26.94,37.03,18.59
R Rampaul,IPL,12,270,319,17,137,8,2,45.0,7.09,18.76,50.74,15.88
R Shepherd,IPL,23,307,621,17,89,18,1,51.2,12.14,36.53,28.99,18.06
RS Bopara,T20I,21,323,395,17,120,14,1,53.8,7.34,23.24,37.15,19.0
CRD Fernando,T20I,16,345,430,17,156,14,3,57.5,7.48,25.29,45.22,20.29
Ilyas Ahmed,T20I,16,302,393,17,144,22,2,50.3,7.81,23.12,47.68,17.76
Rameen Shamim,ODI,16,723,541,17,396,8,0,120.5,4.49,31.82,54.77,42.53
J Lewis,ODI,11,635,419,17,436,10,9,105.8,3.96,24.65,68.66,37.35
K Kato-Stafford,T20I,12,154,129,17,92,16,2,25.7,5.03,7.59,59.74,9.06
O Ranedoumoun,T20I,16,289,243,17,163,29,1,48.2,5.04,14.29,56.4,17.0
WG Jacks,T20I,16,216,315,17,87,7,0,36.0,8.75,18.53,40.28,12.71
Z Khan,T20I,15,317,400,17,151,17,1,52.8,7.57,23.53,47.63,18.65
HL Tau,T20I,18,326,311,17,151,7,2,54.3,5.72,18.29,46.32,19.18
Zeeshan Kukikhel,T20I,12,237,344,17,104,20,0,39.5,8.71,20.24,43.88,13.94
P Shetty,T20I,24,462,481,17,254,59,0,77.0,6.25,28.29,54.98,27.18
Han Lili,T20I,9,200,120,17,110,5,2,33.3,3.6,7.06,55.0,11.76
Nyeing Cham Soe,T20I,15,215,303,17,96,25,0,35.8,8.46,17.82,44.65,12.65
A Chenthamara,T20I,10,185,222,17,88,9,1,30.8,7.2,13.06,47.57,10.88
Mohammad Nawaz (3),ODI,15,681,595,17,339,9,0,113.5,5.24,35.0,49.78,40.06
WJ Cope,T20I,17,302,391,17,131,20,2,50.3,7.77,23.0,43.38,17.76
Zahid Mahmood,PSL,18,389,553,17,120,5,0,64.8,8.53,32.53,30.85,22.88
A Capsey,ODI,19,516,419,17,258,14,2,86.0,4.87,24.65,50.0,30.35
Muhammad Farooq,T20I,14,258,333,17,106,9,0,43.0,7.74,19.59,41.09,15.18
Muhammad Arfan,T20I,12,238,260,17,89,11,0,39.7,6.55,15.29,37.39,14.0
W Ngowhuad,T20I,12,195,323,17,84,10,2,32.5,9.94,19.0,43.08,11.47
Rasikh Salam,IPL,18,329,549,17,103,14,3,54.8,10.01,32.29,31.31,19.35
Rehan Ahmed,T20I,12,228,361,17,64,1,0,38.0,9.5,21.24,28.07,13.41
Asif Shaikh,T20I,14,297,327,17,127,3,1,49.5,6.61,19.24,42.76,17.47
N Benjamin,T20I,18,274,230,17,148,9,1,45.7,5.04,13.53,54.01,16.12
T Trajkovic,T20I,7,144,128,17,90,30,6,24.0,5.33,7.53,62.5,8.47
S Kato,T20I,22,431,370,17,240,30,3,71.8,5.15,21.76,55.68,25.35
A Mishra,T20I,10,230,247,17,96,4,2,38.3,6.44,14.53,41.74,13.53
J Singye,T20I,23,382,440,17,156,12,0,63.7,6.91,25.88,40.84,22.47
Mehedi Hasan Miraz,T20I,29,444,635,17,146,3,0,74.0,8.58,37.35,32.88,26.12
Ashwani Kumar,IPL,10,185,336,17,59,11,2,30.8,10.9,19.76,31.89,10.88
W Madhevere,ODI,26,746,661,17,335,12,0,124.3,5.32,38.88,44.91,43.88
A Natubhai Ahir,T20I,18,341,305,17,177,7,0,56.8,5.37,17.94,51.91,20.06
IMHC Joyce,T20I,30,535,584,17,242,34,2,89.2,6.55,34.35,45.23,31.47
Shivam Sharma,T20I,10,180,168,17,90,2,0,30.0,5.6,9.88,50.0,10.59
Shahid Nazir,Test,5,864,509,17,643,0,18,144.0,3.53,29.94,74.42,50.82
L Maritz,T20I,21,352,373,17,177,19,10,58.7,6.36,21.94,50.28,20.71
L Ostergaard,T20I,13,266,232,17,142,19,2,44.3,5.23,13.65,53.38,15.65
L Shafeeg,T20I,19,320,443,17,130,14,0,53.3,8.31,26.06,40.62,18.82
S Jimmy,ODI,8,386,230,17,262,8,0,64.3,3.58,13.53,67.88,22.71
MR Adair,Test,6,999,643,17,734,10,4,166.5,3.86,37.82,73.47,58.76
